row_index,sortie,service,drone,box_position,box_id,category,mass_kg,volume_m3
5,Q1-S003-02,S003,C,1,S003-WAT-03,饮用水,14,0.027
5,Q1-S003-02,S003,C,2,S003-WAT-04,饮用水,14,0.027
5,Q1-S003-02,S003,C,3,S003-FOD-02,应急食品,8,0.028
5,Q1-S003-02,S003,C,4,S003-HYG-01,生活卫生用品,6,0.035
6,Q1-S004-01,S004,C,0,S004-MED-01,医疗物资,3,0.012
6,Q1-S004-01,S004,C,1,S004-WAT-01,饮用水,14,0.027
6,Q1-S004-01,S004,C,2,S004-WAT-02,饮用水,14,0.027
6,Q1-S004-01,S004,C,3,S004-WAT-03,饮用水,14,0.027
6,Q1-S004-01,S004,C,4,S004-FOD-01,应急食品,8,0.028
6,Q1-S004-01,S004,C,5,S004-HYG-01,生活卫生用品,6,0.035
7,Q1-S005-01,S005,C,0,S005-MED-01,医疗物资,3,0.012
7,Q1-S005-01,S005,C,1,S005-WAT-01,饮用水,14,0.027
7,Q1-S005-01,S005,C,2,S005-WAT-02,饮用水,14,0.027
7,Q1-S005-01,S005,C,3,S005-WAT-03,饮用水,14,0.027
7,Q1-S005-01,S005,C,4,S005-FOD-01,应急食品,8,0.028
7,Q1-S005-01,S005,C,5,S005-HYG-01,生活卫生用品,6,0.035
8,Q1-S006-01,S006,C,0,S006-MED-01,医疗物资,3,0.012
8,Q1-S006-01,S006,C,1,S006-WAT-01,饮用水,14,0.027
8,Q1-S006-01,S006,C,2,S006-WAT-02,饮用水,14,0.027
8,Q1-S006-01,S006,C,3,S006-WAT-03,饮用水,14,0.027
8,Q1-S006-01,S006,C,4,S006-FOD-01,应急食品,8,0.028
8,Q1-S006-01,S006,C,5,S006-HYG-01,生活卫生用品,6,0.035
9,Q1-S007-01,S007,C,0,S007-MED-01,医疗物资,3,0.012
9,Q1-S007-01,S007,C,1,S007-WAT-01,饮用水,14,0.027
9,Q1-S007-01,S007,C,2,S007-WAT-02,饮用水,14,0.027
9,Q1-S007-01,S007,C,3,S007-FOD-01,应急食品,8,0.028
9,Q1-S007-01,S007,C,4,S007-HYG-01,生活卫生用品,6,0.035
10,Q1-S008-01,S008,C,0,S008-MED-01,医疗物资,3,0.012
10,Q1-S008-01,S008,C,1,S008-WAT-01,饮用水,14,0.027
10,Q1-S008-01,S008,C,2,S008-WAT-02,饮用水,14,0.027
10,Q1-S008-01,S008,C,3,S008-FOD-01,应急食品,8,0.028
10,Q1-S008-01,S008,C,4,S008-HYG-01,生活卫生用品,6,0.035
11,Q1-S009-01,S009,B,0,S009-MED-01,医疗物资,3,0.012
11,Q1-S009-01,S009,B,1,S009-WAT-01,饮用水,14,0.027
11,Q1-S009-01,S009,B,2,S009-FOD-01,应急食品,8,0.028
12,Q1-S010-01,S010,B,0,S010-MED-01,医疗物资,3,0.012
12,Q1-S010-01,S010,B,1,S010-WAT-01,饮用水,14,0.027
12,Q1-S010-01,S010,B,2,S010-FOD-01,应急食品,8,0.028
13,Q1-S011-01,S011,B,0,S011-MED-01,医疗物资,3,0.012
13,Q1-S011-01,S011,B,1,S011-WAT-01,饮用水,14,0.027
13,Q1-S011-01,S011,B,2,S011-FOD-01,应急食品,8,0.028
14,Q1-S012-01,S012,B,0,S012-MED-01,医疗物资,3,0.012
14,Q1-S012-01,S012,B,1,S012-WAT-01,饮用水,14,0.027
14,Q1-S012-01,S012,B,2,S012-FOD-01,应急食品,8,0.028
15,Q1-S013-01,S013,B,0,S013-MED-01,医疗物资,3,0.012
15,Q1-S013-01,S013,B,1,S013-WAT-01,饮用水,14,0.027
15,Q1-S013-01,S013,B,2,S013-FOD-01,应急食品,8,0.028
16,Q1-S014-01,S014,B,0,S014-MED-01,医疗物资,3,0.012
16,Q1-S014-01,S014,B,1,S014-WAT-01,饮用水,14,0.027
16,Q1-S014-01,S014,B,2,S014-FOD-01,应急食品,8,0.028
17,Q1-S015-01,S015,B,0,S015-MED-01,医疗物资,3,0.012
17,Q1-S015-01,S015,B,1,S015-WAT-01,饮用水,14,0.027
17,Q1-S015-01,S015,B,2,S015-FOD-01,应急食品,8,0.028
