service,drone,reserve,safe_payload_kg,reason,energy_budget_kwh,energy_at_limit_kwh,rated_payload_kg,reachable
S002,C,0.1,78.59221816062927,往返安全能量限制,7.2,7.199999983636623,80,True
S003,A,0.1,25,额定载质量限制,4.05,3.1570180488003334,25,True
S003,B,0.1,30,额定载质量限制,3.6,3.0645901579839023,30,True
S003,C,0.1,78.22619259357452,往返安全能量限制,7.2,7.199999976579294,80,True
S004,A,0.1,25,额定载质量限制,4.05,3.266691534200595,25,True
S004,B,0.1,30,额定载质量限制,3.6,3.169798492551682,30,True
S004,C,0.1,74.88516449928284,往返安全能量限制,7.2,7.199999992791307,80,True
S005,A,0.1,25,额定载质量限制,4.05,2.244865011388093,25,True
S005,B,0.1,30,额定载质量限制,3.6,2.178257601126719,30,True
S005,C,0.1,80,额定载质量限制,7.2,5.292642814980954,80,True
S006,A,0.1,25,额定载质量限制,4.05,1.3896826004864364,25,True
S006,B,0.1,30,额定载质量限制,3.6,1.3500226341272559,30,True
S006,C,0.1,80,额定载质量限制,7.2,3.2532717885603226,80,True
S007,A,0.1,25,额定载质量限制,4.05,2.0179724910850116,25,True
S007,B,0.1,30,额定载质量限制,3.6,1.95981561942133,30,True
S007,C,0.1,80,额定载质量限制,7.2,4.6796101703532695,80,True
S008,A,0.1,25,额定载质量限制,4.05,3.387190459625516,25,True
S008,B,0.1,30,额定载质量限制,3.6,3.2871572498746544,30,True
S008,C,0.1,71.4380270242691,往返安全能量限制,7.2,7.199999970467152,80,True
S009,A,0.1,25,额定载质量限制,4.05,2.3868888130198633,25,True
S009,B,0.1,30,额定载质量限制,3.6,2.3164140175598926,30,True
S009,C,0.1,80,额定载质量限制,7.2,5.669612668817532,80,True
S010,A,0.1,25,额定载质量限制,4.05,2.0707297630186403,25,True
S010,B,0.1,30,额定载质量限制,3.6,2.011040412354545,30,True
S010,C,0.1,80,额定载质量限制,7.2,4.858856926614966,80,True
S011,A,0.1,25,额定载质量限制,4.05,1.2195961128656,25,True
S011,B,0.1,30,额定载质量限制,3.6,1.1839226028325527,30,True
S011,C,0.1,80,额定载质量限制,7.2,2.8532102708956293,80,True
S012,A,0.1,25,额定载质量限制,4.05,3.1314205551132304,25,True
S012,B,0.1,30,额定载质量限制,3.6,3.0391455377960237,30,True
S012,C,0.1,78.08637082576752,往返安全能量限制,7.2,7.199999969562313,80,True
S013,A,0.1,25,额定载质量限制,4.05,2.07421509600092,25,True
S013,B,0.1,30,额定载质量限制,3.6,2.014429642036623,30,True
S013,C,0.1,80,额定载质量限制,7.2,4.89171403094015,80,True
S014,A,0.1,25,额定载质量限制,4.05,2.4255872304885484,25,True
S014,B,0.1,30,额定载质量限制,3.6,2.3552205378029694,30,True
S014,C,0.1,80,额定载质量限制,7.2,5.607586660887968,80,True
S015,A,0.1,25,额定载质量限制,4.05,2.6193442676312952,25,True
S015,B,0.1,30,额定载质量限制,3.6,2.544527926579269,30,True
S015,C,0.1,80,额定载质量限制,7.2,6.133265017718501,80,True
S001,A,0.15,25,额定载质量限制,3.8249999999999997,1.3127102413808114,25,True
S001,B,0.15,30,额定载质量限制,3.4,1.2739409718481534,30,True
S001,C,0.15,80,额定载质量限制,6.8,3.08170436066632,80,True
S002,A,0.15,25,额定载质量限制,3.8249999999999997,3.0905097276380133,25,True
S002,B,0.15,30,额定载质量限制,3.4,2.998820311876019,30,True
S002,C,0.15,74.23927307128906,往返安全能量限制,6.8,6.79999996979358,80,True
S003,A,0.15,25,额定载质量限制,3.8249999999999997,3.1570180488003334,25,True
S003,B,0.15,30,额定载质量限制,3.4,3.0645901579839023,30,True
S003,C,0.15,73.74640643596649,往返安全能量限制,6.8,6.799999977930403,80,True
S004,A,0.15,25,额定载质量限制,3.8249999999999997,3.266691534200595,25,True
S004,B,0.15,30,额定载质量限制,3.4,3.169798492551682,30,True
S004,C,0.15,69.91440713405609,往返安全能量限制,6.8,6.799999967881872,80,True
S005,A,0.15,25,额定载质量限制,3.8249999999999997,2.244865011388093,25,True
S005,B,0.15,30,额定载质量限制,3.4,2.178257601126719,30,True
S005,C,0.15,80,额定载质量限制,6.8,5.292642814980954,80,True
S006,A,0.15,25,额定载质量限制,3.8249999999999997,1.3896826004864364,25,True
S006,B,0.15,30,额定载质量限制,3.4,1.3500226341272559,30,True
S006,C,0.15,80,额定载质量限制,6.8,3.2532717885603226,80,True
S007,A,0.15,25,额定载质量限制,3.8249999999999997,2.0179724910850116,25,True
S007,B,0.15,30,额定载质量限制,3.4,1.95981561942133,30,True
S007,C,0.15,80,额定载质量限制,6.8,4.6796101703532695,80,True
S008,A,0.15,25,额定载质量限制,3.8249999999999997,3.387190459625516,25,True
S008,B,0.15,30,额定载质量限制,3.4,3.2871572498746544,30,True
S008,C,0.15,65.90244710445404,往返安全能量限制,6.8,6.799999989181922,80,True
S009,A,0.15,25,额定载质量限制,3.8249999999999997,2.3868888130198633,25,True
S009,B,0.15,30,额定载质量限制,3.4,2.3164140175598926,30,True
S009,C,0.15,80,额定载质量限制,6.8,5.669612668817532,80,True
S010,A,0.15,25,额定载质量限制,3.8249999999999997,2.0707297630186403,25,True
S010,B,0.15,30,额定载质量限制,3.4,2.011040412354545,30,True
S010,C,0.15,80,额定载质量限制,6.8,4.858856926614966,80,True
S011,A,0.15,25,额定载质量限制,3.8249999999999997,1.2195961128656,25,True
S011,B,0.15,30,额定载质量限制,3.4,1.1839226028325527,30,True
S011,C,0.15,80,额定载质量限制,6.8,2.8532102708956293,80,True
S012,A,0.15,25,额定载质量限制,3.8249999999999997,3.1314205551132304,25,True
S012,B,0.15,30,额定载质量限制,3.4,3.0391455377960237,30,True
S012,C,0.15,73.62891912460327,往返安全能量限制,6.8,6.799999994722498,80,True
S013,A,0.15,25,额定载质量限制,3.8249999999999997,2.07421509600092,25,True
S013,B,0.15,30,额定载质量限制,3.4,2.014429642036623,30,True
S013,C,0.15,80,额定载质量限制,6.8,4.89171403094015,80,True
S014,A,0.15,25,额定载质量限制,3.8249999999999997,2.4255872304885484,25,True
S014,B,0.15,30,额定载质量限制,3.4,2.3552205378029694,30,True
S014,C,0.15,80,额定载质量限制,6.8,5.607586660887968,80,True
S015,A,0.15,25,额定载质量限制,3.8249999999999997,2.6193442676312952,25,True
S015,B,0.15,30,额定载质量限制,3.4,2.544527926579269,30,True
S015,C,0.15,80,额定载质量限制,6.8,6.133265017718501,80,True
S001,A,0.2,25,额定载质量限制,3.6,1.3127102413808114,25,True
S001,B,0.2,30,额定载质量限制,3.2,1.2739409718481534,30,True
S001,C,0.2,80,额定载质量限制,6.4,3.08170436066632,80,True
S002,A,0.2,25,额定载质量限制,3.6,3.0905097276380133,25,True
S002,B,0.2,30,额定载质量限制,3.2,2.998820311876019,30,True
S002,C,0.2,68.85810375213623,往返安全能量限制,6.4,6.399999976409767,80,True
S003,A,0.2,25,额定载质量限制,3.6,3.1570180488003334,25,True
S003,B,0.2,30,额定载质量限制,3.2,3.0645901579839023,30,True
S003,C,0.2,68.1995415687561,往返安全能量限制,6.4,6.399999982142404,80,True
S004,A,0.2,25,额定载质量限制,3.6,3.266691534200595,25,True
S004,B,0.2,30,额定载质量限制,3.2,3.169798492551682,30,True
S004,C,0.2,63.69825065135956,往返安全能量限制,6.4,6.399999982992551,80,True
S005,A,0.2,25,额定载质量限制,3.6,2.244865011388093,25,True
S005,B,0.2,30,额定载质量限制,3.2,2.178257601126719,30,True
S005,C,0.2,80,额定载质量限制,6.4,5.292642814980954,80,True
S006,A,0.2,25,额定载质量限制,3.6,1.3896826004864364,25,True
S006,B,0.2,30,额定载质量限制,3.2,1.3500226341272559,30,True
S006,C,0.2,80,额定载质量限制,6.4,3.2532717885603226,80,True
S007,A,0.2,25,额定载质量限制,3.6,2.0179724910850116,25,True
S007,B,0.2,30,额定载质量限制,3.2,1.95981561942133,30,True
S007,C,0.2,80,额定载质量限制,6.4,4.6796101703532695,80,True
S008,A,0.2,25,额定载质量限制,3.6,3.387190459625516,25,True
S008,B,0.2,28.80136013031006,往返安全能量限制,3.2,3.1999999843748013,30,True
S008,C,0.2,58.904165625572205,往返安全能量限制,6.4,6.399999980533199,80,True
S009,A,0.2,25,额定载质量限制,3.6,2.3868888130198633,25,True
S009,B,0.2,30,额定载质量限制,3.2,2.3164140175598926,30,True
S009,C,0.2,80,额定载质量限制,6.4,5.669612668817532,80,True
S010,A,0.2,25,额定载质量限制,3.6,2.0707297630186403,25,True
S010,B,0.2,30,额定载质量限制,3.2,2.011040412354545,30,True
S010,C,0.2,80,额定载质量限制,6.4,4.858856926614966,80,True
S011,A,0.2,25,额定载质量限制,3.6,1.2195961128656,25,True
S011,B,0.2,30,额定载质量限制,3.2,1.1839226028325527,30,True
S011,C,0.2,80,额定载质量限制,6.4,2.8532102708956293,80,True
S012,A,0.2,25,额定载质量限制,3.6,3.1314205551132304,25,True
S012,B,0.2,30,额定载质量限制,3.2,3.0391455377960237,30,True
S012,C,0.2,68.1097400188446,往返安全能量限制,6.4,6.3999999657083695,80,True
S013,A,0.2,25,额定载质量限制,3.6,2.07421509600092,25,True
S013,B,0.2,30,额定载质量限制,3.2,2.014429642036623,30,True
S013,C,0.2,80,额定载质量限制,6.4,4.89171403094015,80,True
S014,A,0.2,25,额定载质量限制,3.6,2.4255872304885484,25,True
S014,B,0.2,30,额定载质量限制,3.2,2.3552205378029694,30,True
S014,C,0.2,80,额定载质量限制,6.4,5.607586660887968,80,True
S015,A,0.2,25,额定载质量限制,3.6,2.6193442676312952,25,True
S015,B,0.2,30,额定载质量限制,3.2,2.544527926579269,30,True
S015,C,0.2,80,额定载质量限制,6.4,6.133265017718501,80,True
S001,A,0.25,25,额定载质量限制,3.375,1.3127102413808114,25,True
S001,B,0.25,30,额定载质量限制,3.0,1.2739409718481534,30,True
S001,C,0.25,80,额定载质量限制,6.0,3.08170436066632,80,True
S002,A,0.25,25,额定载质量限制,3.375,3.0905097276380133,25,True
S002,B,0.25,30,额定载质量限制,3.0,2.998820311876019,30,True
S002,C,0.25,62.012723088264465,往返安全能量限制,6.0,5.999999977235889,80,True
S003,A,0.25,25,额定载质量限制,3.375,3.1570180488003334,25,True
S003,B,0.25,29.03374582529068,往返安全能量限制,3.0,2.9999999592210167,30,True
S003,C,0.25,61.136136054992676,往返安全能量限制,6.0,5.999999983569262,80,True
S004,A,0.25,25,额定载质量限制,3.375,3.266691534200595,25,True
S004,B,0.25,27.413001358509064,往返安全能量限制,3.0,2.9999999974973024,30,True
S004,C,0.25,55.66281259059906,往返安全能量限制,6.0,5.999999981191708,80,True
S005,A,0.25,25,额定载质量限制,3.375,2.244865011388093,25,True
S005,B,0.25,30,额定载质量限制,3.0,2.178257601126719,30,True
S005,C,0.25,80,额定载质量限制,6.0,5.292642814980954,80,True
S006,A,0.25,25,额定载质量限制,3.375,1.3896826004864364,25,True
S006,B,0.25,30,额定载质量限制,3.0,1.3500226341272559,30,True
S006,C,0.25,80,额定载质量限制,6.0,3.2532717885603226,80,True
S007,A,0.25,25,额定载质量限制,3.375,2.0179724910850116,25,True
S007,B,0.25,30,额定载质量限制,3.0,1.95981561942133,30,True
S007,C,0.25,80,额定载质量限制,6.0,4.6796101703532695,80,True
S008,A,0.25,24.563053995370865,往返安全能量限制,3.375,3.374999999503598,25,True
S008,B,0.25,25.480684340000153,往返安全能量限制,3.0,2.9999999659173078,30,True
S008,C,0.25,49.70434486865997,往返安全能量限制,6.0,5.999999978200647,80,True
S009,A,0.25,25,额定载质量限制,3.375,2.3868888130198633,25,True
S009,B,0.25,30,额定载质量限制,3.0,2.3164140175598926,30,True
S009,C,0.25,80,额定载质量限制,6.0,5.669612668817532,80,True
S010,A,0.25,25,额定载质量限制,3.375,2.0707297630186403,25,True
S010,B,0.25,30,额定载质量限制,3.0,2.011040412354545,30,True
S010,C,0.25,80,额定载质量限制,6.0,4.858856926614966,80,True
S011,A,0.25,25,额定载质量限制,3.375,1.2195961128656,25,True
S011,B,0.25,30,额定载质量限制,3.0,1.1839226028325527,30,True
S011,C,0.25,80,额定载质量限制,6.0,2.8532102708956293,80,True
S012,A,0.25,25,额定载质量限制,3.375,3.1314205551132304,25,True
S012,B,0.25,29.429398477077484,往返安全能量限制,3.0,2.9999999855542394,30,True
S012,C,0.25,61.076470613479614,往返安全能量限制,6.0,5.99999999191054,80,True
S013,A,0.25,25,额定载质量限制,3.375,2.07421509600092,25,True
S013,B,0.25,30,额定载质量限制,3.0,2.014429642036623,30,True
S013,C,0.25,80,额定载质量限制,6.0,4.89171403094015,80,True
S014,A,0.25,25,额定载质量限制,3.375,2.4255872304885484,25,True
S014,B,0.25,30,额定载质量限制,3.0,2.3552205378029694,30,True
S014,C,0.25,80,额定载质量限制,6.0,5.607586660887968,80,True
S015,A,0.25,25,额定载质量限制,3.375,2.6193442676312952,25,True
S015,B,0.25,30,额定载质量限制,3.0,2.544527926579269,30,True
S015,C,0.25,78.45135569572449,往返安全能量限制,6.0,5.999999959320213,80,True
S001,A,0.3,25,额定载质量限制,3.15,1.3127102413808114,25,True
S001,B,0.3,30,额定载质量限制,2.8,1.2739409718481534,30,True
S001,C,0.3,80,额定载质量限制,5.6,3.08170436066632,80,True
S002,A,0.3,25,额定载质量限制,3.15,3.0905097276380133,25,True
S002,B,0.3,26.74493283033371,往返安全能量限制,2.8,2.7999999620509057,30,True
S002,C,0.3,52.94820785522461,往返安全能量限制,5.6,5.59999998551514,80,True
S003,A,0.3,24.730003625154495,往返安全能量限制,3.15,3.149999990989489,25,True
S003,B,0.3,25.42316436767578,往返安全能量限制,2.8,2.799999998131165,30,True
S003,C,0.3,51.78519666194916,往返安全能量限制,5.6,5.599999979111006,80,True
S004,A,0.3,20.1714925467968,往返安全能量限制,3.15,3.1499999865117037,25,True
S004,B,0.3,23.44297617673874,往返安全能量限制,2.8,2.7999999631644004,30,True
S004,C,0.3,44.749258160591125,往返安全能量限制,5.6,5.599999996474018,80,True
S005,A,0.3,25,额定载质量限制,3.15,2.244865011388093,25,True
S005,B,0.3,30,额定载质量限制,2.8,2.178257601126719,30,True
S005,C,0.3,80,额定载质量限制,5.6,5.292642814980954,80,True
S006,A,0.3,25,额定载质量限制,3.15,1.3896826004864364,25,True
S006,B,0.3,30,额定载质量限制,2.8,1.3500226341272559,30,True
S006,C,0.3,80,额定载质量限制,5.6,3.2532717885603226,80,True
S007,A,0.3,25,额定载质量限制,3.15,2.0179724910850116,25,True
S007,B,0.3,30,额定载质量限制,2.8,1.95981561942133,30,True
S007,C,0.3,80,额定载质量限制,5.6,4.6796101703532695,80,True
S008,A,0.3,14.213552325963974,往返安全能量限制,3.15,3.1499999993179415,25,True
S008,B,0.3,21.001091301441193,往返安全能量限制,2.8,2.7999999724608227,30,True
S008,C,0.3,36.813374161720276,往返安全能量限制,5.6,5.599999998789978,80,True
S009,A,0.3,25,额定载质量限制,3.15,2.3868888130198633,25,True
S009,B,0.3,30,额定载质量限制,2.8,2.3164140175598926,30,True
S009,C,0.3,79.15210485458374,往返安全能量限制,5.6,5.599999961811795,80,True
S010,A,0.3,25,额定载质量限制,3.15,2.0707297630186403,25,True
S010,B,0.3,30,额定载质量限制,2.8,2.011040412354545,30,True
S010,C,0.3,80,额定载质量限制,5.6,4.858856926614966,80,True
S011,A,0.3,25,额定载质量限制,3.15,1.2195961128656,25,True
S011,B,0.3,30,额定载质量限制,2.8,1.1839226028325527,30,True
S011,C,0.3,80,额定载质量限制,5.6,2.8532102708956293,80,True
S012,A,0.3,25,额定载质量限制,3.15,3.1314205551132304,25,True
S012,B,0.3,25.980312824249268,往返安全能量限制,2.8,2.799999980706357,30,True
S012,C,0.3,51.74450397491455,往返安全能量限制,5.6,5.5999999927441255,80,True
S013,A,0.3,25,额定载质量限制,3.15,2.07421509600092,25,True
S013,B,0.3,30,额定载质量限制,2.8,2.014429642036623,30,True
S013,C,0.3,80,额定载质量限制,5.6,4.89171403094015,80,True
S014,A,0.3,25,额定载质量限制,3.15,2.4255872304885484,25,True
S014,B,0.3,30,额定载质量限制,2.8,2.3552205378029694,30,True
S014,C,0.3,79.90587890148163,往返安全能量限制,5.6,5.599999953909775,80,True
S015,A,0.3,25,额定载质量限制,3.15,2.6193442676312952,25,True
S015,B,0.3,30,额定载质量限制,2.8,2.544527926579269,30,True
S015,C,0.3,73.00386071205139,往返安全能量限制,5.6,5.59999998164439,80,True
S001,A,0.35,25,额定载质量限制,2.9250000000000003,1.3127102413808114,25,True
S001,B,0.35,30,额定载质量限制,2.6,1.2739409718481534,30,True
S001,C,0.35,80,额定载质量限制,5.2,3.08170436066632,80,True
S002,A,0.35,17.283795028924942,往返安全能量限制,2.9250000000000003,2.9249999875533237,25,True
S002,B,0.35,22.290045619010925,往返安全能量限制,2.6,2.5999999683166743,30,True
S002,C,0.35,40.14873266220093,往返安全能量限制,5.2,5.199999994900662,80,True
S003,A,0.35,13.567428290843964,往返安全能量限制,2.9250000000000003,2.9249999970082188,25,True
S003,B,0.35,20.435295403003693,往返安全能量限制,2.6,2.59999998563741,30,True
S003,C,0.35,38.62098932266235,往返安全能量限制,5.2,5.199999992814796,80,True
S004,A,0.35,5.073702335357666,往返安全能量限制,2.9250000000000003,2.9249999982017947,25,True
S004,B,0.35,17.82777339220047,往返安全能量限制,2.6,2.599999996941649,30,True
S004,C,0.35,28.49576473236084,往返安全能量限制,5.2,5.199999988595481,80,True
S005,A,0.35,25,额定载质量限制,2.9250000000000003,2.244865011388093,25,True
S005,B,0.35,30,额定载质量限制,2.6,2.178257601126719,30,True
S005,C,0.35,78.7723833322525,往返安全能量限制,5.2,5.19999996538824,80,True
S006,A,0.35,25,额定载质量限制,2.9250000000000003,1.3896826004864364,25,True
S006,B,0.35,30,额定载质量限制,2.6,1.3500226341272559,30,True
S006,C,0.35,80,额定载质量限制,5.2,3.2532717885603226,80,True
S007,A,0.35,25,额定载质量限制,2.9250000000000003,2.0179724910850116,25,True
S007,B,0.35,30,额定载质量限制,2.6,1.95981561942133,30,True
S007,C,0.35,80,额定载质量限制,5.2,4.6796101703532695,80,True
S008,A,0.35,,空载往返能量不足,2.9250000000000003,,25,False
S008,B,0.35,14.44529414176941,往返安全能量限制,2.6,2.599999992762057,30,True
S008,C,0.35,15.681818127632141,往返安全能量限制,5.2,5.199999998755783,80,True
S009,A,0.35,25,额定载质量限制,2.9250000000000003,2.3868888130198633,25,True
S009,B,0.35,30,额定载质量限制,2.6,2.3164140175598926,30,True
S009,C,0.35,73.490149974823,往返安全能量限制,5.2,5.199999990103218,80,True
S010,A,0.35,25,额定载质量限制,2.9250000000000003,2.0707297630186403,25,True
S010,B,0.35,30,额定载质量限制,2.6,2.011040412354545,30,True
S010,C,0.35,80,额定载质量限制,5.2,4.858856926614966,80,True
S011,A,0.35,25,额定载质量限制,2.9250000000000003,1.2195961128656,25,True
S011,B,0.35,30,额定载质量限制,2.6,1.1839226028325527,30,True
S011,C,0.35,80,额定载质量限制,5.2,2.8532102708956293,80,True
S012,A,0.35,15.040323138237,往返安全能量限制,2.9250000000000003,2.9249999887028046,25,True
S012,B,0.35,21.24633640050888,往返安全能量限制,2.6,2.5999999736370962,30,True
S012,C,0.35,38.52992236614227,往返安全能量限制,5.2,5.199999987125967,80,True
S013,A,0.35,25,额定载质量限制,2.9250000000000003,2.07421509600092,25,True
S013,B,0.35,30,额定载质量限制,2.6,2.014429642036623,30,True
S013,C,0.35,80,额定载质量限制,5.2,4.89171403094015,80,True
S014,A,0.35,25,额定载质量限制,2.9250000000000003,2.4255872304885484,25,True
S014,B,0.35,30,额定载质量限制,2.6,2.3552205378029694,30,True
S014,C,0.35,74.2444097995758,往返安全能量限制,5.2,5.199999997836926,80,True
S015,A,0.35,25,额定载质量限制,2.9250000000000003,2.6193442676312952,25,True
S015,B,0.35,30,额定载质量限制,2.6,2.544527926579269,30,True
S015,C,0.35,65.93490183353424,往返安全能量限制,5.2,5.199999992167363,80,True
S001,A,0.4,25,额定载质量限制,2.6999999999999997,1.3127102413808114,25,True
S001,B,0.4,30,额定载质量限制,2.4,1.2739409718481534,30,True
S001,C,0.4,80,额定载质量限制,4.8,3.08170436066632,80,True
S002,A,0.4,,空载往返能量不足,2.6999999999999997,,25,False
S002,B,0.4,15.70065826177597,往返安全能量限制,2.4,2.3999999862000285,30,True
S002,C,0.4,19.212015867233276,往返安全能量限制,4.8,4.79999999392377,80,True
S003,A,0.4,,空载往返能量不足,2.6999999999999997,,25,False
S003,B,0.4,12.85735309123993,往返安全能量限制,2.4,2.399999985411749,30,True
S003,C,0.4,17.27960705757141,往返安全能量限制,4.8,4.799999996145842,80,True
S004,A,0.4,,空载往返能量不足,2.6999999999999997,,25,False
S004,B,0.4,8.66939127445221,往返安全能量限制,2.4,2.399999987103757,30,True
S004,C,0.4,,空载往返能量不足,4.8,,80,False
S005,A,0.4,25,额定载质量限制,2.6999999999999997,2.244865011388093,25,True
S005,B,0.4,30,额定载质量限制,2.4,2.178257601126719,30,True
S005,C,0.4,72.48139321804047,往返安全能量限制,4.8,4.7999999830782665,80,True
S006,A,0.4,25,额定载质量限制,2.6999999999999997,1.3896826004864364,25,True
S006,B,0.4,30,额定载质量限制,2.4,1.3500226341272559,30,True
S006,C,0.4,80,额定载质量限制,4.8,3.2532717885603226,80,True
S007,A,0.4,25,额定载质量限制,2.6999999999999997,2.0179724910850116,25,True
S007,B,0.4,30,额定载质量限制,2.4,1.95981561942133,30,True
S007,C,0.4,80,额定载质量限制,4.8,4.6796101703532695,80,True
S008,A,0.4,,空载往返能量不足,2.6999999999999997,,25,False
S008,B,0.4,1.3978931307792664,往返安全能量限制,2.4,2.3999999981718316,30,True
S008,C,0.4,,空载往返能量不足,4.8,,80,False
S009,A,0.4,25,额定载质量限制,2.6999999999999997,2.3868888130198633,25,True
S009,B,0.4,30,额定载质量限制,2.4,2.3164140175598926,30,True
S009,C,0.4,65.99483489990234,往返安全能量限制,4.8,4.799999992001748,80,True
S010,A,0.4,25,额定载质量限制,2.6999999999999997,2.0707297630186403,25,True
S010,B,0.4,30,额定载质量限制,2.4,2.011040412354545,30,True
S010,C,0.4,79.15306448936462,往返安全能量限制,4.8,4.799999988347219,80,True
S011,A,0.4,25,额定载质量限制,2.6999999999999997,1.2195961128656,25,True
S011,B,0.4,30,额定载质量限制,2.4,1.1839226028325527,30,True
S011,C,0.4,80,额定载质量限制,4.8,2.8532102708956293,80,True
S012,A,0.4,,空载往返能量不足,2.6999999999999997,,25,False
S012,B,0.4,14.135173559188843,往返安全能量限制,2.4,2.399999990353106,30,True
S012,C,0.4,16.669130325317383,往返安全能量限制,4.8,4.799999998301554,80,True
S013,A,0.4,25,额定载质量限制,2.6999999999999997,2.07421509600092,25,True
S013,B,0.4,30,额定载质量限制,2.4,2.014429642036623,30,True
S013,C,0.4,78.68015766143799,往返安全能量限制,4.8,4.79999999746958,80,True
S014,A,0.4,25,额定载质量限制,2.6999999999999997,2.4255872304885484,25,True
S014,B,0.4,30,额定载质量限制,2.4,2.3552205378029694,30,True
S014,C,0.4,66.7605721950531,往返安全能量限制,4.8,4.799999977412516,80,True
S015,A,0.4,25,额定载质量限制,2.6999999999999997,2.6193442676312952,25,True
S015,B,0.4,27.19721406698227,往返安全能量限制,2.4,2.3999999809757435,30,True
S015,C,0.4,56.35968863964081,往返安全能量限制,4.8,4.799999998973883,80,True
S001,A,0.45,25,额定载质量限制,2.475,1.3127102413808114,25,True
S001,B,0.45,30,额定载质量限制,2.2,1.2739409718481534,30,True
S001,C,0.45,80,额定载质量限制,4.4,3.08170436066632,80,True
S002,A,0.45,,空载往返能量不足,2.475,,25,False
S002,B,0.45,2.9051560163497925,往返安全能量限制,2.2,2.199999998511828,30,True
S002,C,0.45,,空载往返能量不足,4.4,,80,False
S003,A,0.45,,空载往返能量不足,2.475,,25,False
S003,B,0.45,,空载往返能量不足,2.2,,30,False
S003,C,0.45,,空载往返能量不足,4.4,,80,False
S004,A,0.45,,空载往返能量不足,2.475,,25,False
