partition_id,policy,identity,K,workload_cv,relay_sorties_executed,total_energy_kwh,partition,total_U_A,total_U_B,total_U_C,total_B_A,total_B_B,total_B_C,total_R,total_RE,gap_U_A,gap_U_B,gap_U_C,gap_B_A,gap_B_B,gap_B_C,gap_R,gap_RE
clone-2-0005-minimum,clone,minimum,2,0.8306194263315657,3,66.44527328256848,"S001,S002,S003,S004,S005,S006,S007,S008,S009,S011,S012,S013,S015 / S010,S014",4,4,2,6,6,4,3,3,0,2,0,0,2,0,1,0
clone-2-0006-minimum,clone,minimum,2,0.8279945658231778,5,67.58743663533544,"S001,S002,S003,S004,S005,S006,S007,S008,S009,S011,S013,S014,S015 / S010,S012",4,3,2,6,5,4,4,5,0,1,0,0,1,0,2,0
clone-2-0007-minimum,clone,minimum,2,0.7355318157582227,4,67.16062500108146,"S001,S002,S003,S004,S005,S006,S007,S008,S009,S011,S013,S015 / S010,S012,S014",4,4,2,6,6,4,4,4,0,2,0,0,2,0,2,0
clone-2-0008-minimum,clone,minimum,2,0.8089331600404833,4,67.65241413197538,"S001,S002,S003,S004,S005,S006,S007,S009,S010,S011,S012,S013,S014,S015 / S008",4,4,2,6,6,4,3,4,0,2,0,0,2,0,1,0
clone-2-0009-minimum,clone,minimum,2,0.7164704099755281,5,68.07922576622936,"S001,S002,S003,S004,S005,S006,S007,S009,S010,S011,S012,S013,S015 / S008,S014",4,4,2,6,5,4,3,5,0,2,0,0,1,0,1,0
clone-2-0010-minimum,clone,minimum,2,0.7138455494671403,5,68.36776585048835,"S001,S002,S003,S004,S005,S006,S007,S009,S010,S011,S013,S014,S015 / S008,S012",4,4,2,6,6,4,4,5,0,2,0,0,2,0,2,0
clone-2-0011-minimum,clone,minimum,2,0.6213827994021852,6,68.79457748474235,"S001,S002,S003,S004,S005,S006,S007,S009,S010,S011,S013,S015 / S008,S012,S014",4,3,2,6,5,4,4,6,0,1,0,0,1,0,2,0
clone-2-0012-minimum,clone,minimum,2,0.7320153364370042,5,68.07922576622936,"S001,S002,S003,S004,S005,S006,S007,S009,S011,S012,S013,S014,S015 / S008,S010",4,4,2,6,5,4,3,5,0,2,0,0,1,0,1,0
clone-2-0013-minimum,clone,minimum,2,0.639552586372049,4,67.65241413197538,"S001,S002,S003,S004,S005,S006,S007,S009,S011,S012,S013,S015 / S008,S010,S014",4,4,2,6,4,4,3,4,0,2,0,0,0,0,1,0
clone-2-0014-minimum,clone,minimum,2,0.6369277258636611,6,68.79457748474233,"S001,S002,S003,S004,S005,S006,S007,S009,S011,S013,S014,S015 / S008,S010,S012",4,4,2,6,5,4,4,6,0,2,0,0,1,0,2,0
clone-2-0015-minimum,clone,minimum,2,0.544464975798706,5,68.36776585048835,"S001,S002,S003,S004,S005,S006,S007,S009,S011,S013,S015 / S008,S010,S012,S014",4,3,2,6,4,4,4,5,0,1,0,0,0,0,2,0
clone-2-0016-minimum,clone,minimum,2,0.886208274044556,4,67.16062500108146,"S001,S002,S003,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015 / S004",4,2,3,6,4,4,3,4,0,0,1,0,0,0,1,0
clone-2-0017-minimum,clone,minimum,2,0.7937455239796009,5,67.58743663533545,"S001,S002,S003,S005,S006,S007,S008,S009,S010,S011,S012,S013,S015 / S004,S014",4,3,3,6,5,4,4,5,0,1,1,0,1,0,2,0
clone-2-0018-minimum,clone,minimum,2,0.791120663471213,4,67.16062500108146,"S001,S002,S003,S005,S006,S007,S008,S009,S010,S011,S013,S014,S015 / S004,S012",4,3,3,6,4,4,3,4,0,1,1,0,0,0,1,0
clone-2-0019-minimum,clone,minimum,2,0.6986579134062578,5,67.58743663533544,"S001,S002,S003,S005,S006,S007,S008,S009,S010,S011,S013,S015 / S004,S012,S014",4,3,3,6,5,4,4,5,0,1,1,0,1,0,2,0
clone-2-0020-minimum,clone,minimum,2,0.8092904504410768,5,67.58743663533544,"S001,S002,S003,S005,S006,S007,S008,S009,S011,S012,S013,S014,S015 / S004,S010",4,3,3,6,5,4,4,5,0,1,1,0,1,0,2,0
clone-2-0021-minimum,clone,minimum,2,0.7168277003761218,4,67.16062500108146,"S001,S002,S003,S005,S006,S007,S008,S009,S011,S012,S013,S015 / S004,S010,S014",4,4,3,6,6,4,4,4,0,2,1,0,2,0,2,0
clone-2-0022-minimum,clone,minimum,2,0.7142028398677338,5,67.58743663533545,"S001,S002,S003,S005,S006,S007,S008,S009,S011,S013,S014,S015 / S004,S010,S012",4,3,3,6,5,4,4,5,0,1,1,0,1,0,2,0
clone-2-0023-minimum,clone,minimum,2,0.6217400898027787,4,67.16062500108146,"S001,S002,S003,S005,S006,S007,S008,S009,S011,S013,S015 / S004,S010,S012,S014",4,4,3,6,6,4,4,4,0,2,1,0,2,0,2,0
clone-2-0024-minimum,clone,minimum,2,0.6951414340850394,5,68.36776585048835,"S001,S002,S003,S005,S006,S007,S009,S010,S011,S012,S013,S014,S015 / S004,S008",4,4,3,6,6,4,4,5,0,2,1,0,2,0,2,0
clone-2-0025-minimum,clone,minimum,2,0.6026786840200842,6,68.79457748474235,"S001,S002,S003,S005,S006,S007,S009,S010,S011,S012,S013,S015 / S004,S008,S014",4,4,3,6,5,4,4,6,0,2,1,0,1,0,2,0
clone-2-0026-minimum,clone,minimum,2,0.6000538235116963,5,68.36776585048835,"S001,S002,S003,S005,S006,S007,S009,S010,S011,S013,S014,S015 / S004,S008,S012",4,4,3,6,6,4,4,5,0,2,1,0,2,0,2,0
clone-2-0027-minimum,clone,minimum,2,0.5075910734467411,6,68.79457748474233,"S001,S002,S003,S005,S006,S007,S009,S010,S011,S013,S015 / S004,S008,S012,S014",4,3,3,6,5,4,4,6,0,1,1,0,1,0,2,0
clone-2-0028-minimum,clone,minimum,2,0.6182236104815602,6,68.79457748474233,"S001,S002,S003,S005,S006,S007,S009,S011,S012,S013,S014,S015 / S004,S008,S010",4,4,3,6,5,4,4,6,0,2,1,0,1,0,2,0
clone-2-0029-minimum,clone,minimum,2,0.5257608604166051,5,68.36776585048835,"S001,S002,S003,S005,S006,S007,S009,S011,S012,S013,S015 / S004,S008,S010,S014",4,4,3,6,4,4,4,5,0,2,1,0,0,0,2,0
clone-2-0030-minimum,clone,minimum,2,0.5231359999082171,6,68.79457748474233,"S001,S002,S003,S005,S006,S007,S009,S011,S013,S014,S015 / S004,S008,S010,S012",4,4,3,6,5,4,4,6,0,2,1,0,1,0,2,0
clone-2-0031-minimum,clone,minimum,2,0.430673249843262,5,68.36776585048835,"S001,S002,S003,S005,S006,S007,S009,S011,S013,S015 / S004,S008,S010,S012,S014",4,3,3,6,4,4,4,5,0,1,1,0,0,0,2,0
clone-2-0032-minimum,clone,minimum,2,0.12994278507298565,4,67.65241413197538,"S001,S002,S004,S008,S009,S010,S012,S013,S014 / S003,S005,S006,S007,S011,S015",5,3,4,6,4,6,3,4,1,1,2,0,0,2,1,0
clone-2-0033-minimum,clone,minimum,2,0.0374800350080305,5,68.07922576622936,"S001,S002,S004,S008,S009,S010,S012,S013 / S003,S005,S006,S007,S011,S014,S015",5,4,4,6,5,6,3,5,1,2,2,0,1,2,1,0
clone-2-0034-minimum,clone,minimum,2,0.03485517449964261,5,68.36776585048835,"S001,S002,S004,S008,S009,S010,S013,S014 / S003,S005,S006,S007,S011,S012,S015",5,4,4,6,4,6,4,5,1,2,2,0,0,2,2,0
clone-2-0035-minimum,clone,minimum,2,0.05760757556531254,6,68.79457748474235,"S001,S002,S004,S008,S009,S010,S013 / S003,S005,S006,S007,S011,S012,S014,S015",5,4,4,6,5,6,4,6,1,2,2,0,1,2,2,0
clone-2-0036-minimum,clone,minimum,2,0.05302496146950649,5,68.07922576622936,"S001,S002,S004,S008,S009,S012,S013,S014 / S003,S005,S006,S007,S010,S011,S015",5,3,4,6,5,6,3,5,1,1,2,0,1,2,1,0
clone-2-0037-minimum,clone,minimum,2,0.03943778859544866,4,67.65241413197538,"S001,S002,S004,S008,S009,S012,S013 / S003,S005,S006,S007,S010,S011,S014,S015",5,4,4,6,6,6,3,4,1,2,2,0,2,2,1,0
clone-2-0038-minimum,clone,minimum,2,0.04206264910383655,6,68.79457748474233,"S001,S002,S004,S008,S009,S013,S014 / S003,S005,S006,S007,S010,S011,S012,S015",5,4,4,6,5,6,4,6,1,2,2,0,1,2,2,0
clone-2-0039-minimum,clone,minimum,2,0.1345253991687917,5,68.36776585048835,"S001,S002,S004,S008,S009,S013 / S003,S005,S006,S007,S010,S011,S012,S014,S015",5,4,4,6,6,6,4,5,1,2,2,0,2,2,2,0
clone-2-0040-minimum,clone,minimum,2,0.061124054886531,4,67.65241413197538,"S001,S002,S004,S009,S010,S012,S013,S014 / S003,S005,S006,S007,S008,S011,S015",5,4,4,6,6,6,3,4,1,2,2,0,2,2,1,0
clone-2-0041-minimum,clone,minimum,2,0.15358680495148613,5,68.07922576622934,"S001,S002,S004,S009,S010,S012,S013 / S003,S005,S006,S007,S008,S011,S014,S015",5,3,4,6,5,6,3,5,1,1,2,0,1,2,1,0
clone-2-0042-minimum,clone,minimum,2,0.15621166545987406,5,68.36776585048835,"S001,S002,S004,S009,S010,S013,S014 / S003,S005,S006,S007,S008,S011,S012,S015",5,4,4,6,6,6,4,5,1,2,2,0,2,2,2,0
clone-2-0043-minimum,clone,minimum,2,0.2486744155248292,6,68.79457748474233,"S001,S002,S004,S009,S010,S013 / S003,S005,S006,S007,S008,S011,S012,S014,S015",5,3,4,6,5,6,4,6,1,1,2,0,1,2,2,0
clone-2-0044-minimum,clone,minimum,2,0.13804187849001015,5,68.07922576622936,"S001,S002,S004,S009,S012,S013,S014 / S003,S005,S006,S007,S008,S010,S011,S015",5,3,4,6,5,6,3,5,1,1,2,0,1,2,1,0
clone-2-0045-minimum,clone,minimum,2,0.2305046285549653,4,67.65241413197538,"S001,S002,S004,S009,S012,S013 / S003,S005,S006,S007,S008,S010,S011,S014,S015",5,3,4,6,4,6,3,4,1,1,2,0,0,2,1,0
clone-2-0046-minimum,clone,minimum,2,0.2331294890633532,6,68.79457748474233,"S001,S002,S004,S009,S013,S014 / S003,S005,S006,S007,S008,S010,S011,S012,S015",5,3,4,6,5,6,4,6,1,1,2,0,1,2,2,0
clone-2-0047-minimum,clone,minimum,2,0.32559223912830837,5,68.36776585048835,"S001,S002,S004,S009,S013 / S003,S005,S006,S007,S008,S010,S011,S012,S014,S015",5,2,4,6,4,6,4,5,1,0,2,0,0,2,2,0
clone-2-0048-minimum,clone,minimum,2,0.01615105911754167,5,68.36776585048835,"S001,S002,S008,S009,S010,S012,S013,S014 / S003,S004,S005,S006,S007,S011,S015",5,3,4,6,4,6,4,5,1,1,2,0,0,2,2,0
clone-2-0049-minimum,clone,minimum,2,0.07631169094741348,6,68.79457748474233,"S001,S002,S008,S009,S010,S012,S013 / S003,S004,S005,S006,S007,S011,S014,S015",5,4,4,6,5,6,4,6,1,2,2,0,1,2,2,0
clone-2-0050-minimum,clone,minimum,2,0.07893655145580138,5,68.36776585048835,"S001,S002,S008,S009,S010,S013,S014 / S003,S004,S005,S006,S007,S011,S012,S015",5,4,4,6,4,6,4,5,1,2,2,0,0,2,2,0
clone-2-0051-minimum,clone,minimum,2,0.17139930152075653,6,68.79457748474233,"S001,S002,S008,S009,S010,S013 / S003,S004,S005,S006,S007,S011,S012,S014,S015",5,4,4,6,5,6,4,6,1,2,2,0,1,2,2,0
clone-2-0052-minimum,clone,minimum,2,0.0607667644859375,6,68.79457748474233,"S001,S002,S008,S009,S012,S013,S014 / S003,S004,S005,S006,S007,S010,S011,S015",5,3,4,6,5,6,4,6,1,1,2,0,1,2,2,0
clone-2-0053-minimum,clone,minimum,2,0.15322951455089265,5,68.36776585048835,"S001,S002,S008,S009,S012,S013 / S003,S004,S005,S006,S007,S010,S011,S014,S015",5,4,4,6,6,6,4,5,1,2,2,0,2,2,2,0
clone-2-0054-minimum,clone,minimum,2,0.15585437505928054,6,68.79457748474233,"S001,S002,S008,S009,S013,S014 / S003,S004,S005,S006,S007,S010,S011,S012,S015",5,4,4,6,5,6,4,6,1,2,2,0,1,2,2,0
clone-2-0055-minimum,clone,minimum,2,0.24831712512423568,5,68.36776585048835,"S001,S002,S008,S009,S013 / S003,S004,S005,S006,S007,S010,S011,S012,S014,S015",5,4,4,6,6,6,4,5,1,2,2,0,2,2,2,0
clone-2-0056-minimum,clone,minimum,2,0.17491578084197498,5,68.36776585048835,"S001,S002,S009,S010,S012,S013,S014 / S003,S004,S005,S006,S007,S008,S011,S015",5,4,4,6,6,6,4,5,1,2,2,0,2,2,2,0
clone-2-0057-minimum,clone,minimum,2,0.26737853090693015,6,68.79457748474233,"S001,S002,S009,S010,S012,S013 / S003,S004,S005,S006,S007,S008,S011,S014,S015",5,3,4,6,5,6,4,6,1,1,2,0,1,2,2,0
clone-2-0058-minimum,clone,minimum,2,0.27000339141531804,5,68.36776585048835,"S001,S002,S009,S010,S013,S014 / S003,S004,S005,S006,S007,S008,S011,S012,S015",5,4,4,6,6,6,4,5,1,2,2,0,2,2,2,0
clone-2-0059-minimum,clone,minimum,2,0.3624661414802732,6,68.79457748474233,"S001,S002,S009,S010,S013 / S003,S004,S005,S006,S007,S008,S011,S012,S014,S015",5,3,4,6,5,6,4,6,1,1,2,0,1,2,2,0
clone-2-0060-minimum,clone,minimum,2,0.2518336044454541,6,68.79457748474233,"S001,S002,S009,S012,S013,S014 / S003,S004,S005,S006,S007,S008,S010,S011,S015",5,3,4,6,5,6,4,6,1,1,2,0,1,2,2,0
clone-2-0061-minimum,clone,minimum,2,0.3442963545104093,5,68.36776585048835,"S001,S002,S009,S012,S013 / S003,S004,S005,S006,S007,S008,S010,S011,S014,S015",5,3,4,6,4,6,4,5,1,1,2,0,0,2,2,0
clone-2-0062-minimum,clone,minimum,2,0.3469212150187972,6,68.79457748474233,"S001,S002,S009,S013,S014 / S003,S004,S005,S006,S007,S008,S010,S011,S012,S015",5,3,4,6,5,6,4,6,1,1,2,0,1,2,2,0
clone-2-0063-minimum,clone,minimum,2,0.4393839650837523,5,68.36776585048835,"S001,S002,S009,S013 / S003,S004,S005,S006,S007,S008,S010,S011,S012,S014,S015",5,2,4,6,4,6,4,5,1,0,2,0,0,2,2,0
clone-2-0064-minimum,clone,minimum,2,0.596955312144224,5,68.36776585048835,"S001,S003,S004,S005,S006,S007,S008,S010,S011,S012,S014,S015 / S002,S009,S013",5,2,3,6,4,4,4,5,1,0,1,0,0,0,2,0
clone-2-0065-minimum,clone,minimum,2,0.504492562079269,6,68.79457748474233,"S001,S003,S004,S005,S006,S007,S008,S010,S011,S012,S015 / S002,S009,S013,S014",5,3,3,6,5,4,4,6,1,1,1,0,1,0,2,0
clone-2-0066-minimum,clone,minimum,2,0.501867701570881,5,68.36776585048835,"S001,S003,S004,S005,S006,S007,S008,S010,S011,S014,S015 / S002,S009,S012,S013",5,3,3,6,4,4,4,5,1,1,1,0,0,0,2,0
clone-2-0067-minimum,clone,minimum,2,0.4094049515059259,6,68.79457748474233,"S001,S003,S004,S005,S006,S007,S008,S010,S011,S015 / S002,S009,S012,S013,S014",5,3,3,6,5,4,4,6,1,1,1,0,1,0,2,0
clone-2-0068-minimum,clone,minimum,2,0.5200374885407449,6,68.79457748474233,"S001,S003,S004,S005,S006,S007,S008,S011,S012,S014,S015 / S002,S009,S010,S013",5,3,3,6,5,4,4,6,1,1,1,0,1,0,2,0
clone-2-0069-minimum,clone,minimum,2,0.42757473847578975,5,68.36776585048835,"S001,S003,S004,S005,S006,S007,S008,S011,S012,S015 / S002,S009,S010,S013,S014",5,4,3,6,6,4,4,5,1,2,1,0,2,0,2,0
clone-2-0070-minimum,clone,minimum,2,0.42494987796740186,6,68.79457748474233,"S001,S003,S004,S005,S006,S007,S008,S011,S014,S015 / S002,S009,S010,S012,S013",5,3,3,6,5,4,4,6,1,1,1,0,1,0,2,0
clone-2-0071-minimum,clone,minimum,2,0.3324871279024467,5,68.36776585048835,"S001,S003,S004,S005,S006,S007,S008,S011,S015 / S002,S009,S010,S012,S013,S014",5,4,3,6,6,4,4,5,1,2,1,0,2,0,2,0
clone-2-0072-minimum,clone,minimum,2,0.4058884721847074,5,68.36776585048835,"S001,S003,S004,S005,S006,S007,S010,S011,S012,S014,S015 / S002,S008,S009,S013",5,4,3,6,6,4,4,5,1,2,1,0,2,0,2,0
clone-2-0073-minimum,clone,minimum,2,0.3134257221197523,6,68.79457748474233,"S001,S003,S004,S005,S006,S007,S010,S011,S012,S015 / S002,S008,S009,S013,S014",5,4,3,6,5,4,4,6,1,2,1,0,1,0,2,0
clone-2-0074-minimum,clone,minimum,2,0.3108008616113644,5,68.36776585048835,"S001,S003,S004,S005,S006,S007,S010,S011,S014,S015 / S002,S008,S009,S012,S013",5,4,3,6,6,4,4,5,1,2,1,0,2,0,2,0
clone-2-0075-minimum,clone,minimum,2,0.21833811154640922,6,68.79457748474233,"S001,S003,S004,S005,S006,S007,S010,S011,S015 / S002,S008,S009,S012,S013,S014",5,3,3,6,5,4,4,6,1,1,1,0,1,0,2,0
clone-2-0076-minimum,clone,minimum,2,0.32897064858122826,6,68.79457748474233,"S001,S003,S004,S005,S006,S007,S011,S012,S014,S015 / S002,S008,S009,S010,S013",5,4,3,6,5,4,4,6,1,2,1,0,1,0,2,0
clone-2-0077-minimum,clone,minimum,2,0.2365078985162731,5,68.36776585048835,"S001,S003,S004,S005,S006,S007,S011,S012,S015 / S002,S008,S009,S010,S013,S014",5,4,3,6,4,4,4,5,1,2,1,0,0,0,2,0
clone-2-0078-minimum,clone,minimum,2,0.2338830380078852,6,68.79457748474233,"S001,S003,S004,S005,S006,S007,S011,S014,S015 / S002,S008,S009,S010,S012,S013",5,4,3,6,5,4,4,6,1,2,1,0,1,0,2,0
clone-2-0079-minimum,clone,minimum,2,0.14142028794293007,5,68.36776585048835,"S001,S003,S004,S005,S006,S007,S011,S015 / S002,S008,S009,S010,S012,S013,S014",5,3,3,6,4,4,4,5,1,1,1,0,0,0,2,0
clone-2-0080-minimum,clone,minimum,2,0.4831635861887801,5,68.36776585048835,"S001,S003,S005,S006,S007,S008,S010,S011,S012,S014,S015 / S002,S004,S009,S013",5,2,4,6,4,4,4,5,1,0,2,0,0,0,2,0
clone-2-0081-minimum,clone,minimum,2,0.39070083612382495,6,68.79457748474233,"S001,S003,S005,S006,S007,S008,S010,S011,S012,S015 / S002,S004,S009,S013,S014",5,3,4,6,5,4,4,6,1,1,2,0,1,0,2,0
clone-2-0082-minimum,clone,minimum,2,0.38807597561543705,4,67.65241413197538,"S001,S003,S005,S006,S007,S008,S010,S011,S014,S015 / S002,S004,S009,S012,S013",5,3,4,6,4,4,3,4,1,1,2,0,0,0,1,0
clone-2-0083-minimum,clone,minimum,2,0.29561322555048186,5,68.07922576622936,"S001,S003,S005,S006,S007,S008,S010,S011,S015 / S002,S004,S009,S012,S013,S014",5,3,4,6,5,4,3,5,1,1,2,0,1,0,1,0
clone-2-0084-minimum,clone,minimum,2,0.40624576258530093,6,68.79457748474233,"S001,S003,S005,S006,S007,S008,S011,S012,S014,S015 / S002,S004,S009,S010,S013",5,3,4,6,5,4,4,6,1,1,2,0,1,0,2,0
clone-2-0085-minimum,clone,minimum,2,0.3137830125203458,5,68.36776585048835,"S001,S003,S005,S006,S007,S008,S011,S012,S015 / S002,S004,S009,S010,S013,S014",5,4,4,6,6,4,4,5,1,2,2,0,2,0,2,0
clone-2-0086-minimum,clone,minimum,2,0.31115815201195784,5,68.07922576622934,"S001,S003,S005,S006,S007,S008,S011,S014,S015 / S002,S004,S009,S010,S012,S013",5,3,4,6,5,4,3,5,1,1,2,0,1,0,1,0
clone-2-0087-minimum,clone,minimum,2,0.21869540194700274,4,67.65241413197538,"S001,S003,S005,S006,S007,S008,S011,S015 / S002,S004,S009,S010,S012,S013,S014",5,4,4,6,6,4,3,4,1,2,2,0,2,0,1,0
clone-2-0088-minimum,clone,minimum,2,0.29209674622926346,5,68.36776585048835,"S001,S003,S005,S006,S007,S010,S011,S012,S014,S015 / S002,S004,S008,S009,S013",5,4,4,6,6,4,4,5,1,2,2,0,2,0,2,0
clone-2-0089-minimum,clone,minimum,2,0.1996339961643083,6,68.79457748474233,"S001,S003,S005,S006,S007,S010,S011,S012,S015 / S002,S004,S008,S009,S013,S014",5,4,4,6,5,4,4,6,1,2,2,0,1,0,2,0
clone-2-0090-minimum,clone,minimum,2,0.1970091356559204,4,67.65241413197538,"S001,S003,S005,S006,S007,S010,S011,S014,S015 / S002,S004,S008,S009,S012,S013",5,4,4,6,6,4,3,4,1,2,2,0,2,0,1,0
clone-2-0091-minimum,clone,minimum,2,0.10454638559096525,5,68.07922576622936,"S001,S003,S005,S006,S007,S010,S011,S015 / S002,S004,S008,S009,S012,S013,S014",5,3,4,6,5,4,3,5,1,1,2,0,1,0,1,0
clone-2-0092-minimum,clone,minimum,2,0.21517892262578428,6,68.79457748474233,"S001,S003,S005,S006,S007,S011,S012,S014,S015 / S002,S004,S008,S009,S010,S013",5,4,4,6,5,4,4,6,1,2,2,0,1,0,2,0
clone-2-0093-minimum,clone,minimum,2,0.12271617256082912,5,68.36776585048835,"S001,S003,S005,S006,S007,S011,S012,S015 / S002,S004,S008,S009,S010,S013,S014",5,4,4,6,4,4,4,5,1,2,2,0,0,0,2,0
clone-2-0094-minimum,clone,minimum,2,0.12009131205244122,5,68.07922576622934,"S001,S003,S005,S006,S007,S011,S014,S015 / S002,S004,S008,S009,S010,S012,S013",5,4,4,6,5,4,3,5,1,2,2,0,1,0,1,0
clone-2-0095-minimum,clone,minimum,2,0.027628561987486082,4,67.65241413197538,"S001,S003,S005,S006,S007,S011,S015 / S002,S004,S008,S009,S010,S012,S013,S014",5,3,4,6,4,4,3,4,1,1,2,0,0,0,1,0
clone-2-0096-minimum,clone,minimum,2,0.2731019027827903,5,68.36776585048835,"S001,S004,S008,S010,S012,S014 / S002,S003,S005,S006,S007,S009,S011,S013,S015",4,3,4,6,4,6,4,5,0,1,2,0,0,2,2,0
clone-2-0097-minimum,clone,minimum,2,0.3655646528477454,6,68.79457748474233,"S001,S004,S008,S010,S012 / S002,S003,S005,S006,S007,S009,S011,S013,S014,S015",4,4,4,6,5,6,4,6,0,2,2,0,1,2,2,0
clone-2-0098-minimum,clone,minimum,2,0.3681895133561333,5,68.36776585048835,"S001,S004,S008,S010,S014 / S002,S003,S005,S006,S007,S009,S011,S012,S013,S015",4,4,4,6,4,6,4,5,0,2,2,0,0,2,2,0
clone-2-0099-minimum,clone,minimum,2,0.46065226342108845,6,68.79457748474233,"S001,S004,S008,S010 / S002,S003,S005,S006,S007,S009,S011,S012,S013,S014,S015",4,4,4,6,5,6,4,6,0,2,2,0,1,2,2,0
clone-2-0100-minimum,clone,minimum,2,0.35001972638626944,6,68.79457748474233,"S001,S004,S008,S012,S014 / S002,S003,S005,S006,S007,S009,S010,S011,S013,S015",4,3,4,6,5,6,4,6,0,1,2,0,1,2,2,0
clone-2-0101-minimum,clone,minimum,2,0.44248247645122457,5,68.36776585048835,"S001,S004,S008,S012 / S002,S003,S005,S006,S007,S009,S010,S011,S013,S014,S015",4,4,4,6,6,6,4,5,0,2,2,0,2,2,2,0
clone-2-0102-minimum,clone,minimum,2,0.44510733695961247,6,68.79457748474233,"S001,S004,S008,S014 / S002,S003,S005,S006,S007,S009,S010,S011,S012,S013,S015",4,4,4,6,5,6,4,6,0,2,2,0,1,2,2,0
clone-2-0103-minimum,clone,minimum,2,0.5375700870245677,5,68.36776585048835,"S001,S004,S008 / S002,S003,S005,S006,S007,S009,S010,S011,S012,S013,S014,S015",4,4,4,6,6,6,4,5,0,2,2,0,2,2,2,0
clone-2-0104-minimum,clone,minimum,2,0.46416874274230696,4,67.16062500108146,"S001,S004,S010,S012,S014 / S002,S003,S005,S006,S007,S008,S009,S011,S013,S015",4,4,4,6,6,6,4,4,0,2,2,0,2,2,2,0
clone-2-0105-minimum,clone,minimum,2,0.5566314928072621,5,67.58743663533545,"S001,S004,S010,S012 / S002,S003,S005,S006,S007,S008,S009,S011,S013,S014,S015",4,3,4,6,5,6,4,5,0,1,2,0,1,2,2,0
clone-2-0106-minimum,clone,minimum,2,0.5592563533156499,4,67.16062500108146,"S001,S004,S010,S014 / S002,S003,S005,S006,S007,S008,S009,S011,S012,S013,S015",4,4,4,6,6,6,4,4,0,2,2,0,2,2,2,0
clone-2-0107-minimum,clone,minimum,2,0.6517191033806051,5,67.58743663533544,"S001,S004,S010 / S002,S003,S005,S006,S007,S008,S009,S011,S012,S013,S014,S015",4,3,4,6,5,6,4,5,0,1,2,0,1,2,2,0
