service_id,type,mass_kg,volume_m3,maximum_reserve_percent,best_models,model_limits
S003,HYG,6.0,0.035,42.79329496352513,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":37.10163733272572,""energy_kwh"":2.8304263200273425},{""model"":""B"",""critical_reserve_percent"":42.79329496352513,""energy_kwh"":2.288268201458995},{""model"":""C"",""critical_reserve_percent"":41.515544547080516,""energy_kwh"":4.6787564362335585}]"
S004,MED,3.0,0.012,41.73173272089753,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":35.363240984668266,""energy_kwh"":2.908654155689928},{""model"":""B"",""critical_reserve_percent"":41.73173272089753,""energy_kwh"":2.330730691164099},{""model"":""C"",""critical_reserve_percent"":39.04531143121034,""energy_kwh"":4.876375085503173}]"
S004,WAT,14.0,0.027,37.803399563515484,"[""C""]","[{""model"":""A"",""critical_reserve_percent"":32.54877334652204,""energy_kwh"":3.0353051994065083},{""model"":""B"",""critical_reserve_percent"":37.4687104500343,""energy_kwh"":2.501251581998628},{""model"":""C"",""critical_reserve_percent"":37.803399563515484,""energy_kwh"":4.975728034918761}]"
S004,FOD,8.0,0.028,40.254282120471764,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":34.349045168965695,""energy_kwh"":2.9542929673965435},{""model"":""B"",""critical_reserve_percent"":40.254282120471764,""energy_kwh"":2.3898287151811295},{""model"":""C"",""critical_reserve_percent"":38.583823599206056,""energy_kwh"":4.913294112063515}]"
S004,HYG,6.0,0.035,40.93524783469257,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":34.81058808112974,""energy_kwh"":2.933523536349162},{""model"":""B"",""critical_reserve_percent"":40.93524783469257,""energy_kwh"":2.3625900866122973},{""model"":""C"",""critical_reserve_percent"":38.791572497738315,""energy_kwh"":4.896674200180935}]"
S005,MED,3.0,0.012,59.93637344415742,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":55.58517481088816,""energy_kwh"":1.9986671335100328},{""model"":""B"",""critical_reserve_percent"":59.93637344415742,""energy_kwh"":1.6025450622337032},{""model"":""C"",""critical_reserve_percent"":58.18082263085847,""energy_kwh"":3.345534189531322}]"
S005,WAT,14.0,0.027,57.323712169888495,"[""C""]","[{""model"":""A"",""critical_reserve_percent"":53.64619688690415,""energy_kwh"":2.085921140089313},{""model"":""B"",""critical_reserve_percent"":57.00431562115956,""energy_kwh"":1.7198273751536175},{""model"":""C"",""critical_reserve_percent"":57.323712169888495,""energy_kwh"":3.4141030264089203}]"
S005,FOD,8.0,0.028,58.91867986236533,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":54.88528374966191,""energy_kwh"":2.0301622312652143},{""model"":""B"",""critical_reserve_percent"":58.91867986236533,""energy_kwh"":1.6432528055053868},{""model"":""C"",""critical_reserve_percent"":57.861741069872785,""energy_kwh"":3.3710607144101767}]"
S005,HYG,6.0,0.035,59.387351113126044,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":55.20347871403099,""energy_kwh"":2.015843457868605},{""model"":""B"",""critical_reserve_percent"":59.387351113126044,""energy_kwh"":1.6245059554749584},{""model"":""C"",""critical_reserve_percent"":58.00522212812249,""energy_kwh"":3.359582229750201}]"
S006,MED,3.0,0.012,75.23638151113515,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":72.63847568986044,""energy_kwh"":1.23126859395628},{""model"":""B"",""critical_reserve_percent"":75.23638151113515,""energy_kwh"":0.9905447395545938},{""model"":""C"",""critical_reserve_percent"":74.45118033011757,""energy_kwh"":2.0439055735905938}]"
S006,WAT,14.0,0.027,73.87237173198618,"[""C""]","[{""model"":""A"",""critical_reserve_percent"":71.3589440049885,""energy_kwh"":1.2888475197755174},{""model"":""B"",""critical_reserve_percent"":73.3439471711787,""energy_kwh"":1.0662421131528521},{""model"":""C"",""critical_reserve_percent"":73.87237173198618,""energy_kwh"":2.0902102614411064}]"
S006,FOD,8.0,0.028,74.56628463845651,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":72.16636105472354,""energy_kwh"":1.252513752537441},{""model"":""B"",""critical_reserve_percent"":74.56628463845651,""energy_kwh"":1.0173486144617399},{""model"":""C"",""critical_reserve_percent"":74.23063223786698,""energy_kwh"":2.0615494209706404}]"
S006,HYG,6.0,0.035,74.87148780043486,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":72.37827923860193,""energy_kwh"":1.2429774342629127},{""model"":""B"",""critical_reserve_percent"":74.87148780043486,""energy_kwh"":1.0051404879826051},{""model"":""C"",""critical_reserve_percent"":74.32841408605577,""energy_kwh"":2.0537268731155387}]"
S007,MED,3.0,0.012,63.91003067436552,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":60.24959741130438,""energy_kwh"":1.7887681164913032},{""model"":""B"",""critical_reserve_percent"":63.91003067436552,""energy_kwh"":1.443598773025379},{""model"":""C"",""critical_reserve_percent"":63.18384729190941,""energy_kwh"":2.945292216647247}]"
S007,WAT,14.0,0.027,62.33666752432661,"[""C""]","[{""model"":""A"",""critical_reserve_percent"":58.38692411006334,""energy_kwh"":1.8725884150471492},{""model"":""B"",""critical_reserve_percent"":61.169851897115024,""energy_kwh"":1.553205924115399},{""model"":""C"",""critical_reserve_percent"":62.33666752432661,""energy_kwh"":3.013066598053871}]"
S007,FOD,8.0,0.028,62.93505308581886,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":59.558758954348235,""energy_kwh"":1.8198558470543293},{""model"":""B"",""critical_reserve_percent"":62.93505308581886,""energy_kwh"":1.4825978765672458},{""model"":""C"",""critical_reserve_percent"":62.859319669814816,""energy_kwh"":2.9712544264148146}]"
S007,HYG,6.0,0.035,63.37793790368722,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":59.86793173987282,""energy_kwh"":1.8059430717057228},{""model"":""B"",""critical_reserve_percent"":63.37793790368722,""energy_kwh"":1.4648824838525114},{""model"":""C"",""critical_reserve_percent"":63.00274058469342,""energy_kwh"":2.959780753224526}]"
S008,MED,3.0,0.012,39.69134315309131,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":32.99084306434336,""energy_kwh"":3.015412062104549},{""model"":""B"",""critical_reserve_percent"":39.69134315309131,""energy_kwh"":2.4123462738763477},{""model"":""C"",""critical_reserve_percent"":36.5483996132052,""energy_kwh"":5.076128030943584}]"
S008,WAT,14.0,0.027,35.26764734919061,"[""C""]","[{""model"":""A"",""critical_reserve_percent"":30.07866990319662,""energy_kwh"":3.146459854356152},{""model"":""B"",""critical_reserve_percent"":35.266593693194835,""energy_kwh"":2.5893362522722065},{""model"":""C"",""critical_reserve_percent"":35.26764734919061,""energy_kwh"":5.178588212064751}]"
S008,FOD,8.0,0.028,38.16212338101174,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":31.944758894522394,""energy_kwh"":3.0624858497464924},{""model"":""B"",""critical_reserve_percent"":38.16212338101174,""energy_kwh"":2.4735150647595305},{""model"":""C"",""critical_reserve_percent"":36.07412343487945,""energy_kwh"":5.114070125209643}]"
S008,HYG,6.0,0.035,38.868047528871074,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":32.421696098982565,""energy_kwh"":3.0410236755457847},{""model"":""B"",""critical_reserve_percent"":38.868047528871074,""energy_kwh"":2.445278098845157},{""model"":""C"",""critical_reserve_percent"":36.28808141754192,""energy_kwh"":5.096953486596647}]"
S009,MED,3.0,0.012,57.514499346537576,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":52.77818217508816,""energy_kwh"":2.1249818021210327},{""model"":""B"",""critical_reserve_percent"":57.514499346537576,""energy_kwh"":1.699420026138497},{""model"":""C"",""critical_reserve_percent"":55.24720351569998,""energy_kwh"":3.580223718744002}]"
S009,WAT,14.0,0.027,54.39777291994695,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":50.72872395720827,""energy_kwh"":2.2172074219256284},{""model"":""B"",""critical_reserve_percent"":54.39777291994695,""energy_kwh"":1.824089083202122},{""model"":""C"",""critical_reserve_percent"":54.346733135969785,""energy_kwh"":3.652261349122417}]"
S009,FOD,8.0,0.028,56.43820528397872,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":52.04266755406044,""energy_kwh"":2.15807996006728},{""model"":""B"",""critical_reserve_percent"":56.43820528397872,""energy_kwh"":1.7424717886408512},{""model"":""C"",""critical_reserve_percent"":54.91408424258655,""energy_kwh"":3.6068732605930762}]"
S010,MED,3.0,0.012,63.091724522619444,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":59.17759050649747,""energy_kwh"":1.8370084272076137},{""model"":""B"",""critical_reserve_percent"":63.091724522619444,""energy_kwh"":1.4763310190952224},{""model"":""C"",""critical_reserve_percent"":61.78310763015301,""energy_kwh"":3.057351389587759}]"
S010,WAT,14.0,0.027,60.93996166624889,"[""C""]","[{""model"":""A"",""critical_reserve_percent"":57.302433670197,""energy_kwh"":1.9213904848411352},{""model"":""B"",""critical_reserve_percent"":60.301966986692925,""energy_kwh"":1.5879213205322829},{""model"":""C"",""critical_reserve_percent"":60.93996166624889,""energy_kwh"":3.124803066700089}]"
S010,FOD,8.0,0.028,62.10912451312007,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":58.48966725317415,""energy_kwh"":1.8679649736071633},{""model"":""B"",""critical_reserve_percent"":62.10912451312007,""energy_kwh"":1.515635019475197},{""model"":""C"",""critical_reserve_percent"":61.46375134351602,""energy_kwh"":3.0828998925187183}]"
S011,MED,3.0,0.012,78.21403974338105,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":75.9219230999427,""energy_kwh"":1.0835134605025785},{""model"":""B"",""critical_reserve_percent"":78.21403974338105,""energy_kwh"":0.871438410264758},{""model"":""C"",""critical_reserve_percent"":77.50350016634908,""energy_kwh"":1.799719986692074}]"
S011,WAT,14.0,0.027,77.01545783809541,"[""C""]","[{""model"":""A"",""critical_reserve_percent"":74.83348400746334,""energy_kwh"":1.1324932196641493},{""model"":""B"",""critical_reserve_percent"":76.59033551611014,""energy_kwh"":0.9363865793555946},{""model"":""C"",""critical_reserve_percent"":77.01545783809541,""energy_kwh"":1.8387633729523671}]"
S011,FOD,8.0,0.028,77.64353451114867,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":75.52367594899616,""energy_kwh"":1.1014345822951725},{""model"":""B"",""critical_reserve_percent"":77.64353451114867,""energy_kwh"":0.8942586195540532},{""model"":""C"",""critical_reserve_percent"":77.31916063361346,""energy_kwh"":1.8144671493109228}]"
S012,MED,3.0,0.012,44.18576801488978,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":38.08443046930843,""energy_kwh"":2.7862006288811205},{""model"":""B"",""critical_reserve_percent"":44.18576801488978,""energy_kwh"":2.2325692794044087},{""model"":""C"",""critical_reserve_percent"":41.60750538035632,""energy_kwh"":4.671399569571494}]"
S012,WAT,14.0,0.027,40.4039394084067,"[""C""]","[{""model"":""A"",""critical_reserve_percent"":35.36357417198994,""energy_kwh"":2.9086391622604526},{""model"":""B"",""critical_reserve_percent"":40.07405429360033,""energy_kwh"":2.397037828255987},{""model"":""C"",""critical_reserve_percent"":40.4039394084067,""energy_kwh"":4.767684847327464}]"
S012,FOD,8.0,0.028,42.757790331451126,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":37.101667069429666,""energy_kwh"":2.830424981875665},{""model"":""B"",""critical_reserve_percent"":42.757790331451126,""energy_kwh"":2.289688386741955},{""model"":""C"",""critical_reserve_percent"":41.159127108169315,""energy_kwh"":4.707269831346455}]"
S013,MED,3.0,0.012,63.084451005882094,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":59.095396471231986,""energy_kwh"":1.8407071587945603},{""model"":""B"",""critical_reserve_percent"":63.084451005882094,""energy_kwh"":1.476621959764716},{""model"":""C"",""critical_reserve_percent"":61.52971181105159,""energy_kwh"":3.0776230551158728}]"
S013,WAT,14.0,0.027,60.696272109810124,"[""C""]","[{""model"":""A"",""critical_reserve_percent"":57.232394927648464,""energy_kwh"":1.924542228255819},{""model"":""B"",""critical_reserve_percent"":60.29914711552789,""energy_kwh"":1.5880341153788846},{""model"":""C"",""critical_reserve_percent"":60.696272109810124,""energy_kwh"":3.1442982312151897}]"
S013,FOD,8.0,0.028,62.10774531131618,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":58.41522728352408,""energy_kwh"":1.8713147722414163},{""model"":""B"",""critical_reserve_percent"":62.10774531131618,""energy_kwh"":1.5156901875473527},{""model"":""C"",""critical_reserve_percent"":61.21563359766575,""energy_kwh"":3.1027493121867398}]"
S014,MED,3.0,0.012,56.55578217356545,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":52.1945657893905,""energy_kwh"":2.1512445394774273},{""model"":""B"",""critical_reserve_percent"":56.55578217356545,""energy_kwh"":1.737768713057382},{""model"":""C"",""critical_reserve_percent"":55.83235336372194,""energy_kwh"":3.533411730902244}]"
S014,WAT,14.0,0.027,54.81727276582955,"[""C""]","[{""model"":""A"",""critical_reserve_percent"":49.96382664339062,""energy_kwh"":2.251627801047422},{""model"":""B"",""critical_reserve_percent"":53.27574036184581,""energy_kwh"":1.8689703855261677},{""model"":""C"",""critical_reserve_percent"":54.81727276582955,""energy_kwh"":3.6146181787336356}]"
S014,FOD,8.0,0.028,55.44332256156527,"[""C""]","[{""model"":""A"",""critical_reserve_percent"":51.36683063181224,""energy_kwh"":2.1884926215684493},{""model"":""B"",""critical_reserve_percent"":55.38820390698418,""energy_kwh"":1.7844718437206326},{""model"":""C"",""critical_reserve_percent"":55.44332256156527,""energy_kwh"":3.5645341950747786}]"
S015,MED,3.0,0.012,53.323651429847764,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":48.42202208462577,""energy_kwh"":2.3210090061918405},{""model"":""B"",""critical_reserve_percent"":53.323651429847764,""energy_kwh"":1.8670539428060897},{""model"":""C"",""critical_reserve_percent"":51.827553597174344,""energy_kwh"":3.853795712226052}]"
S015,WAT,14.0,0.027,50.73870695491638,"[""C""]","[{""model"":""A"",""critical_reserve_percent"":46.01373218400514,""energy_kwh"":2.429382051719769},{""model"":""B"",""critical_reserve_percent"":49.75995605412101,""energy_kwh"":2.0096017578351595},{""model"":""C"",""critical_reserve_percent"":50.73870695491638,""energy_kwh"":3.94090344360669}]"
S015,FOD,8.0,0.028,52.0623549730673,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":47.533864679641816,""energy_kwh"":2.3609760894161185},{""model"":""B"",""critical_reserve_percent"":52.0623549730673,""energy_kwh"":1.917505801077308},{""model"":""C"",""critical_reserve_percent"":51.41287435877479,""energy_kwh"":3.8869700512980163}]"
