id,service_id,type,type_name,mass_kg,volume_m3,first_batch,first_deadline_s,due_s,priority,volume_litre
S012-FOD-01,S012,FOD,应急食品,8.0,0.028,否,null,7200,10,28
S013-MED-01,S013,MED,医疗物资,3.0,0.012,是,3600,3600,24,12
S013-WAT-01,S013,WAT,饮用水,14.0,0.027,是,3600,3600,12,27
S013-FOD-01,S013,FOD,应急食品,8.0,0.028,否,null,7200,10,28
S014-MED-01,S014,MED,医疗物资,3.0,0.012,是,3600,7200,22,12
S014-WAT-01,S014,WAT,饮用水,14.0,0.027,是,3600,3600,12,27
S014-FOD-01,S014,FOD,应急食品,8.0,0.028,否,null,7200,10,28
S015-MED-01,S015,MED,医疗物资,3.0,0.012,是,7200,7200,18,12
S015-WAT-01,S015,WAT,饮用水,14.0,0.027,是,10800,10800,8,27
S015-FOD-01,S015,FOD,应急食品,8.0,0.028,否,null,14400,6,28
