table,field,unit,type,description
数据/service_summary.csv,safe_payloads,1,json,A/B/C机型连续安全载荷JSON字典
数据/pareto.csv,plan_id,1,text,方案编号
数据/pareto.csv,flight_count,1,integer,往返架次数
数据/pareto.csv,energy_kwh,kWh,number,单架次或方案往返总运输能耗
数据/pareto.csv,work_time_s,s,number,准备+装载+飞行+交接的累计作业时间；不是多机并行完工时间
数据/pareto.csv,flight_time_s,s,number,含水平往返及垂直升降的飞行时间
数据/pareto.csv,box_count,1,integer,货箱数
数据/pareto.csv,mass_kg,kg,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/pareto.csv,volume_m3,m^3,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/pareto.csv,model_counts,1,json,各机型架次数JSON字典
数据/pareto.csv,minimum_soc_percent,%,number,方案中最低返航SOC百分数
数据/pareto.csv,batches,1,json,完整逐架次方案JSON数组，保留真实箱号及能耗时间等所有字段
数据/pareto.csv,matches_previous_baseline,1,boolean,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/pareto.csv,normalized_objectives,1,json,相对各坐标理想最小值的目标归一化字典
数据/reserve_intervals.csv,plan_id,1,text,方案编号
数据/reserve_intervals.csv,reserve_percent,%,number,安全余量百分数，例如20表示20%
数据/reserve_intervals.csv,feasible,1,boolean,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/reserve_intervals.csv,flight_count,1,integer,往返架次数
数据/reserve_intervals.csv,energy_kwh,kWh,number,单架次或方案往返总运输能耗
数据/reserve_intervals.csv,work_time_s,s,number,准备+装载+飞行+交接的累计作业时间；不是多机并行完工时间
数据/reserve_intervals.csv,flight_time_s,s,number,含水平往返及垂直升降的飞行时间
数据/reserve_intervals.csv,box_count,1,integer,货箱数
数据/reserve_intervals.csv,mass_kg,kg,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/reserve_intervals.csv,volume_m3,m^3,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/reserve_intervals.csv,model_counts,1,json,各机型架次数JSON字典
数据/reserve_intervals.csv,minimum_soc_percent,%,number,方案中最低返航SOC百分数
数据/reserve_intervals.csv,batches,1,json,完整逐架次方案JSON数组，保留真实箱号及能耗时间等所有字段
数据/reserve_intervals.csv,lower_percent,%,number,方案适用区间下界；是否包含见lower_inclusive
数据/reserve_intervals.csv,upper_percent,%,number,方案适用区间上界
数据/reserve_intervals.csv,lower_inclusive,1,boolean,首段为true，之后下端点属于前一段
数据/reserve_intervals.csv,upper_inclusive,1,boolean,上端点满足能量等号，包含在当前区间
数据/reserve_transitions.csv,threshold_percent,%,number,相邻选中方案切换的安全余量百分数
数据/reserve_transitions.csv,equality_plan_id,1,text,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/reserve_transitions.csv,above_plan_id,1,text,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/reserve_transitions.csv,old_flight_count,1,integer,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/reserve_transitions.csv,new_flight_count,1,integer,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/reserve_transitions.csv,old_energy_kwh,kWh,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/reserve_transitions.csv,new_energy_kwh,kWh,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/reserve_transitions.csv,old_work_time_s,s,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/reserve_transitions.csv,new_work_time_s,s,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/reserve_transitions.csv,changes,1,json,方案切换前后发生变化的服务区与批次JSON数组
数据/payload_limits.csv,service_id,1,text,目标服务区编号
数据/payload_limits.csv,model,1,text,机型编号
数据/payload_limits.csv,rated_payload_kg,kg,integer,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/payload_limits.csv,full_load_maximum_reserve_percent,%,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/payload_limits.csv,empty_roundtrip_maximum_reserve_percent,%,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/payload_limits.csv,samples,1,json,报告中指定余量取值的安全载荷JSON数组
数据/payload_curves.csv,service_id,1,text,目标服务区编号
数据/payload_curves.csv,model,1,text,机型编号
数据/payload_curves.csv,reserve_percent,%,integer,安全余量百分数，例如20表示20%
数据/payload_curves.csv,safe_payload_kg,kg,integer,仅质量与能量约束下的连续最大安全载荷；null为空载往返亦不可行
数据/payload_curves.csv,limiting_factor,1,text,约束分类：额定载荷/能量余量/空载不可行
数据/all_candidates.csv,service_id,1,text,目标服务区编号
数据/all_candidates.csv,model,1,text,机型编号
数据/all_candidates.csv,counts,1,json,"按MED,WAT,FOD,HYG排列的各类货箱数JSON数组"
数据/all_candidates.csv,box_count,1,integer,货箱数
数据/all_candidates.csv,mass_kg,kg,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/all_candidates.csv,volume_m3,m^3,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/all_candidates.csv,horizontal_out_kwh,kWh,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/all_candidates.csv,horizontal_return_kwh,kWh,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/all_candidates.csv,climb_out_kwh,kWh,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/all_candidates.csv,climb_return_kwh,kWh,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/all_candidates.csv,energy_kwh,kWh,number,单架次或方案往返总运输能耗
数据/all_candidates.csv,flight_time_s,s,number,含水平往返及垂直升降的飞行时间
数据/all_candidates.csv,work_time_s,s,number,准备+装载+飞行+交接的累计作业时间；不是多机并行完工时间
数据/all_candidates.csv,critical_reserve_percent,%,number,该候选批次保持可行的最大安全余量百分数
数据/all_candidates.csv,return_soc_percent,%,number,返航剩余能量占可用电池能量的百分数
数据/all_candidates.csv,payload_limit_kg,kg,integer,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/all_candidates.csv,volume_limit_m3,m^3,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/single_box_limits.csv,service_id,1,text,目标服务区编号
数据/single_box_limits.csv,type,1,text,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/single_box_limits.csv,mass_kg,kg,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/single_box_limits.csv,volume_m3,m^3,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/single_box_limits.csv,maximum_reserve_percent,%,number,该服务区该类单箱在所有可用机型中的最大可行余量
数据/single_box_limits.csv,best_models,1,json,达到最高单箱可行余量的机型JSON数组
数据/single_box_limits.csv,model_limits,1,json,逐机型单箱可行上限JSON数组
数据/reserve_scenarios.csv,plan_id,1,text,方案编号
数据/reserve_scenarios.csv,reserve_percent,%,integer,安全余量百分数，例如20表示20%
数据/reserve_scenarios.csv,feasible,1,boolean,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/reserve_scenarios.csv,flight_count,1,integer,往返架次数
数据/reserve_scenarios.csv,energy_kwh,kWh,number,单架次或方案往返总运输能耗
数据/reserve_scenarios.csv,work_time_s,s,number,准备+装载+飞行+交接的累计作业时间；不是多机并行完工时间
数据/reserve_scenarios.csv,flight_time_s,s,number,含水平往返及垂直升降的飞行时间
数据/reserve_scenarios.csv,box_count,1,integer,货箱数
数据/reserve_scenarios.csv,mass_kg,kg,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/reserve_scenarios.csv,volume_m3,m^3,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/reserve_scenarios.csv,model_counts,1,json,各机型架次数JSON字典
数据/reserve_scenarios.csv,minimum_soc_percent,%,number,方案中最低返航SOC百分数
数据/reserve_scenarios.csv,batches,1,json,完整逐架次方案JSON数组，保留真实箱号及能耗时间等所有字段
数据/reserve_scenarios.csv,interval_plan_id,1,text,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/reserve_scenarios.csv,blocked_demands,1,json,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/batch_box_assignments.csv,batch_id,1,text,方案内架次编号
数据/batch_box_assignments.csv,service_id,1,text,目标服务区编号
数据/batch_box_assignments.csv,model,1,text,机型编号
数据/batch_box_assignments.csv,box_id,1,text,沿用正式JSON字段；详见源对象及字段名中的单位后缀
