box,sortie,service,rank,start_s,completion_s,expected_s,hard_s,first,priority,lateness_s,mass_kg,volume_m3
S006-WAT-01,Q2-005,S006,2,1029.422,1065.422,3600.0,3600.0,True,12,0,14,0.027
S006-WAT-02,Q2-005,S006,3,1065.422,1101.422,3600.0,,False,12,0,14,0.027
S006-WAT-03,Q2-005,S006,4,1101.422,1137.422,3600.0,,False,12,0,14,0.027
S007-FOD-01,Q2-002,S007,2,1111.374,1141.374,7200.0,,False,10,0,8,0.028
S007-HYG-01,Q2-004,S007,2,1111.374,1141.374,10800.0,,False,8,0,6,0.035
S007-MED-01,Q2-004,S007,1,1081.374,1111.374,3600.0,3600.0,True,24,0,3,0.012
S007-WAT-01,Q2-002,S007,1,1081.374,1111.374,3600.0,3600.0,True,12,0,14,0.027
S007-WAT-02,Q2-013,S007,1,5859.778,5895.778,3600.0,,False,12,2295.7780000000002,14,0.027
S008-FOD-01,Q2-017,S008,3,6955.568,6985.568,10800.0,,False,8,0,8,0.028
S008-HYG-01,Q2-014,S008,2,4993.725,5023.725,14400.0,,False,6,0,6,0.035
S008-MED-01,Q2-017,S008,1,6895.568,6925.568,7200.0,7200.0,True,20,0,3,0.012
S008-WAT-01,Q2-017,S008,2,6925.568,6955.568,7200.0,7200.0,True,10,0,14,0.027
S008-WAT-02,Q2-014,S008,1,4963.725,4993.725,7200.0,,False,10,0,14,0.027
S009-FOD-01,Q2-019,S009,3,8099.307,8129.307,14400.0,,False,6,0,8,0.028
S009-MED-01,Q2-019,S009,1,8039.307,8069.307,10800.0,10800.0,True,16,0,3,0.012
S009-WAT-01,Q2-019,S009,2,8069.307,8099.307,10800.0,10800.0,True,8,0,14,0.027
S010-FOD-01,Q2-008,S010,2,2535.752,2565.752,7200.0,,False,10,0,8,0.028
S010-MED-01,Q2-008,S010,1,2505.752,2535.752,3600.0,3600.0,True,24,0,3,0.012
S010-WAT-01,Q2-008,S010,3,2565.752,2595.752,3600.0,3600.0,True,12,0,14,0.027
S011-FOD-01,Q2-018,S011,3,7543.522,7579.522,14400.0,,False,6,0,8,0.028
S011-MED-01,Q2-018,S011,1,7471.522,7507.522,10800.0,10800.0,True,16,0,3,0.012
S011-WAT-01,Q2-018,S011,2,7507.522,7543.522,10800.0,10800.0,True,8,0,14,0.027
S012-FOD-01,Q2-010,S012,3,3111.093,3141.093,7200.0,,False,10,0,8,0.028
S012-MED-01,Q2-010,S012,2,3081.093,3111.093,7200.0,3600.0,True,22,0,3,0.012
S012-WAT-01,Q2-010,S012,1,3051.093,3081.093,3600.0,3600.0,True,12,0,14,0.027
S013-FOD-01,Q2-001,S013,3,1032.79,1062.79,7200.0,,False,10,0,8,0.028
S013-MED-01,Q2-001,S013,1,972.79,1002.79,3600.0,3600.0,True,24,0,3,0.012
S013-WAT-01,Q2-001,S013,2,1002.79,1032.79,3600.0,3600.0,True,12,0,14,0.027
S014-FOD-01,Q2-003,S014,3,1212.431,1242.431,7200.0,,False,10,0,8,0.028
S014-MED-01,Q2-003,S014,2,1182.431,1212.431,7200.0,3600.0,True,22,0,3,0.012
S014-WAT-01,Q2-003,S014,1,1152.431,1182.431,3600.0,3600.0,True,12,0,14,0.027
S015-FOD-01,Q2-013,S015,3,4930.962,4966.962,14400.0,,False,6,0,8,0.028
S015-MED-01,Q2-013,S015,1,4858.962,4894.962,7200.0,7200.0,True,18,0,3,0.012
S015-WAT-01,Q2-013,S015,2,4894.962,4930.962,10800.0,10800.0,True,8,0,14,0.027
