question,sortie,unit,drone,segment,from,to,horizontal_distance_m,terrain_max_m,cruise_altitude_m,start_working_m,end_working_m,climb_m,descent_m,final_return
Q2,Q2-020,U07,C,1,O01,S004,7714.681646286507,348.2391662597656,398.2391662597656,127.7,228.3,270.53916625976564,169.9391662597656,False
Q2,Q2-020,U07,C,2,S004,O01,7714.681646286507,348.2391662597656,398.2391662597656,228.3,127.7,169.9391662597656,270.53916625976564,True
Q2,Q2-021,U02,A,1,O01,S013,4849.536854548781,349.18182373046875,399.18182373046875,127.7,351.7,271.48182373046876,47.48182373046876,False
Q2,Q2-021,U02,A,2,S013,O01,4849.536854548781,349.18182373046875,399.18182373046875,351.7,127.7,47.48182373046876,271.48182373046876,True
Q2,Q2-022,U05,B,1,O01,S010,4784.6745062617865,385.63653564453125,435.63653564453125,127.7,351.6,307.93653564453126,84.03653564453123,False
Q2,Q2-022,U05,B,2,S010,O01,4784.6745062617865,385.63653564453125,435.63653564453125,351.6,127.7,84.03653564453123,307.93653564453126,True
Q2,Q2-023,U06,B,1,O01,S002,7411.533814153884,258.9542541503906,308.9542541503906,127.7,219.5,181.25425415039064,89.45425415039062,False
Q2,Q2-023,U06,B,2,S002,O01,7411.533814153884,258.9542541503906,308.9542541503906,219.5,127.7,89.45425415039062,181.25425415039064,True
Q2,Q2-024,U08,C,1,O01,S004,7714.681646286507,348.2391662597656,398.2391662597656,127.7,228.3,270.53916625976564,169.9391662597656,False
Q2,Q2-024,U08,C,2,S004,O01,7714.681646286507,348.2391662597656,398.2391662597656,228.3,127.7,169.9391662597656,270.53916625976564,True
Q2,Q2-025,U01,A,1,O01,S008,8079.110448788476,322.9093322753906,372.9093322753906,127.7,270.9,245.20933227539064,102.00933227539065,False
Q2,Q2-025,U01,A,2,S008,O01,8079.110448788476,322.9093322753906,372.9093322753906,270.9,127.7,102.00933227539065,245.20933227539064,True
Q2,Q2-026,U04,A,1,O01,S003,7263.826967765937,511.80413818359375,561.8041381835938,127.7,338.5,434.10413818359376,223.30413818359375,False
Q2,Q2-026,U04,A,2,S003,O01,7263.826967765937,511.80413818359375,561.8041381835938,338.5,127.7,223.30413818359375,434.10413818359376,True
Q2,Q2-027,U02,A,1,O01,S003,7263.826967765937,511.80413818359375,561.8041381835938,127.7,338.5,434.10413818359376,223.30413818359375,False
Q2,Q2-027,U02,A,2,S003,O01,7263.826967765937,511.80413818359375,561.8041381835938,338.5,127.7,223.30413818359375,434.10413818359376,True
Q2,Q2-028,U05,B,1,O01,S003,7263.826967765937,511.80413818359375,561.8041381835938,127.7,338.5,434.10413818359376,223.30413818359375,False
Q2,Q2-028,U05,B,2,S003,O01,7263.826967765937,511.80413818359375,561.8041381835938,338.5,127.7,223.30413818359375,434.10413818359376,True
Q2,Q2-029,U07,C,1,O01,S011,2808.106412371872,245.36175537109375,295.36175537109375,127.7,212.1,167.66175537109376,83.26175537109376,False
Q2,Q2-029,U07,C,2,S011,S015,3461.755516771228,538.7306518554688,588.7306518554688,212.1,474.5,376.6306518554687,114.23065185546875,False
Q2,Q2-029,U07,C,3,S015,S005,3756.1007289987383,568.6133422851562,618.6133422851562,474.5,195.0,144.11334228515625,423.61334228515625,False
Q2,Q2-029,U07,C,4,S005,O01,5280.5933691157215,276.410888671875,326.410888671875,195.0,127.7,131.410888671875,198.710888671875,True
Q2,Q2-030,U06,B,1,O01,S007,4534.717374921003,461.9731750488281,511.9731750488281,127.7,348.5,384.27317504882814,163.47317504882812,False
Q2,Q2-030,U06,B,2,S007,O01,4534.717374921003,461.9731750488281,511.9731750488281,348.5,127.7,163.47317504882812,384.27317504882814,True
Q2,Q2-031,U03,A,1,O01,S014,5419.5362999417475,541.9473876953125,591.9473876953125,127.7,351.0,464.2473876953125,240.9473876953125,False
Q2,Q2-031,U03,A,2,S014,O01,5419.5362999417475,541.9473876953125,591.9473876953125,351.0,127.7,240.9473876953125,464.2473876953125,True
Q2,Q2-032,U08,C,1,O01,S008,8079.110448788476,322.9093322753906,372.9093322753906,127.7,270.9,245.20933227539064,102.00933227539065,False
Q2,Q2-032,U08,C,2,S008,O01,8079.110448788476,322.9093322753906,372.9093322753906,270.9,127.7,102.00933227539065,245.20933227539064,True
Q2,Q2-033,U01,A,1,O01,S005,5280.5933691157215,276.410888671875,326.410888671875,127.7,195.0,198.710888671875,131.410888671875,False
Q2,Q2-033,U01,A,2,S005,O01,5280.5933691157215,276.410888671875,326.410888671875,195.0,127.7,131.410888671875,198.710888671875,True
Q2,Q2-034,U04,A,1,O01,S011,2808.106412371872,245.36175537109375,295.36175537109375,127.7,212.1,167.66175537109376,83.26175537109376,False
Q2,Q2-034,U04,A,2,S011,O01,2808.106412371872,245.36175537109375,295.36175537109375,212.1,127.7,83.26175537109376,167.66175537109376,True
Q2,Q2-035,U06,B,1,O01,S006,3186.19885235084,316.09783935546875,366.09783935546875,127.7,314.8,238.39783935546876,51.29783935546874,False
Q2,Q2-035,U06,B,2,S006,O01,3186.19885235084,316.09783935546875,366.09783935546875,314.8,127.7,51.29783935546874,238.39783935546876,True
Q2,Q2-036,U05,B,1,O01,S011,2808.106412371872,245.36175537109375,295.36175537109375,127.7,212.1,167.66175537109376,83.26175537109376,False
Q2,Q2-036,U05,B,2,S011,O01,2808.106412371872,245.36175537109375,295.36175537109375,212.1,127.7,83.26175537109376,167.66175537109376,True
