figure,from,to,cruise_altitude_m,traversals,forward,backward,types,sorties
05_问题二分无人机二维路线_U05,O01,S008,372.9093322753906,1,0,1,B,Q2-005
05_问题二分无人机二维路线_U05,O01,S010,435.63653564453125,2,1,1,B,Q2-022
05_问题二分无人机二维路线_U05,O01,S011,295.36175537109375,2,1,1,B,Q2-036
05_问题二分无人机二维路线_U05,S005,S008,366.78717041015625,1,1,0,B,Q2-005
05_问题二分无人机二维路线_U06,O01,S002,308.9542541503906,2,1,1,B,Q2-023
05_问题二分无人机二维路线_U06,O01,S006,366.09783935546875,6,3,3,B,Q2-006;Q2-009;Q2-035
05_问题二分无人机二维路线_U06,O01,S007,511.9731750488281,4,2,2,B,Q2-017;Q2-030
05_问题二分无人机二维路线_U07,O01,S001,273.0566101074219,2,1,1,C,Q2-013
05_问题二分无人机二维路线_U07,O01,S002,308.9542541503906,2,1,1,C,Q2-002
05_问题二分无人机二维路线_U07,O01,S004,398.2391662597656,2,1,1,C,Q2-020
05_问题二分无人机二维路线_U07,O01,S005,326.410888671875,1,0,1,C,Q2-029
05_问题二分无人机二维路线_U07,O01,S011,295.36175537109375,1,1,0,C,Q2-029
05_问题二分无人机二维路线_U07,S005,S015,618.6133422851562,1,0,1,C,Q2-029
05_问题二分无人机二维路线_U07,S011,S015,588.7306518554688,1,1,0,C,Q2-029
05_问题二分无人机二维路线_U08,O01,S001,273.0566101074219,2,1,1,C,Q2-007
05_问题二分无人机二维路线_U08,O01,S004,398.2391662597656,2,1,1,C,Q2-024
05_问题二分无人机二维路线_U08,O01,S008,372.9093322753906,2,1,1,C,Q2-032
05_问题二分无人机二维路线_U08,O01,S009,293.2289123535156,1,0,1,C,Q2-012
05_问题二分无人机二维路线_U08,O01,S012,413.3009948730469,1,1,0,C,Q2-012
05_问题二分无人机二维路线_U08,S009,S012,360.91961669921875,1,0,1,C,Q2-012
06_问题二分无人机三维航迹_U01,O01,S005,326.410888671875,2,1,1,A,Q2-033
06_问题二分无人机三维航迹_U01,O01,S006,366.09783935546875,2,1,1,A,Q2-001
06_问题二分无人机三维航迹_U01,O01,S008,372.9093322753906,2,1,1,A,Q2-025
06_问题二分无人机三维航迹_U01,O01,S010,435.63653564453125,2,1,1,A,Q2-011
06_问题二分无人机三维航迹_U01,O01,S015,571.7992553710938,2,1,1,A,Q2-018
06_问题二分无人机三维航迹_U02,O01,S003,561.8041381835938,2,1,1,A,Q2-027
06_问题二分无人机三维航迹_U02,O01,S007,511.9731750488281,2,1,1,A,Q2-014
06_问题二分无人机三维航迹_U02,O01,S013,399.18182373046875,4,2,2,A,Q2-003;Q2-021
06_问题二分无人机三维航迹_U03,O01,S001,273.0566101074219,2,1,1,A,Q2-004
06_问题二分无人机三维航迹_U03,O01,S003,561.8041381835938,2,1,1,A,Q2-010
06_问题二分无人机三维航迹_U03,O01,S008,372.9093322753906,2,1,1,A,Q2-019
06_问题二分无人机三维航迹_U03,O01,S014,591.9473876953125,2,1,1,A,Q2-031
06_问题二分无人机三维航迹_U04,O01,S003,561.8041381835938,2,1,1,A,Q2-026
06_问题二分无人机三维航迹_U04,O01,S010,435.63653564453125,2,1,1,A,Q2-015
06_问题二分无人机三维航迹_U04,O01,S011,295.36175537109375,2,1,1,A,Q2-034
06_问题二分无人机三维航迹_U04,O01,S014,591.9473876953125,2,1,1,A,Q2-008
06_问题二分无人机三维航迹_U05,O01,S002,308.9542541503906,2,1,1,B,Q2-016
06_问题二分无人机三维航迹_U05,O01,S003,561.8041381835938,2,1,1,B,Q2-028
06_问题二分无人机三维航迹_U05,O01,S005,326.410888671875,1,1,0,B,Q2-005
06_问题二分无人机三维航迹_U05,O01,S008,372.9093322753906,1,0,1,B,Q2-005
06_问题二分无人机三维航迹_U05,O01,S010,435.63653564453125,2,1,1,B,Q2-022
06_问题二分无人机三维航迹_U05,O01,S011,295.36175537109375,2,1,1,B,Q2-036
06_问题二分无人机三维航迹_U05,S005,S008,366.78717041015625,1,1,0,B,Q2-005
06_问题二分无人机三维航迹_U06,O01,S002,308.9542541503906,2,1,1,B,Q2-023
06_问题二分无人机三维航迹_U06,O01,S006,366.09783935546875,6,3,3,B,Q2-006;Q2-009;Q2-035
06_问题二分无人机三维航迹_U06,O01,S007,511.9731750488281,4,2,2,B,Q2-017;Q2-030
06_问题二分无人机三维航迹_U07,O01,S001,273.0566101074219,2,1,1,C,Q2-013
06_问题二分无人机三维航迹_U07,O01,S002,308.9542541503906,2,1,1,C,Q2-002
06_问题二分无人机三维航迹_U07,O01,S004,398.2391662597656,2,1,1,C,Q2-020
06_问题二分无人机三维航迹_U07,O01,S005,326.410888671875,1,0,1,C,Q2-029
06_问题二分无人机三维航迹_U07,O01,S011,295.36175537109375,1,1,0,C,Q2-029
06_问题二分无人机三维航迹_U07,S005,S015,618.6133422851562,1,0,1,C,Q2-029
06_问题二分无人机三维航迹_U07,S011,S015,588.7306518554688,1,1,0,C,Q2-029
06_问题二分无人机三维航迹_U08,O01,S001,273.0566101074219,2,1,1,C,Q2-007
06_问题二分无人机三维航迹_U08,O01,S004,398.2391662597656,2,1,1,C,Q2-024
06_问题二分无人机三维航迹_U08,O01,S008,372.9093322753906,2,1,1,C,Q2-032
06_问题二分无人机三维航迹_U08,O01,S009,293.2289123535156,1,0,1,C,Q2-012
06_问题二分无人机三维航迹_U08,O01,S012,413.3009948730469,1,1,0,C,Q2-012
06_问题二分无人机三维航迹_U08,S009,S012,360.91961669921875,1,0,1,C,Q2-012
