方案,货箱,服务区,架次,交箱次序,完成时刻s,期望时刻s,硬截止s,逾期s
及时性权重放大,S006-WAT-02,S006,Q2-008,3,1101.422,3600.0,,0
及时性权重放大,S006-WAT-03,S006,Q2-008,4,1137.422,3600.0,,0
及时性权重放大,S007-FOD-01,S007,Q2-004,2,1141.374,7200.0,,0
及时性权重放大,S007-HYG-01,S007,Q2-007,2,1141.374,10800.0,,0
及时性权重放大,S007-MED-01,S007,Q2-007,1,1111.374,3600.0,3600.0,0
及时性权重放大,S007-WAT-01,S007,Q2-004,1,1111.374,3600.0,3600.0,0
及时性权重放大,S007-WAT-02,S007,Q2-011,1,2808.842,3600.0,,0
及时性权重放大,S008-FOD-01,S008,Q2-017,3,4357.066,10800.0,,0
及时性权重放大,S008-HYG-01,S008,Q2-020,1,4977.044,14400.0,,0
及时性权重放大,S008-MED-01,S008,Q2-017,1,4297.066,7200.0,7200.0,0
及时性权重放大,S008-WAT-01,S008,Q2-017,2,4327.066,7200.0,7200.0,0
及时性权重放大,S008-WAT-02,S008,Q2-016,1,4102.658,7200.0,,0
及时性权重放大,S009-FOD-01,S009,Q2-023,3,6118.583,14400.0,,0
及时性权重放大,S009-MED-01,S009,Q2-023,1,6058.583,10800.0,10800.0,0
及时性权重放大,S009-WAT-01,S009,Q2-023,2,6088.583,10800.0,10800.0,0
及时性权重放大,S010-FOD-01,S010,Q2-005,3,1085.239,7200.0,,0
及时性权重放大,S010-MED-01,S010,Q2-005,1,1025.239,3600.0,3600.0,0
及时性权重放大,S010-WAT-01,S010,Q2-005,2,1055.239,3600.0,3600.0,0
及时性权重放大,S011-FOD-01,S011,Q2-024,3,6546.689,14400.0,,0
及时性权重放大,S011-MED-01,S011,Q2-024,1,6474.689,10800.0,10800.0,0
及时性权重放大,S011-WAT-01,S011,Q2-024,2,6510.689,10800.0,10800.0,0
及时性权重放大,S012-FOD-01,S012,Q2-001,3,1271.344,7200.0,,0
及时性权重放大,S012-MED-01,S012,Q2-001,2,1241.344,7200.0,3600.0,0
及时性权重放大,S012-WAT-01,S012,Q2-001,1,1211.344,3600.0,3600.0,0
及时性权重放大,S013-FOD-01,S013,Q2-009,3,2618.195,7200.0,,0
及时性权重放大,S013-MED-01,S013,Q2-009,1,2558.195,3600.0,3600.0,0
及时性权重放大,S013-WAT-01,S013,Q2-009,2,2588.195,3600.0,3600.0,0
及时性权重放大,S014-FOD-01,S014,Q2-006,2,1272.757,7200.0,,0
及时性权重放大,S014-MED-01,S014,Q2-006,1,1242.757,7200.0,3600.0,0
及时性权重放大,S014-WAT-01,S014,Q2-003,1,1212.757,3600.0,3600.0,0
及时性权重放大,S015-FOD-01,S015,Q2-021,3,5356.273,14400.0,,0
及时性权重放大,S015-MED-01,S015,Q2-021,1,5296.273,7200.0,7200.0,0
及时性权重放大,S015-WAT-01,S015,Q2-021,2,5326.273,10800.0,10800.0,0
完工时间权重放大,S001-FOD-01,S001,Q2-011,5,2797.827,7200.0,,0
完工时间权重放大,S001-FOD-02,S001,Q2-011,6,2833.827,7200.0,,0
完工时间权重放大,S001-FOD-03,S001,Q2-011,7,2869.827,7200.0,,0
完工时间权重放大,S001-HYG-01,S001,Q2-011,8,2905.827,10800.0,,0
完工时间权重放大,S001-HYG-02,S001,Q2-011,9,2941.827,10800.0,,0
完工时间权重放大,S001-MED-01,S001,Q2-011,1,2653.827,3600.0,3600.0,0
完工时间权重放大,S001-MED-02,S001,Q2-011,2,2689.827,3600.0,3600.0,0
完工时间权重放大,S001-WAT-01,S001,Q2-011,3,2725.827,3600.0,3600.0,0
完工时间权重放大,S001-WAT-02,S001,Q2-011,4,2761.827,3600.0,,0
完工时间权重放大,S001-WAT-03,S001,Q2-024,3,6537.171,3600.0,,2937.1710000000003
完工时间权重放大,S001-WAT-04,S001,Q2-024,1,6465.171,3600.0,,2865.1710000000003
完工时间权重放大,S001-WAT-05,S001,Q2-024,2,6501.171,3600.0,,2901.1710000000003
完工时间权重放大,S001-WAT-06,S001,Q2-024,4,6573.171,3600.0,,2973.1710000000003
完工时间权重放大,S001-WAT-07,S001,Q2-012,1,2576.045,3600.0,,0
完工时间权重放大,S001-WAT-08,S001,Q2-024,5,6609.171,3600.0,,3009.1710000000003
完工时间权重放大,S002-FOD-01,S002,Q2-001,5,1481.332,7200.0,,0
完工时间权重放大,S002-FOD-02,S002,Q2-001,6,1517.332,7200.0,,0
完工时间权重放大,S002-HYG-01,S002,Q2-001,7,1553.332,10800.0,,0
完工时间权重放大,S002-MED-01,S002,Q2-001,1,1337.332,3600.0,3600.0,0
完工时间权重放大,S002-WAT-01,S002,Q2-001,2,1373.332,3600.0,3600.0,0
完工时间权重放大,S002-WAT-02,S002,Q2-013,1,2951.296,3600.0,,0
完工时间权重放大,S002-WAT-03,S002,Q2-001,3,1409.332,3600.0,,0
完工时间权重放大,S002-WAT-04,S002,Q2-001,4,1445.332,3600.0,,0
完工时间权重放大,S003-FOD-01,S003,Q2-014,5,3813.393,10800.0,,0
完工时间权重放大,S003-FOD-02,S003,Q2-014,6,3849.393,10800.0,,0
完工时间权重放大,S003-HYG-01,S003,Q2-014,7,3885.393,14400.0,,0
完工时间权重放大,S003-MED-01,S003,Q2-014,1,3669.393,7200.0,7200.0,0
完工时间权重放大,S003-WAT-01,S003,Q2-014,2,3705.393,7200.0,7200.0,0
完工时间权重放大,S003-WAT-02,S003,Q2-014,3,3741.393,7200.0,,0
完工时间权重放大,S003-WAT-03,S003,Q2-016,1,4146.2,7200.0,,0
完工时间权重放大,S003-WAT-04,S003,Q2-014,4,3777.393,7200.0,,0
完工时间权重放大,S004-FOD-01,S004,Q2-010,2,3092.071,10800.0,,0
完工时间权重放大,S004-HYG-01,S004,Q2-022,4,6159.772,14400.0,,0
完工时间权重放大,S004-MED-01,S004,Q2-010,1,3062.071,7200.0,7200.0,0
完工时间权重放大,S004-WAT-01,S004,Q2-022,1,6051.772,7200.0,7200.0,0
完工时间权重放大,S004-WAT-02,S004,Q2-022,2,6087.772,7200.0,,0
完工时间权重放大,S004-WAT-03,S004,Q2-022,3,6123.772,7200.0,,0
完工时间权重放大,S005-FOD-01,S005,Q2-018,5,4988.938,14400.0,,0
完工时间权重放大,S005-HYG-01,S005,Q2-018,4,4952.938,18000.0,,0
完工时间权重放大,S005-MED-01,S005,Q2-018,1,4844.938,10800.0,10800.0,0
完工时间权重放大,S005-WAT-01,S005,Q2-018,2,4880.938,10800.0,10800.0,0
完工时间权重放大,S005-WAT-02,S005,Q2-018,3,4916.938,10800.0,,0
完工时间权重放大,S005-WAT-03,S005,Q2-010,1,2596.246,10800.0,,0
完工时间权重放大,S006-FOD-01,S006,Q2-008,5,1173.422,7200.0,,0
完工时间权重放大,S006-HYG-01,S006,Q2-008,6,1209.422,10800.0,,0
完工时间权重放大,S006-MED-01,S006,Q2-008,1,1029.422,3600.0,3600.0,0
完工时间权重放大,S006-WAT-01,S006,Q2-008,2,1065.422,3600.0,3600.0,0
完工时间权重放大,S006-WAT-02,S006,Q2-008,3,1101.422,3600.0,,0
完工时间权重放大,S006-WAT-03,S006,Q2-008,4,1137.422,3600.0,,0
完工时间权重放大,S007-FOD-01,S007,Q2-004,2,1141.374,7200.0,,0
完工时间权重放大,S007-HYG-01,S007,Q2-007,2,1141.374,10800.0,,0
完工时间权重放大,S007-MED-01,S007,Q2-007,1,1111.374,3600.0,3600.0,0
完工时间权重放大,S007-WAT-01,S007,Q2-004,1,1111.374,3600.0,3600.0,0
完工时间权重放大,S007-WAT-02,S007,Q2-015,1,3836.788,3600.0,,236.788
完工时间权重放大,S008-FOD-01,S008,Q2-021,3,5062.394,10800.0,,0
完工时间权重放大,S008-HYG-01,S008,Q2-020,1,4977.044,14400.0,,0
完工时间权重放大,S008-MED-01,S008,Q2-021,1,5002.394,7200.0,7200.0,0
完工时间权重放大,S008-WAT-01,S008,Q2-021,2,5032.394,7200.0,7200.0,0
完工时间权重放大,S008-WAT-02,S008,Q2-017,1,4386.671,7200.0,,0
完工时间权重放大,S009-FOD-01,S009,Q2-023,3,6383.623,14400.0,,0
完工时间权重放大,S009-MED-01,S009,Q2-023,1,6323.623,10800.0,10800.0,0
完工时间权重放大,S009-WAT-01,S009,Q2-023,2,6353.623,10800.0,10800.0,0
完工时间权重放大,S010-FOD-01,S010,Q2-005,3,1085.239,7200.0,,0
完工时间权重放大,S010-MED-01,S010,Q2-005,1,1025.239,3600.0,3600.0,0
完工时间权重放大,S010-WAT-01,S010,Q2-005,2,1055.239,3600.0,3600.0,0
完工时间权重放大,S011-FOD-01,S011,Q2-018,2,4311.633,14400.0,,0
完工时间权重放大,S011-MED-01,S011,Q2-025,1,6519.489,10800.0,10800.0,0
完工时间权重放大,S011-WAT-01,S011,Q2-018,1,4275.633,10800.0,10800.0,0
完工时间权重放大,S012-FOD-01,S012,Q2-009,3,2781.857,7200.0,,0
完工时间权重放大,S012-MED-01,S012,Q2-009,2,2751.857,7200.0,3600.0,0
完工时间权重放大,S012-WAT-01,S012,Q2-009,1,2721.857,3600.0,3600.0,0
完工时间权重放大,S013-FOD-01,S013,Q2-002,3,1062.79,7200.0,,0
完工时间权重放大,S013-MED-01,S013,Q2-002,1,1002.79,3600.0,3600.0,0
完工时间权重放大,S013-WAT-01,S013,Q2-002,2,1032.79,3600.0,3600.0,0
完工时间权重放大,S014-FOD-01,S014,Q2-006,2,1272.757,7200.0,,0
完工时间权重放大,S014-MED-01,S014,Q2-006,1,1242.757,7200.0,3600.0,0
完工时间权重放大,S014-WAT-01,S014,Q2-003,1,1212.757,3600.0,3600.0,0
完工时间权重放大,S015-FOD-01,S015,Q2-019,3,4650.945,14400.0,,0
完工时间权重放大,S015-MED-01,S015,Q2-019,1,4590.945,7200.0,7200.0,0
完工时间权重放大,S015-WAT-01,S015,Q2-019,2,4620.945,10800.0,10800.0,0
能耗权重放大,S001-FOD-01,S001,Q2-009,7,2869.827,7200.0,,0
能耗权重放大,S001-FOD-02,S001,Q2-009,9,2941.827,7200.0,,0
能耗权重放大,S001-FOD-03,S001,Q2-006,6,1182.274,7200.0,,0
能耗权重放大,S001-HYG-01,S001,Q2-009,6,2833.827,10800.0,,0
能耗权重放大,S001-HYG-02,S001,Q2-009,8,2905.827,10800.0,,0
能耗权重放大,S001-MED-01,S001,Q2-009,1,2653.827,3600.0,3600.0,0
能耗权重放大,S001-MED-02,S001,Q2-009,2,2689.827,3600.0,3600.0,0
能耗权重放大,S001-WAT-01,S001,Q2-006,1,1002.274,3600.0,3600.0,0
能耗权重放大,S001-WAT-02,S001,Q2-006,2,1038.274,3600.0,,0
能耗权重放大,S001-WAT-03,S001,Q2-006,3,1074.274,3600.0,,0
能耗权重放大,S001-WAT-04,S001,Q2-009,3,2725.827,3600.0,,0
能耗权重放大,S001-WAT-05,S001,Q2-009,4,2761.827,3600.0,,0
能耗权重放大,S001-WAT-06,S001,Q2-009,5,2797.827,3600.0,,0
能耗权重放大,S001-WAT-07,S001,Q2-006,4,1110.274,3600.0,,0
能耗权重放大,S001-WAT-08,S001,Q2-006,5,1146.274,3600.0,,0
能耗权重放大,S002-FOD-01,S002,Q2-007,3,2873.509,7200.0,,0
能耗权重放大,S002-FOD-02,S002,Q2-007,2,2837.509,7200.0,,0
能耗权重放大,S002-HYG-01,S002,Q2-007,1,2801.509,10800.0,,0
能耗权重放大,S002-MED-01,S002,Q2-007,4,2909.509,3600.0,3600.0,0
能耗权重放大,S002-WAT-01,S002,Q2-007,5,2945.509,3600.0,3600.0,0
能耗权重放大,S002-WAT-02,S002,Q2-007,6,2981.509,3600.0,,0
能耗权重放大,S002-WAT-03,S002,Q2-011,1,4196.221,3600.0,,596.2209999999995
能耗权重放大,S002-WAT-04,S002,Q2-011,2,4226.221,3600.0,,626.2209999999995
能耗权重放大,S003-FOD-01,S003,Q2-016,5,7066.957,10800.0,,0
能耗权重放大,S003-FOD-02,S003,Q2-016,7,7138.957,10800.0,,0
能耗权重放大,S003-HYG-01,S003,Q2-016,1,6922.957,14400.0,,0
能耗权重放大,S003-MED-01,S003,Q2-016,6,7102.957,7200.0,7200.0,0
能耗权重放大,S003-WAT-01,S003,Q2-016,2,6958.957,7200.0,7200.0,0
能耗权重放大,S003-WAT-02,S003,Q2-016,3,6994.957,7200.0,,0
能耗权重放大,S003-WAT-03,S003,Q2-013,1,5437.486,7200.0,,0
能耗权重放大,S003-WAT-04,S003,Q2-016,4,7030.957,7200.0,,0
能耗权重放大,S004-FOD-01,S004,Q2-015,2,6359.31,10800.0,,0
能耗权重放大,S004-HYG-01,S004,Q2-012,2,4637.85,14400.0,,0
能耗权重放大,S004-MED-01,S004,Q2-015,1,6329.31,7200.0,7200.0,0
能耗权重放大,S004-WAT-01,S004,Q2-012,1,4601.85,7200.0,7200.0,0
能耗权重放大,S004-WAT-02,S004,Q2-012,4,4709.85,7200.0,,0
能耗权重放大,S004-WAT-03,S004,Q2-012,3,4673.85,7200.0,,0
能耗权重放大,S005-FOD-01,S005,Q2-018,4,8220.827,14400.0,,0
能耗权重放大,S005-HYG-01,S005,Q2-018,5,8256.827,18000.0,,0
能耗权重放大,S005-MED-01,S005,Q2-018,1,8112.827,10800.0,10800.0,0
能耗权重放大,S005-WAT-01,S005,Q2-018,2,8148.827,10800.0,10800.0,0
能耗权重放大,S005-WAT-02,S005,Q2-018,3,8184.827,10800.0,,0
能耗权重放大,S005-WAT-03,S005,Q2-015,1,5863.485,10800.0,,0
能耗权重放大,S006-FOD-01,S006,Q2-005,5,1173.422,7200.0,,0
能耗权重放大,S006-HYG-01,S006,Q2-005,6,1209.422,10800.0,,0
能耗权重放大,S006-MED-01,S006,Q2-005,1,1029.422,3600.0,3600.0,0
能耗权重放大,S006-WAT-01,S006,Q2-005,2,1065.422,3600.0,3600.0,0
能耗权重放大,S006-WAT-02,S006,Q2-005,3,1101.422,3600.0,,0
能耗权重放大,S006-WAT-03,S006,Q2-005,4,1137.422,3600.0,,0
能耗权重放大,S007-FOD-01,S007,Q2-002,2,1141.374,7200.0,,0
能耗权重放大,S007-HYG-01,S007,Q2-004,2,1141.374,10800.0,,0
能耗权重放大,S007-MED-01,S007,Q2-004,1,1111.374,3600.0,3600.0,0
能耗权重放大,S007-WAT-01,S007,Q2-002,1,1111.374,3600.0,3600.0,0
能耗权重放大,S007-WAT-02,S007,Q2-013,1,5895.778,3600.0,,2295.7780000000002
能耗权重放大,S008-FOD-01,S008,Q2-017,3,6985.568,10800.0,,0
能耗权重放大,S008-HYG-01,S008,Q2-014,2,5023.725,14400.0,,0
能耗权重放大,S008-MED-01,S008,Q2-017,1,6925.568,7200.0,7200.0,0
能耗权重放大,S008-WAT-01,S008,Q2-017,2,6955.568,7200.0,7200.0,0
能耗权重放大,S008-WAT-02,S008,Q2-014,1,4993.725,7200.0,,0
能耗权重放大,S009-FOD-01,S009,Q2-019,3,8129.307,14400.0,,0
能耗权重放大,S009-MED-01,S009,Q2-019,1,8069.307,10800.0,10800.0,0
能耗权重放大,S009-WAT-01,S009,Q2-019,2,8099.307,10800.0,10800.0,0
能耗权重放大,S010-FOD-01,S010,Q2-008,2,2565.752,7200.0,,0
能耗权重放大,S010-MED-01,S010,Q2-008,1,2535.752,3600.0,3600.0,0
能耗权重放大,S010-WAT-01,S010,Q2-008,3,2595.752,3600.0,3600.0,0
能耗权重放大,S011-FOD-01,S011,Q2-018,3,7579.522,14400.0,,0
能耗权重放大,S011-MED-01,S011,Q2-018,1,7507.522,10800.0,10800.0,0
能耗权重放大,S011-WAT-01,S011,Q2-018,2,7543.522,10800.0,10800.0,0
能耗权重放大,S012-FOD-01,S012,Q2-010,3,3141.093,7200.0,,0
能耗权重放大,S012-MED-01,S012,Q2-010,2,3111.093,7200.0,3600.0,0
能耗权重放大,S012-WAT-01,S012,Q2-010,1,3081.093,3600.0,3600.0,0
能耗权重放大,S013-FOD-01,S013,Q2-001,3,1062.79,7200.0,,0
能耗权重放大,S013-MED-01,S013,Q2-001,1,1002.79,3600.0,3600.0,0
能耗权重放大,S013-WAT-01,S013,Q2-001,2,1032.79,3600.0,3600.0,0
能耗权重放大,S014-FOD-01,S014,Q2-003,3,1242.431,7200.0,,0
能耗权重放大,S014-MED-01,S014,Q2-003,2,1212.431,7200.0,3600.0,0
能耗权重放大,S014-WAT-01,S014,Q2-003,1,1182.431,3600.0,3600.0,0
能耗权重放大,S015-FOD-01,S015,Q2-013,3,4966.962,14400.0,,0
能耗权重放大,S015-MED-01,S015,Q2-013,1,4894.962,7200.0,7200.0,0
能耗权重放大,S015-WAT-01,S015,Q2-013,2,4930.962,10800.0,10800.0,0
架次权重放大,S001-FOD-01,S001,Q2-009,7,2869.827,7200.0,,0
架次权重放大,S001-FOD-02,S001,Q2-009,9,2941.827,7200.0,,0
架次权重放大,S001-FOD-03,S001,Q2-006,6,1182.274,7200.0,,0
架次权重放大,S001-HYG-01,S001,Q2-009,6,2833.827,10800.0,,0
架次权重放大,S001-HYG-02,S001,Q2-009,8,2905.827,10800.0,,0
架次权重放大,S001-MED-01,S001,Q2-009,1,2653.827,3600.0,3600.0,0
架次权重放大,S001-MED-02,S001,Q2-009,2,2689.827,3600.0,3600.0,0
架次权重放大,S001-WAT-01,S001,Q2-006,1,1002.274,3600.0,3600.0,0
架次权重放大,S001-WAT-02,S001,Q2-006,2,1038.274,3600.0,,0
架次权重放大,S001-WAT-03,S001,Q2-006,3,1074.274,3600.0,,0
架次权重放大,S001-WAT-04,S001,Q2-009,3,2725.827,3600.0,,0
架次权重放大,S001-WAT-05,S001,Q2-009,4,2761.827,3600.0,,0
架次权重放大,S001-WAT-06,S001,Q2-009,5,2797.827,3600.0,,0
架次权重放大,S001-WAT-07,S001,Q2-006,4,1110.274,3600.0,,0
架次权重放大,S001-WAT-08,S001,Q2-006,5,1146.274,3600.0,,0
架次权重放大,S002-FOD-01,S002,Q2-007,3,2873.509,7200.0,,0
架次权重放大,S002-FOD-02,S002,Q2-007,2,2837.509,7200.0,,0
架次权重放大,S002-HYG-01,S002,Q2-007,1,2801.509,10800.0,,0
架次权重放大,S002-MED-01,S002,Q2-007,4,2909.509,3600.0,3600.0,0
架次权重放大,S002-WAT-01,S002,Q2-007,5,2945.509,3600.0,3600.0,0
架次权重放大,S002-WAT-02,S002,Q2-007,6,2981.509,3600.0,,0
架次权重放大,S002-WAT-03,S002,Q2-011,1,4196.221,3600.0,,596.2209999999995
架次权重放大,S002-WAT-04,S002,Q2-011,2,4226.221,3600.0,,626.2209999999995
架次权重放大,S003-FOD-01,S003,Q2-016,5,7066.957,10800.0,,0
架次权重放大,S003-FOD-02,S003,Q2-016,7,7138.957,10800.0,,0
架次权重放大,S003-HYG-01,S003,Q2-016,1,6922.957,14400.0,,0
架次权重放大,S003-MED-01,S003,Q2-016,6,7102.957,7200.0,7200.0,0
架次权重放大,S003-WAT-01,S003,Q2-016,2,6958.957,7200.0,7200.0,0
架次权重放大,S003-WAT-02,S003,Q2-016,3,6994.957,7200.0,,0
架次权重放大,S003-WAT-03,S003,Q2-013,1,5437.486,7200.0,,0
架次权重放大,S003-WAT-04,S003,Q2-016,4,7030.957,7200.0,,0
架次权重放大,S004-FOD-01,S004,Q2-015,2,6359.31,10800.0,,0
架次权重放大,S004-HYG-01,S004,Q2-012,2,4637.85,14400.0,,0
架次权重放大,S004-MED-01,S004,Q2-015,1,6329.31,7200.0,7200.0,0
架次权重放大,S004-WAT-01,S004,Q2-012,1,4601.85,7200.0,7200.0,0
架次权重放大,S004-WAT-02,S004,Q2-012,4,4709.85,7200.0,,0
架次权重放大,S004-WAT-03,S004,Q2-012,3,4673.85,7200.0,,0
架次权重放大,S005-FOD-01,S005,Q2-018,4,8220.827,14400.0,,0
架次权重放大,S005-HYG-01,S005,Q2-018,5,8256.827,18000.0,,0
架次权重放大,S005-MED-01,S005,Q2-018,1,8112.827,10800.0,10800.0,0
架次权重放大,S005-WAT-01,S005,Q2-018,2,8148.827,10800.0,10800.0,0
架次权重放大,S005-WAT-02,S005,Q2-018,3,8184.827,10800.0,,0
架次权重放大,S005-WAT-03,S005,Q2-015,1,5863.485,10800.0,,0
架次权重放大,S006-FOD-01,S006,Q2-005,5,1173.422,7200.0,,0
架次权重放大,S006-HYG-01,S006,Q2-005,6,1209.422,10800.0,,0
架次权重放大,S006-MED-01,S006,Q2-005,1,1029.422,3600.0,3600.0,0
架次权重放大,S006-WAT-01,S006,Q2-005,2,1065.422,3600.0,3600.0,0
架次权重放大,S006-WAT-02,S006,Q2-005,3,1101.422,3600.0,,0
架次权重放大,S006-WAT-03,S006,Q2-005,4,1137.422,3600.0,,0
架次权重放大,S007-FOD-01,S007,Q2-002,2,1141.374,7200.0,,0
架次权重放大,S007-HYG-01,S007,Q2-004,2,1141.374,10800.0,,0
架次权重放大,S007-MED-01,S007,Q2-004,1,1111.374,3600.0,3600.0,0
架次权重放大,S007-WAT-01,S007,Q2-002,1,1111.374,3600.0,3600.0,0
架次权重放大,S007-WAT-02,S007,Q2-013,1,5895.778,3600.0,,2295.7780000000002
架次权重放大,S008-FOD-01,S008,Q2-017,3,6985.568,10800.0,,0
架次权重放大,S008-HYG-01,S008,Q2-014,2,5023.725,14400.0,,0
架次权重放大,S008-MED-01,S008,Q2-017,1,6925.568,7200.0,7200.0,0
架次权重放大,S008-WAT-01,S008,Q2-017,2,6955.568,7200.0,7200.0,0
架次权重放大,S008-WAT-02,S008,Q2-014,1,4993.725,7200.0,,0
架次权重放大,S009-FOD-01,S009,Q2-019,3,8129.307,14400.0,,0
架次权重放大,S009-MED-01,S009,Q2-019,1,8069.307,10800.0,10800.0,0
架次权重放大,S009-WAT-01,S009,Q2-019,2,8099.307,10800.0,10800.0,0
架次权重放大,S010-FOD-01,S010,Q2-008,2,2565.752,7200.0,,0
架次权重放大,S010-MED-01,S010,Q2-008,1,2535.752,3600.0,3600.0,0
架次权重放大,S010-WAT-01,S010,Q2-008,3,2595.752,3600.0,3600.0,0
架次权重放大,S011-FOD-01,S011,Q2-018,3,7579.522,14400.0,,0
架次权重放大,S011-MED-01,S011,Q2-018,1,7507.522,10800.0,10800.0,0
架次权重放大,S011-WAT-01,S011,Q2-018,2,7543.522,10800.0,10800.0,0
架次权重放大,S012-FOD-01,S012,Q2-010,3,3141.093,7200.0,,0
架次权重放大,S012-MED-01,S012,Q2-010,2,3111.093,7200.0,3600.0,0
架次权重放大,S012-WAT-01,S012,Q2-010,1,3081.093,3600.0,3600.0,0
架次权重放大,S013-FOD-01,S013,Q2-001,3,1062.79,7200.0,,0
架次权重放大,S013-MED-01,S013,Q2-001,1,1002.79,3600.0,3600.0,0
架次权重放大,S013-WAT-01,S013,Q2-001,2,1032.79,3600.0,3600.0,0
架次权重放大,S014-FOD-01,S014,Q2-003,3,1242.431,7200.0,,0
架次权重放大,S014-MED-01,S014,Q2-003,2,1212.431,7200.0,3600.0,0
架次权重放大,S014-WAT-01,S014,Q2-003,1,1182.431,3600.0,3600.0,0
架次权重放大,S015-FOD-01,S015,Q2-013,3,4966.962,14400.0,,0
架次权重放大,S015-MED-01,S015,Q2-013,1,4894.962,7200.0,7200.0,0
架次权重放大,S015-WAT-01,S015,Q2-013,2,4930.962,10800.0,10800.0,0
