货箱,架次,服务区,交接次序,交接开始s,交付完成s,期望时刻s,硬截止s,首批,优先系数,逾期s
S005-HYG-01,Q2-024,S005,5,7187.994,7223.994,18000.0,,否,4,0
S005-MED-01,Q2-024,S005,1,7043.994,7079.994,10800.0,10800.0,是,16,0
S005-WAT-01,Q2-024,S005,2,7079.994,7115.994,10800.0,10800.0,是,8,0
S005-WAT-02,Q2-024,S005,3,7115.994,7151.994,10800.0,,否,8,0
S005-WAT-03,Q2-013,S005,1,2933.669,2963.669,10800.0,,否,8,0
S006-FOD-01,Q2-008,S006,5,1137.422,1173.422,7200.0,,否,10,0
S006-HYG-01,Q2-008,S006,6,1173.422,1209.422,10800.0,,否,8,0
S006-MED-01,Q2-008,S006,1,993.422,1029.422,3600.0,3600.0,是,24,0
S006-WAT-01,Q2-008,S006,2,1029.422,1065.422,3600.0,3600.0,是,12,0
S006-WAT-02,Q2-008,S006,3,1065.422,1101.422,3600.0,,否,12,0
S006-WAT-03,Q2-008,S006,4,1101.422,1137.422,3600.0,,否,12,0
S007-FOD-01,Q2-004,S007,2,1111.374,1141.374,7200.0,,否,10,0
S007-HYG-01,Q2-007,S007,2,1111.374,1141.374,10800.0,,否,8,0
S007-MED-01,Q2-007,S007,1,1081.374,1111.374,3600.0,3600.0,是,24,0
S007-WAT-01,Q2-004,S007,1,1081.374,1111.374,3600.0,3600.0,是,12,0
S007-WAT-02,Q2-011,S007,1,2778.842,2808.842,3600.0,,否,12,0
S008-FOD-01,Q2-017,S008,3,4327.066,4357.066,10800.0,,否,8,0
S008-HYG-01,Q2-020,S008,1,4947.044,4977.044,14400.0,,否,6,0
S008-MED-01,Q2-017,S008,1,4267.066,4297.066,7200.0,7200.0,是,20,0
S008-WAT-01,Q2-017,S008,2,4297.066,4327.066,7200.0,7200.0,是,10,0
S008-WAT-02,Q2-016,S008,1,4072.658,4102.658,7200.0,,否,10,0
S009-FOD-01,Q2-023,S009,3,6088.583,6118.583,14400.0,,否,6,0
S009-MED-01,Q2-023,S009,1,6028.583,6058.583,10800.0,10800.0,是,16,0
S009-WAT-01,Q2-023,S009,2,6058.583,6088.583,10800.0,10800.0,是,8,0
S010-FOD-01,Q2-005,S010,3,1055.239,1085.239,7200.0,,否,10,0
S010-MED-01,Q2-005,S010,1,995.239,1025.239,3600.0,3600.0,是,24,0
S010-WAT-01,Q2-005,S010,2,1025.239,1055.239,3600.0,3600.0,是,12,0
S011-FOD-01,Q2-024,S011,3,6510.689,6546.689,14400.0,,否,6,0
S011-MED-01,Q2-024,S011,1,6438.689,6474.689,10800.0,10800.0,是,16,0
S011-WAT-01,Q2-024,S011,2,6474.689,6510.689,10800.0,10800.0,是,8,0
S012-FOD-01,Q2-001,S012,3,1241.344,1271.344,7200.0,,否,10,0
S012-MED-01,Q2-001,S012,2,1211.344,1241.344,7200.0,3600.0,是,22,0
S012-WAT-01,Q2-001,S012,1,1181.344,1211.344,3600.0,3600.0,是,12,0
S013-FOD-01,Q2-009,S013,3,2588.195,2618.195,7200.0,,否,10,0
S013-MED-01,Q2-009,S013,1,2528.195,2558.195,3600.0,3600.0,是,24,0
S013-WAT-01,Q2-009,S013,2,2558.195,2588.195,3600.0,3600.0,是,12,0
S014-FOD-01,Q2-006,S014,2,1242.757,1272.757,7200.0,,否,10,0
S014-MED-01,Q2-006,S014,1,1212.757,1242.757,7200.0,3600.0,是,22,0
S014-WAT-01,Q2-003,S014,1,1182.757,1212.757,3600.0,3600.0,是,12,0
S015-FOD-01,Q2-021,S015,3,5326.273,5356.273,14400.0,,否,6,0
S015-MED-01,Q2-021,S015,1,5266.273,5296.273,7200.0,7200.0,是,18,0
S015-WAT-01,Q2-021,S015,2,5296.273,5326.273,10800.0,10800.0,是,8,0
