start,end,drone_type,climb_speed_m_s,cruise_speed_m_s,descent_speed_m_s,climb_time_s,horizontal_time_s,descent_time_s,flight_time_s
O01,S008,C,2.5,15,2,98.08373291015626,538.607363252565,51.004666137695324,687.6957623004166
O01,S009,A,3,12,2.5,55.17630411783855,475.44195388491744,25.29156494140625,555.9098229441622
O01,S009,B,3,15,2.5,55.17630411783855,380.35356310793395,25.29156494140625,460.8214321671787
O01,S009,C,2.5,15,2,66.21156494140625,380.35356310793395,31.614456176757812,478.17958422609803
O01,S010,A,3,12,2.5,102.64551188151042,398.7228755218155,33.61461425781249,534.9830016611384
O01,S010,B,3,15,2.5,102.64551188151042,318.97830041745243,33.61461425781249,455.2384265567753
O01,S010,C,2.5,15,2,123.17461425781251,318.97830041745243,42.018267822265614,484.17118249753054
O01,S011,A,3,12,2.5,55.88725179036459,234.008867697656,33.3047021484375,323.2008216364581
O01,S011,B,3,15,2.5,55.88725179036459,187.2070941581248,33.3047021484375,276.3990480969269
O01,S011,C,2.5,15,2,67.0647021484375,187.2070941581248,41.63087768554688,295.90267399210916
O01,S012,A,3,12,2.5,95.20033162434896,615.9283468762823,53.40039794921874,764.5290764498499
O01,S012,B,3,15,2.5,95.20033162434896,492.74267750102575,53.40039794921874,641.3434070745934
O01,S012,C,2.5,15,2,114.24039794921876,492.74267750102575,66.75049743652343,673.733572886768
O01,S013,A,3,12,2.5,90.49394124348959,404.1280712123984,18.992729492187504,513.6147419480756
O01,S013,B,3,15,2.5,90.49394124348959,323.30245696991875,18.992729492187504,432.78912770559583
O01,S013,C,2.5,15,2,108.5927294921875,323.30245696991875,23.74091186523438,455.6360983273406
O01,S014,A,3,12,2.5,154.74912923177084,451.6280249951456,96.378955078125,702.7561093050415
O01,S014,B,3,15,2.5,154.74912923177084,361.3024199961165,96.378955078125,612.4305043060124
O01,S014,C,2.5,15,2,185.698955078125,361.3024199961165,120.47369384765625,667.4750689218978
O01,S015,A,3,12,2.5,148.03308512369793,500.8137410183679,38.9197021484375,687.7665282905034
O01,S015,B,3,15,2.5,148.03308512369793,400.65099281469435,38.9197021484375,587.6037800868298
O01,S015,C,2.5,15,2,177.6397021484375,400.65099281469435,48.649627685546875,626.9403226486787
S001,O01,A,3,12,2.5,29.685536702473957,254.5019672929147,58.142644042968755,342.33014803835744
S001,O01,B,3,15,2.5,29.685536702473957,203.60157383433176,58.142644042968755,291.42975457977445
S001,O01,C,2.5,15,2,35.62264404296875,203.60157383433176,72.67830505371094,311.90252293101145
S001,S002,A,3,12,2.5,41.74828084309896,363.39649826836234,35.89793701171875,441.04271612318
S001,S002,B,3,15,2.5,41.74828084309896,290.71719861468983,35.89793701171875,368.3634164695075
S001,S002,C,2.5,15,2,50.09793701171875,290.71719861468983,44.87242126464844,385.687556891057
S001,S003,A,3,12,2.5,123.98146565755208,638.3611178162477,86.9777587890625,849.3203422628623
S001,S003,B,3,15,2.5,123.98146565755208,510.68889425299807,86.9777587890625,721.6481186996126
S001,S003,C,2.5,15,2,148.7777587890625,510.68889425299807,108.72219848632812,768.1888515283887
S001,S004,A,3,12,2.5,74.92591349283855,410.63903337065796,72.19109619140625,557.7560430549028
S001,S004,B,3,15,2.5,74.92591349283855,328.51122669652636,72.19109619140625,475.62823638077117
S001,S004,C,2.5,15,2,89.91109619140624,328.51122669652636,90.2388702392578,508.6611931271905
S001,S005,A,3,12,2.5,44.046000162760414,244.02041856216127,48.4552001953125,336.5216189202342
S001,S005,B,3,15,2.5,44.046000162760414,195.216334849729,48.4552001953125,287.7175352078019
S001,S005,C,2.5,15,2,52.8552001953125,195.216334849729,60.569000244140625,308.64053528918214
S001,S006,A,3,12,2.5,69.97854614257812,441.37507028039977,31.654255371093747,543.0078717940717
S001,S006,B,3,15,2.5,69.97854614257812,353.1000562243198,31.654255371093747,454.7328577379917
S001,S006,C,2.5,15,2,83.97425537109375,353.1000562243198,39.56781921386718,476.64213080928073
S001,S007,A,3,12,2.5,85.05845133463542,432.3963255050747,36.2701416015625,553.7249184412726
S001,S007,B,3,15,2.5,85.05845133463542,345.9170604040598,36.2701416015625,467.2456533402577
S001,S007,C,2.5,15,2,102.0701416015625,345.9170604040598,45.337677001953125,493.3248790075754
S001,S008,A,3,12,2.5,60.929056803385414,497.39683359026543,38.35486816406251,596.6807585577134
S001,S008,B,3,15,2.5,60.929056803385414,397.91746687221234,38.35486816406251,497.2013918396603
S001,S008,C,2.5,15,2,73.1148681640625,397.91746687221234,47.943585205078136,518.9759202413529
S001,S009,A,3,12,2.5,36.409637451171875,220.94282722232398,25.29156494140625,282.64402961490214
S001,S009,B,3,15,2.5,36.409637451171875,176.75426177785917,25.29156494140625,238.4554641704373
S001,S009,C,2.5,15,2,43.69156494140625,176.75426177785917,31.614456176757812,252.06028289602324
S001,S010,A,3,12,2.5,82.35989379882812,309.1913672388154,31.79187255859374,423.3431335962373
S001,S010,B,3,15,2.5,82.35989379882812,247.35309379105234,31.79187255859374,361.5048601484742
S001,S010,C,2.5,15,2,98.83187255859374,247.35309379105234,39.739840698242176,385.92480704788824
S001,S011,A,3,12,2.5,30.795969645182293,196.20923143512087,25.715163574218753,252.72036465452192
S001,S011,B,3,15,2.5,30.795969645182293,156.9673851480967,25.715163574218753,213.47851836749774
S001,S011,C,2.5,15,2,36.95516357421875,156.9673851480967,32.14395446777344,226.0665031900889
S001,S012,A,3,12,2.5,83.86653645833333,391.550949388732,62.31984375,537.7373295970654
S001,S012,B,3,15,2.5,83.86653645833333,313.2407595109856,62.31984375,459.4271397193189
S001,S012,C,2.5,15,2,100.63984375,313.2407595109856,77.8998046875,491.7804079484856
S001,S013,A,3,12,2.5,64.7869364420573,241.6108708070351,10.664323730468755,317.0621309795612
S001,S013,B,3,15,2.5,64.7869364420573,193.28869664562808,10.664323730468755,268.73995681815416
S001,S013,C,2.5,15,2,77.74432373046875,193.28869664562808,13.330404663085943,284.36342503918274
S001,S014,A,3,12,2.5,138.6834716796875,433.03942483823397,99.620166015625,671.3430625335466
S001,S014,B,3,15,2.5,138.6834716796875,346.4315398705872,99.620166015625,584.7351775658997
S001,S014,C,2.5,15,2,166.420166015625,346.4315398705872,124.52520751953125,637.3769134057434
S001,S015,A,3,12,2.5,137.771728515625,458.4399719132883,49.12607421875,645.3377746476632
S001,S015,B,3,15,2.5,137.771728515625,366.75197753063065,49.12607421875,553.6497802650057
S001,S015,C,2.5,15,2,165.32607421875,366.75197753063065,61.4075927734375,593.4856445228181
S002,O01,A,3,12,2.5,29.818084716796875,617.627817846157,72.50170166015626,719.9476042231101
S002,O01,B,3,15,2.5,29.818084716796875,494.10225427692563,72.50170166015626,596.4220406538788
S002,O01,C,2.5,15,2,35.78170166015625,494.10225427692563,90.62712707519532,620.5110830122771
S002,S001,A,3,12,2.5,29.914947509765625,363.39649826836234,50.09793701171875,443.4093827898467
S002,S001,B,3,15,2.5,29.914947509765625,290.71719861468983,50.09793701171875,370.7300831361742
S002,S001,C,2.5,15,2,35.89793701171875,290.71719861468983,62.62242126464844,389.237556891057
S002,S003,A,3,12,2.5,133.87713623046875,814.9153927626461,113.0525634765625,1061.8450924696774
S002,S003,B,3,15,2.5,133.87713623046875,651.9323142101168,113.0525634765625,898.862013917148
S002,S003,C,2.5,15,2,160.6525634765625,651.9323142101168,141.31570434570312,953.9005820323824
S002,S004,A,3,12,2.5,38.052734375,187.41286600220363,42.143281249999994,267.60888162720363
S002,S004,B,3,15,2.5,38.052734375,149.9302928017629,42.143281249999994,230.1263084267629
S002,S004,C,2.5,15,2,45.66328125,149.9302928017629,52.679101562499994,248.2726756142629
S002,S005,A,3,12,2.5,62.432881673177086,289.73823605840414,84.7194580078125,436.89057573939374
S002,S005,B,3,15,2.5,62.432881673177086,231.79058884672332,84.7194580078125,378.94292852771287
S002,S005,C,2.5,15,2,74.9194580078125,231.79058884672332,105.89932250976562,412.6093693643014
S002,S006,A,3,12,2.5,58.2662353515625,765.478221113759,31.799482421874995,855.5439388871965
S002,S006,B,3,15,2.5,58.2662353515625,612.3825768910071,31.799482421874995,702.4482946644447
S002,S006,C,2.5,15,2,69.919482421875,612.3825768910071,39.749353027343744,722.051412340226
S002,S007,A,3,12,2.5,85.07605997721355,676.6645768869182,50.49127197265625,812.231908836788
S002,S007,B,3,15,2.5,85.07605997721355,541.3316615095346,50.49127197265625,676.8989934594043
S002,S007,C,2.5,15,2,102.09127197265624,541.3316615095346,63.11408996582031,706.5370234480112
S002,S008,A,3,12,2.5,54.114166259765625,400.3840784376719,44.37699951171876,498.8752442091563
S002,S008,B,3,15,2.5,54.114166259765625,320.30726275013757,44.37699951171876,418.79842852162193
S002,S008,C,2.5,15,2,64.93699951171875,320.30726275013757,55.47124938964845,440.71551165150476
S002,S009,A,3,12,2.5,36.26221720377604,143.71530318152048,39.31466064453125,219.29218102982776
S002,S009,B,3,15,2.5,36.26221720377604,114.97224254521639,39.31466064453125,190.54912039352368
S002,S009,C,2.5,15,2,43.51466064453125,114.97224254521639,49.14332580566406,207.6302289954117
S002,S010,A,3,12,2.5,90.78464762369792,493.0963950909043,56.10157714843749,639.9826198630398
S002,S010,B,3,15,2.5,90.78464762369792,394.47711607272345,56.10157714843749,541.3633408448588
S002,S010,C,2.5,15,2,108.9415771484375,394.47711607272345,70.12697143554686,573.5456646567078
S002,S011,A,3,12,2.5,47.428446451822914,481.8742892760684,59.874135742187505,589.1768714700788
S002,S011,B,3,15,2.5,47.428446451822914,385.4994314208547,59.874135742187505,492.80201361486513
S002,S011,C,2.5,15,2,56.9141357421875,385.4994314208547,74.84266967773438,517.2562368407766
S002,S012,A,3,12,2.5,62.89275105794271,256.0075490886538,51.35130126953125,370.2516014161277
S002,S012,B,3,15,2.5,62.89275105794271,204.80603927092304,51.35130126953125,319.050091598397
S002,S012,C,2.5,15,2,75.47130126953125,204.80603927092304,64.18912658691406,344.46646712736833
S002,S013,A,3,12,2.5,52.570109049479164,378.352443125427,10.204130859375004,441.1266830342812
S002,S013,B,3,15,2.5,52.570109049479164,302.6819545003416,10.204130859375004,365.4561944091958
S002,S013,C,2.5,15,2,63.084130859375,302.6819545003416,12.755163574218756,378.52124893393534
S002,S014,A,3,12,2.5,96.02774047851562,637.8992909977962,62.63328857421875,796.5603200505307
S002,S014,B,3,15,2.5,96.02774047851562,510.319432798237,62.63328857421875,668.9804618509714
S002,S014,C,2.5,15,2,115.23328857421875,510.319432798237,78.29161071777344,703.8443320902292
S002,S015,A,3,12,2.5,141.41754150390625,597.2349462469692,67.7010498046875,806.353537555563
S002,S015,B,3,15,2.5,141.41754150390625,477.7879569975754,67.7010498046875,686.9065483061692
S002,S015,C,2.5,15,2,169.7010498046875,477.7879569975754,84.62631225585938,732.1153190581223
S003,O01,A,3,12,2.5,74.43471272786458,605.3189139804948,173.6416552734375,853.3952819817969
S003,O01,B,3,15,2.5,74.43471272786458,484.2551311843958,173.6416552734375,732.3314991856978
S003,O01,C,2.5,15,2,89.3216552734375,484.2551311843958,217.05206909179688,790.6288555496302
S003,S001,A,3,12,2.5,72.48146565755208,638.3611178162477,148.7777587890625,859.6203422628623
S003,S001,B,3,15,2.5,72.48146565755208,510.68889425299807,148.7777587890625,731.9481186996127
S003,S001,C,2.5,15,2,86.9777587890625,510.68889425299807,185.97219848632812,783.6388515283887
S003,S002,A,3,12,2.5,94.21046956380208,814.9153927626461,160.6525634765625,1069.7784258030108
S003,S002,B,3,15,2.5,94.21046956380208,651.9323142101168,160.6525634765625,906.7953472504814
S003,S002,C,2.5,15,2,113.0525634765625,651.9323142101168,200.81570434570312,965.8005820323824
S003,S004,A,3,12,2.5,128.58941650390625,686.1876272537914,198.3872998046875,1013.1643435623852
S003,S004,B,3,15,2.5,128.58941650390625,548.9501018030331,198.3872998046875,875.9268181116269
S003,S004,C,2.5,15,2,154.3072998046875,548.9501018030331,247.98412475585937,951.24152636358
S003,S005,A,3,12,2.5,81.7960205078125,528.4966057303529,155.555224609375,765.8478508475405
S003,S005,B,3,15,2.5,81.7960205078125,422.79728458428235,155.555224609375,660.1485297014699
S003,S005,C,2.5,15,2,98.155224609375,422.79728458428235,194.44403076171875,715.396539955376
S003,S006,A,3,12,2.5,107.9542236328125,400.0982048302685,139.02506835937498,647.0774968224559
S003,S006,B,3,15,2.5,107.9542236328125,320.0785638642148,139.02506835937498,567.0578558564023
S003,S006,C,2.5,15,2,129.545068359375,320.0785638642148,173.78133544921874,623.4049676728085
S003,S007,A,3,12,2.5,24.066446940104168,227.89069376419897,24.879736328125,276.8368770324281
S003,S007,B,3,15,2.5,24.066446940104168,182.31255501135917,24.879736328125,231.25873827958833
S003,S007,C,2.5,15,2,28.879736328125,182.31255501135917,31.09967041015625,242.29196174964042
S003,S008,A,3,12,2.5,152.5262451171875,521.2729755534347,210.07149414062502,883.8707148112471
S003,S008,B,3,15,2.5,152.5262451171875,417.01838044274774,210.07149414062502,779.6161197005601
S003,S008,C,2.5,15,2,183.031494140625,417.01838044274774,262.58936767578126,862.6392422591539
S003,S009,A,3,12,2.5,85.36271158854167,741.6686652929005,145.83525390625,972.8666307876922
S003,S009,B,3,15,2.5,85.36271158854167,593.3349322343204,145.83525390625,824.5328977291119
S003,S009,C,2.5,15,2,102.43525390625,593.3349322343204,182.2940673828125,878.0642535233828
S003,S010,A,3,12,2.5,59.488057454427086,935.5025732695835,66.1456689453125,1061.136299669323
S003,S010,B,3,15,2.5,59.488057454427086,748.4020586156669,66.1456689453125,874.0357850154065
S003,S010,C,2.5,15,2,71.3856689453125,748.4020586156669,82.68208618164061,902.4698137426201
S003,S011,A,3,12,2.5,65.64076741536458,446.47291594549216,129.3289208984375,641.4426042592943
S003,S011,B,3,15,2.5,65.64076741536458,357.17833275639373,129.3289208984375,552.1480210701958
S003,S011,C,2.5,15,2,78.7689208984375,357.17833275639373,161.66115112304686,597.6084047778781
S003,S012,A,3,12,2.5,85.36297607421875,985.0241177489232,125.9155712890625,1196.3026651122045
S003,S012,B,3,15,2.5,85.36297607421875,788.0192941991386,125.9155712890625,999.2978415624199
S003,S012,C,2.5,15,2,102.4355712890625,788.0192941991386,157.39446411132812,1047.8493295995293
S003,S013,A,3,12,2.5,72.48146565755208,879.9719185885164,81.6977587890625,1034.151143035131
S003,S013,B,3,15,2.5,72.48146565755208,703.9775348708131,81.6977587890625,858.1567593174277
S003,S013,C,2.5,15,2,86.9777587890625,703.9775348708131,102.12219848632813,893.0774921462037
S003,S014,A,3,12,2.5,84.74318440755208,1032.2403925577241,96.6918212890625,1213.6753982543387
S003,S014,B,3,15,2.5,84.74318440755208,825.7923140461793,96.6918212890625,1007.227319742794
S003,S014,C,2.5,15,2,101.6918212890625,825.7923140461793,120.86477661132812,1048.3489119465698
S003,S015,A,3,12,2.5,49.79962158203125,218.08006178863752,5.3595458984375,273.23922926910626
S003,S015,B,3,15,2.5,49.79962158203125,174.46404943091002,5.3595458984375,229.62321691137876
S003,S015,C,2.5,15,2,59.7595458984375,174.46404943091002,6.699432373046875,240.9230277023944
S004,O01,A,3,12,2.5,56.6463887532552,642.8901371905423,108.21566650390625,807.7521924477038
S004,O01,B,3,15,2.5,56.6463887532552,514.3121097524338,108.21566650390625,679.1741650095953
S004,O01,C,2.5,15,2,67.97566650390624,514.3121097524338,135.26958312988282,717.5573593862229
S004,S001,A,3,12,2.5,60.159246826171874,410.63903337065796,89.91109619140624,560.709376388236
S004,S001,B,3,15,2.5,60.159246826171874,328.51122669652636,89.91109619140624,478.5815697141045
S004,S001,C,2.5,15,2,72.19109619140625,328.51122669652636,112.38887023925781,513.0911931271904
S004,S002,A,3,12,2.5,35.11940104166666,187.41286600220363,45.66328125,268.1955482938703
S004,S002,B,3,15,2.5,35.11940104166666,149.9302928017629,45.66328125,230.71297509342958
S004,S002,C,2.5,15,2,42.143281249999994,149.9302928017629,57.0791015625,249.1526756142629
S004,S003,A,3,12,2.5,165.32274983723957,686.1876272537914,154.3072998046875,1005.8176768957185
S004,S003,B,3,15,2.5,165.32274983723957,548.9501018030331,154.3072998046875,868.5801514449602
S004,S003,C,2.5,15,2,198.3872998046875,548.9501018030331,192.88412475585938,940.22152636358
S004,S005,A,3,12,2.5,45.83552652994791,217.35787928758407,68.3226318359375,331.5160376534695
S004,S005,B,3,15,2.5,45.83552652994791,173.88630343006724,68.3226318359375,288.04446179595266
S004,S005,C,2.5,15,2,55.00263183593749,173.88630343006724,85.40328979492188,314.2922250609266
S004,S006,A,3,12,2.5,65.66021321614583,725.5311647949212,44.192255859374995,835.383633870442
S004,S006,B,3,15,2.5,65.66021321614583,580.424931835937,44.192255859374995,690.2774009114578
S004,S006,C,2.5,15,2,78.79225585937499,580.424931835937,55.240319824218744,714.4575075195307
S004,S007,A,3,12,2.5,121.64566650390624,591.4507696207232,97.8947998046875,810.991235929317
S004,S007,B,3,15,2.5,121.64566650390624,473.16061569657853,97.8947998046875,692.7010820051723
S004,S007,C,2.5,15,2,145.9747998046875,473.16061569657853,122.36849975585938,741.5039152571254
S004,S008,A,3,12,2.5,52.84449869791666,217.74521179810077,46.37339843750001,316.96310893351745
S004,S008,B,3,15,2.5,52.84449869791666,174.1961694384806,46.37339843750001,273.4140665738973
S004,S008,C,2.5,15,2,63.41339843749999,174.1961694384806,57.96674804687501,295.5763159228556
S004,S009,A,3,12,2.5,32.30526326497395,248.7881953961769,38.08631591796875,319.1797745791196
S004,S009,B,3,15,2.5,32.30526326497395,199.0305563169415,38.08631591796875,269.4221354998842
S004,S009,C,2.5,15,2,38.76631591796875,199.0305563169415,47.60789489746094,285.40476713237115
S004,S010,A,3,12,2.5,84.88575846354166,628.8139069435402,52.54291015624999,766.2425755633319
S004,S010,B,3,15,2.5,84.88575846354166,503.05112555483214,52.54291015624999,640.4797941746237
S004,S010,C,2.5,15,2,101.86291015625,503.05112555483214,65.67863769531249,670.5926734063946
S004,S011,A,3,12,2.5,44.279638671875,450.3265111038831,59.615566406250004,554.2217161820081
S004,S011,B,3,15,2.5,44.279638671875,360.26120888310646,59.615566406250004,464.15641396123146
S004,S011,C,2.5,15,2,53.13556640624999,360.26120888310646,74.5194580078125,487.91623329716896
S004,S012,A,3,12,2.5,44.56898600260416,440.56894800601077,32.882783203124994,518.0207172117399
S004,S012,B,3,15,2.5,44.56898600260416,352.4551584048086,32.882783203124994,429.90692761053776
S004,S012,C,2.5,15,2,53.482783203124995,352.4551584048086,41.103479003906244,447.04142061183984
S004,S013,A,3,12,2.5,47.9996602376302,516.4028499789455,8.239592285156254,572.642102501732
S004,S013,B,3,15,2.5,47.9996602376302,413.12227998315643,8.239592285156254,469.36153250594293
S004,S013,C,2.5,15,2,57.59959228515625,413.12227998315643,10.299490356445318,481.021362624758
S004,S014,A,3,12,2.5,109.02870279947916,774.5265894170002,81.754443359375,965.3097355758543
S004,S014,B,3,15,2.5,109.02870279947916,619.6212715336002,81.754443359375,810.4044176924544
S004,S014,C,2.5,15,2,130.834443359375,619.6212715336002,102.19305419921875,852.6487690921939
S004,S015,A,3,12,2.5,154.31701253255207,470.82122057600435,86.7004150390625,711.8386481476189
S004,S015,B,3,15,2.5,154.31701253255207,376.6569764608035,86.7004150390625,617.674404032418
S004,S015,C,2.5,15,2,185.1804150390625,376.6569764608035,108.37551879882812,670.2129102986942
S005,O01,A,3,12,2.5,43.803629557291664,440.0494474263101,79.48435546875001,563.3374324523518
S005,O01,B,3,15,2.5,43.803629557291664,352.0395579410481,79.48435546875001,475.3275429670898
S005,O01,C,2.5,15,2,52.56435546875,352.0395579410481,99.3554443359375,503.9593577457356
S005,S001,A,3,12,2.5,40.37933349609375,244.02041856216127,52.8552001953125,337.25495225356747
S005,S001,B,3,15,2.5,40.37933349609375,195.216334849729,52.8552001953125,288.45086854113526
S005,S001,C,2.5,15,2,48.4552001953125,195.216334849729,66.06900024414062,309.74053528918216
S005,S002,A,3,12,2.5,70.59954833984375,289.73823605840414,74.9194580078125,435.2572424060604
S005,S002,B,3,15,2.5,70.59954833984375,231.79058884672332,74.9194580078125,377.30959519437954
S005,S002,C,2.5,15,2,84.7194580078125,231.79058884672332,93.64932250976562,410.1593693643015
S005,S003,A,3,12,2.5,129.62935384114584,528.4966057303529,98.155224609375,756.2811841808738
S005,S003,B,3,15,2.5,129.62935384114584,422.79728458428235,98.155224609375,650.5818630348032
S005,S003,C,2.5,15,2,155.555224609375,422.79728458428235,122.69403076171875,701.0465399553761
S005,S004,A,3,12,2.5,56.935526529947914,217.35787928758407,55.00263183593749,329.2960376534695
S005,S004,B,3,15,2.5,56.935526529947914,173.88630343006724,55.00263183593749,285.82446179595263
S005,S004,C,2.5,15,2,68.3226318359375,173.88630343006724,68.75328979492187,310.9622250609266
S005,S006,A,3,12,2.5,73.9107666015625,508.94547323114404,40.772919921874994,623.6291597545815
S005,S006,B,3,15,2.5,73.9107666015625,407.1563785849152,40.772919921874994,521.8400651083527
S005,S006,C,2.5,15,2,88.692919921875,407.1563785849152,50.966149902343744,546.815448409134
S005,S007,A,3,12,2.5,107.38260904947917,390.7228535692349,67.459130859375,565.5645934780891
S005,S007,B,3,15,2.5,107.38260904947917,312.57828285538795,67.459130859375,487.42002276424216
S005,S007,C,2.5,15,2,128.859130859375,312.57828285538795,84.32391357421875,525.7613272889816
S005,S008,A,3,12,2.5,57.26239013671875,253.3766486696056,38.35486816406251,348.9939069703869
S005,S008,B,3,15,2.5,57.26239013671875,202.70131893568447,38.35486816406251,298.3185772364657
S005,S008,C,2.5,15,2,68.7148681640625,202.70131893568447,47.943585205078136,319.35977230482507
S005,S009,A,3,12,2.5,56.18773396809896,220.9037079342887,53.42528076171875,330.5167226641064
S005,S009,B,3,15,2.5,56.18773396809896,176.72296634743094,53.42528076171875,286.3359810772487
S005,S009,C,2.5,15,2,67.42528076171875,176.72296634743094,66.78160095214844,310.9298480612981
S005,S010,A,3,12,2.5,90.38441975911458,530.1799152897714,45.82130371093749,666.3856387598236
S005,S010,B,3,15,2.5,90.38441975911458,424.14393223181713,45.82130371093749,560.3496557018692
S005,S010,C,2.5,15,2,108.4613037109375,424.14393223181713,57.276629638671864,589.8818655814266
S005,S011,A,3,12,2.5,50.849639892578125,233.56363347722754,54.17956787109375,338.5928412408994
S005,S011,B,3,15,2.5,50.849639892578125,186.85090678178204,54.17956787109375,291.8801145454539
S005,S011,C,2.5,15,2,61.01956787109375,186.85090678178204,67.72445983886719,315.594934491743
S005,S012,A,3,12,2.5,56.18773396809896,468.7127057700163,33.505280761718744,558.405720499834
S005,S012,B,3,15,2.5,56.18773396809896,374.97016461601305,33.505280761718744,464.6631793458307
S005,S012,C,2.5,15,2,67.42528076171875,374.97016461601305,41.88160095214843,484.27704632988025
S005,S013,A,3,12,2.5,59.8148193359375,434.6210599133538,9.097783203125005,503.5336624524163
S005,S013,B,3,15,2.5,59.8148193359375,347.6968479306831,9.097783203125005,416.6094504697456
S005,S013,C,2.5,15,2,71.777783203125,347.6968479306831,11.372229003906256,430.8468601377143
S005,S014,A,3,12,2.5,135.9625040690104,666.3505759038106,100.7550048828125,903.0680848556335
S005,S014,B,3,15,2.5,135.9625040690104,533.0804607230485,100.7550048828125,769.7979696748714
S005,S014,C,2.5,15,2,163.1550048828125,533.0804607230485,125.94375610351562,822.1792217093766
S005,S015,A,3,12,2.5,141.2044474283854,313.0083940832282,57.6453369140625,511.85817842567616
S005,S015,B,3,15,2.5,141.2044474283854,250.40671526658255,57.6453369140625,449.25649960903047
S005,S015,C,2.5,15,2,169.4453369140625,250.40671526658255,72.05667114257812,491.90872332322317
S006,O01,A,3,12,2.5,17.099279785156245,265.5165710292367,95.3591357421875,377.9749865565804
S006,O01,B,3,15,2.5,17.099279785156245,212.41325682338933,95.3591357421875,324.8716723507331
S006,O01,C,2.5,15,2,20.519135742187494,212.41325682338933,119.19891967773438,352.1313122433112
S006,S001,A,3,12,2.5,26.37854614257812,441.37507028039977,83.97425537109375,551.7278717940716
S006,S001,B,3,15,2.5,26.37854614257812,353.1000562243198,83.97425537109375,463.4528577379917
S006,S001,C,2.5,15,2,31.654255371093747,353.1000562243198,104.96781921386719,489.72213080928077
S006,S002,A,3,12,2.5,26.49956868489583,765.478221113759,69.919482421875,861.8972722205299
S006,S002,B,3,15,2.5,26.49956868489583,612.3825768910071,69.919482421875,708.801627997778
S006,S002,C,2.5,15,2,31.799482421874995,612.3825768910071,87.39935302734375,731.5814123402259
S006,S003,A,3,12,2.5,115.85422363281249,400.0982048302685,129.545068359375,645.497496822456
S006,S003,B,3,15,2.5,115.85422363281249,320.0785638642148,129.545068359375,565.4778558564022
S006,S003,C,2.5,15,2,139.02506835937498,320.0785638642148,161.93133544921875,621.0349676728085
S006,S004,A,3,12,2.5,36.8268798828125,725.5311647949212,78.79225585937499,841.1503005371087
S006,S004,B,3,15,2.5,36.8268798828125,580.424931835937,78.79225585937499,696.0440675781244
S006,S004,C,2.5,15,2,44.192255859374995,580.424931835937,98.49031982421874,723.1075075195307
S006,S005,A,3,12,2.5,33.97743326822916,508.94547323114404,88.692919921875,631.6158264212482
S006,S005,B,3,15,2.5,33.97743326822916,407.1563785849152,88.692919921875,529.8267317750194
S006,S005,C,2.5,15,2,40.772919921874994,407.1563785849152,110.86614990234375,558.795448409134
S006,S007,A,3,12,2.5,91.85377604166666,208.95449136458322,96.74453125,397.55279865624993
S006,S007,B,3,15,2.5,91.85377604166666,167.16359309166657,96.74453125,355.7619003833332
