box,sortie,service,rank,start_s,completion_s,expected_s,hard_s,first,priority,lateness_s,mass_kg,volume_m3
S002-WAT-03,Q2-010,S002,6,2975.508,3011.508,3600.0,,False,12,0,14,0.027
S002-WAT-04,Q2-010,S002,4,2903.508,2939.508,3600.0,,False,12,0,14,0.027
S003-FOD-01,Q2-018,S003,5,5499.073,5535.073,10800.0,,False,8,0,8,0.028
S003-FOD-02,Q2-018,S003,2,5391.073,5427.073,10800.0,,False,8,0,8,0.028
S003-HYG-01,Q2-018,S003,1,5355.073,5391.073,14400.0,,False,6,0,6,0.035
S003-MED-01,Q2-016,S003,1,4157.255,4187.255,7200.0,7200.0,True,20,0,3,0.012
S003-WAT-01,Q2-018,S003,3,5427.073,5463.073,7200.0,7200.0,True,10,0,14,0.027
S003-WAT-02,Q2-018,S003,6,5535.073,5571.073,7200.0,,False,10,0,14,0.027
S003-WAT-03,Q2-016,S003,2,4187.255,4217.255,7200.0,,False,10,0,14,0.027
S003-WAT-04,Q2-018,S003,4,5463.073,5499.073,7200.0,,False,10,0,14,0.027
S004-FOD-01,Q2-012,S004,6,3239.674,3275.674,10800.0,,False,8,0,8,0.028
S004-HYG-01,Q2-012,S004,2,3095.674,3131.674,14400.0,,False,6,0,6,0.035
S004-MED-01,Q2-012,S004,4,3167.674,3203.674,7200.0,7200.0,True,20,0,3,0.012
S004-WAT-01,Q2-012,S004,3,3131.674,3167.674,7200.0,7200.0,True,10,0,14,0.027
S004-WAT-02,Q2-012,S004,1,3059.674,3095.674,7200.0,,False,10,0,14,0.027
S004-WAT-03,Q2-012,S004,5,3203.674,3239.674,7200.0,,False,10,0,14,0.027
S005-FOD-01,Q2-020,S005,1,5578.44,5614.44,14400.0,,False,6,0,8,0.028
S005-HYG-01,Q2-020,S005,4,5686.44,5722.44,18000.0,,False,4,0,6,0.035
S005-MED-01,Q2-020,S005,2,5614.44,5650.44,10800.0,10800.0,True,16,0,3,0.012
S005-WAT-01,Q2-020,S005,3,5650.44,5686.44,10800.0,10800.0,True,8,0,14,0.027
S005-WAT-02,Q2-020,S005,5,5722.44,5758.44,10800.0,,False,8,0,14,0.027
S005-WAT-03,Q2-020,S005,6,5758.44,5794.44,10800.0,,False,8,0,14,0.027
S006-FOD-01,Q2-002,S006,2,882.399,912.399,7200.0,,False,10,0,8,0.028
S006-HYG-01,Q2-009,S006,2,2119.67,2149.67,10800.0,,False,8,0,6,0.035
S006-MED-01,Q2-002,S006,1,852.399,882.399,3600.0,3600.0,True,24,0,3,0.012
S006-WAT-01,Q2-009,S006,1,2089.67,2119.67,3600.0,3600.0,True,12,0,14,0.027
S006-WAT-02,Q2-013,S006,1,2602.97,2632.97,3600.0,,False,12,0,14,0.027
S006-WAT-03,Q2-002,S006,3,912.399,942.399,3600.0,,False,12,0,14,0.027
S007-FOD-01,Q2-006,S007,2,1111.374,1141.374,7200.0,,False,10,0,8,0.028
S007-HYG-01,Q2-018,S007,1,4895.781,4931.781,10800.0,,False,8,0,6,0.035
S007-MED-01,Q2-003,S007,1,1081.374,1111.374,3600.0,3600.0,True,24,0,3,0.012
S007-WAT-01,Q2-003,S007,2,1111.374,1141.374,3600.0,3600.0,True,12,0,14,0.027
S007-WAT-02,Q2-006,S007,1,1081.374,1111.374,3600.0,,False,12,0,14,0.027
S008-FOD-01,Q2-019,S008,2,5023.725,5053.725,10800.0,,False,8,0,8,0.028
S008-HYG-01,Q2-021,S008,1,5201.095,5231.095,14400.0,,False,6,0,6,0.035
S008-MED-01,Q2-019,S008,1,4993.725,5023.725,7200.0,7200.0,True,20,0,3,0.012
S008-WAT-01,Q2-021,S008,2,5231.095,5261.095,7200.0,7200.0,True,10,0,14,0.027
S008-WAT-02,Q2-019,S008,3,5053.725,5083.725,7200.0,,False,10,0,14,0.027
S009-FOD-01,Q2-004,S009,1,1065.91,1095.91,14400.0,,False,6,0,8,0.028
S009-MED-01,Q2-007,S009,1,1095.91,1125.91,10800.0,10800.0,True,16,0,3,0.012
S009-WAT-01,Q2-004,S009,2,1095.91,1125.91,10800.0,10800.0,True,8,0,14,0.027
S010-FOD-01,Q2-015,S010,3,3529.781,3559.781,7200.0,,False,10,0,8,0.028
S010-MED-01,Q2-015,S010,1,3469.781,3499.781,3600.0,3600.0,True,24,0,3,0.012
S010-WAT-01,Q2-015,S010,2,3499.781,3529.781,3600.0,3600.0,True,12,0,14,0.027
S011-FOD-01,Q2-013,S011,1,3171.026,3201.026,14400.0,,False,6,0,8,0.028
S011-MED-01,Q2-020,S011,1,5009.135,5045.135,10800.0,10800.0,True,16,0,3,0.012
S011-WAT-01,Q2-020,S011,2,5045.135,5081.135,10800.0,10800.0,True,8,0,14,0.027
S012-FOD-01,Q2-001,S012,3,1241.344,1271.344,7200.0,,False,10,0,8,0.028
S012-MED-01,Q2-001,S012,1,1181.344,1211.344,7200.0,3600.0,True,22,0,3,0.012
S012-WAT-01,Q2-001,S012,2,1211.344,1241.344,3600.0,3600.0,True,12,0,14,0.027
S013-FOD-01,Q2-011,S013,2,2742.255,2772.255,7200.0,,False,10,0,8,0.028
S013-MED-01,Q2-007,S013,1,2117.03,2147.03,3600.0,3600.0,True,24,0,3,0.012
S013-WAT-01,Q2-011,S013,1,2712.255,2742.255,3600.0,3600.0,True,12,0,14,0.027
S014-FOD-01,Q2-014,S014,3,3135.259,3165.259,7200.0,,False,10,0,8,0.028
S014-MED-01,Q2-014,S014,1,3075.259,3105.259,7200.0,3600.0,True,22,0,3,0.012
S014-WAT-01,Q2-014,S014,2,3105.259,3135.259,3600.0,3600.0,True,12,0,14,0.027
S015-FOD-01,Q2-017,S015,1,3994.625,4024.625,14400.0,,False,6,0,8,0.028
S015-MED-01,Q2-016,S015,1,4640.495,4670.495,7200.0,7200.0,True,18,0,3,0.012
S015-WAT-01,Q2-017,S015,2,4024.625,4054.625,10800.0,10800.0,True,8,0,14,0.027
