方案,架次,无人机,机型,电池,准备开始s,访问路线,返航s,能耗kWh,质量kg,体积m³,SOC,充满时刻s,货箱列表
能耗优先,Q2-012,U08,C,BAT-C-02,4512.738,O01 → S001 → O01,5940.914,2.5655813655342623,64,0.136,0.6793023293082172,7469.093,S001-FOD-03; S001-WAT-02; S001-WAT-03; S001-WAT-07; S001-WAT-08
能耗优先,Q2-013,U05,B,BAT-B-03,5714.979,O01 → S015 → O01,7543.307,2.3075285057525154,25,0.067,0.42311787356187114,9209.903,S015-FOD-01; S015-MED-01; S015-WAT-01
能耗优先,Q2-014,U06,B,BAT-B-04,5951.59,O01 → S002 → O01,7708.316,2.8702072800012117,28,0.054,0.28244817999969707,9618.74,S002-WAT-03; S002-WAT-04
能耗优先,Q2-015,U08,C,BAT-C-03,6331.543,O01 → S005 → S009 → O01,8816.113,5.74341587762657,70,0.196,0.2820730152966787,11204.955,S005-FOD-01; S005-HYG-01; S005-MED-01; S005-WAT-01; S005-WAT-02; S009-FOD-01; S009-MED-01; S009-WAT-01
能耗优先,Q2-016,U07,C,BAT-C-04,6642.186,O01 → S001 → O01,8202.362,2.7203965759916358,70,0.20700000000000002,0.6599504280010455,9772.47,S001-FOD-01; S001-FOD-02; S001-HYG-01; S001-HYG-02; S001-WAT-04; S001-WAT-05; S001-WAT-06
能耗优先,Q2-017,U05,B,BAT-B-01,7591.405,O01 → S003 → O01,9552.016,2.4242554024426743,14,0.027,0.3939361493893314,11269.194,S003-WAT-03
能耗优先,Q2-018,U06,B,BAT-B-02,7744.53,O01 → S004 → O01,9666.173,3.035305400283593,28,0.054,0.24117364992910173,11648.139,S004-WAT-02; S004-WAT-03
能耗优先,Q2-019,U05,B,BAT-B-03,9552.016,O01 → S008 → O01,11453.859,2.7634312052333714,20,0.062,0.30914219869165716,13318.013,S008-HYG-01; S008-WAT-02
架次优先,Q2-001,U05,B,BAT-B-01,0.0,O01 → S002 → O01,1756.726,2.8702072800012117,28,0.054,0.28244817999969707,3667.15,S002-WAT-03; S002-WAT-04
架次优先,Q2-002,U01,A,BAT-A-01,0.0,O01 → S007 → O01,1727.468,1.9709635056721377,22,0.055,0.562008109850636,2796.858,S007-FOD-01; S007-WAT-01
架次优先,Q2-003,U02,A,BAT-A-02,0.0,O01 → S007 → O01,1727.468,1.8275023375986301,9,0.047,0.5938883694225267,2755.414,S007-HYG-01; S007-MED-01
架次优先,Q2-004,U07,C,BAT-C-01,0.0,O01 → S002 → O01,2107.844,5.601961218543254,53,0.157,0.29975484768209326,4458.376,S002-FOD-01; S002-FOD-02; S002-HYG-01; S002-MED-01; S002-WAT-01; S002-WAT-02
架次优先,Q2-005,U06,B,BAT-B-02,0.001,O01 → S006 → O01,1267.272,1.224316782124016,25,0.067,0.693920804468996,2464.476,S006-FOD-01; S006-MED-01; S006-WAT-02
架次优先,Q2-006,U08,C,BAT-C-02,0.14,O01 → S001 → O01,1494.316,2.8127111414518087,73,0.147,0.6484111073185239,3089.426,S001-MED-02; S001-WAT-01; S001-WAT-02; S001-WAT-03; S001-WAT-07; S001-WAT-08
架次优先,Q2-007,U06,B,BAT-B-03,1267.272,O01 → S006 → O01,2474.543,1.2935179229261098,28,0.054,0.6766205192684726,3701.735,S006-WAT-01; S006-WAT-03
架次优先,Q2-008,U08,C,BAT-C-03,1494.316,O01 → S014 → S013 → S001 → O01,4449.009,5.794505371951577,58,0.162,0.27568682850605286,6851.688,S001-FOD-03; S013-FOD-01; S013-MED-01; S013-WAT-01; S014-FOD-01; S014-MED-01; S014-WAT-01
架次优先,Q2-009,U05,B,BAT-B-04,1756.726,O01 → S012 → O01,3679.554,2.7525999542899324,25,0.067,0.3118500114275169,5539.014,S012-FOD-01; S012-MED-01; S012-WAT-01
架次优先,Q2-010,U07,C,BAT-C-04,2107.844,O01 → S001 → O01,3734.02,2.8127111414518087,73,0.219,0.6484111073185239,5329.13,S001-FOD-01; S001-FOD-02; S001-HYG-01; S001-HYG-02; S001-MED-01; S001-WAT-04; S001-WAT-05; S001-WAT-06
架次优先,Q2-011,U06,B,BAT-B-02,2474.547,O01 → S010 → O01,4029.952,1.823216564231414,25,0.067,0.5441958589421465,5486.68,S010-FOD-01; S010-MED-01; S010-WAT-01
架次优先,Q2-012,U05,B,BAT-B-01,3679.554,O01 → S005 → S004 → O01,5895.395,2.7917500781027624,25,0.067,0.3020624804743094,7771.821,S004-FOD-01; S004-MED-01; S005-WAT-03
架次优先,Q2-013,U07,C,BAT-C-02,3734.02,O01 → S004 → O01,5903.076,5.705440174682608,48,0.116,0.28681997816467397,8281.633,S004-HYG-01; S004-WAT-01; S004-WAT-02; S004-WAT-03
架次优先,Q2-014,U06,B,BAT-B-03,4029.952,O01 → S008 → O01,5991.795,2.9752068745422333,25,0.067,0.25619828136444167,7947.718,S008-FOD-01; S008-MED-01; S008-WAT-01
架次优先,Q2-015,U08,C,BAT-C-01,4458.376,O01 → S003 → O01,6960.554,6.324499390874367,67,0.184,0.20943757614070413,9506.773,S003-FOD-01; S003-FOD-02; S003-HYG-01; S003-MED-01; S003-WAT-01; S003-WAT-02; S003-WAT-04
架次优先,Q2-016,U07,C,BAT-C-04,5903.076,O01 → S015 → S003 → S007 → O01,8756.674,6.060907508821143,53,0.121,0.24238656139735715,11231.504,S003-WAT-03; S007-WAT-02; S015-FOD-01; S015-MED-01; S015-WAT-01
架次优先,Q2-017,U05,B,BAT-B-02,5991.791,O01 → S008 → O01,7893.634,2.7634312052333714,20,0.062,0.30914219869165716,9757.788,S008-HYG-01; S008-WAT-02
架次优先,Q2-018,U06,B,BAT-B-04,5991.795,O01 → S009 → O01,7550.259,2.0962654017373348,25,0.067,0.4759336495656663,9125.308,S009-FOD-01; S009-MED-01; S009-WAT-01
架次优先,Q2-019,U08,C,BAT-C-03,6960.554,O01 → S011 → S005 → S006 → O01,9906.71,6.023497892188781,76,0.231,0.24706276347640233,12371.408,S005-FOD-01; S005-HYG-01; S005-MED-01; S005-WAT-01; S005-WAT-02; S006-HYG-01; S011-FOD-01; S011-MED-01; S011-WAT-01
