方案,货箱,服务区,架次,交箱次序,完成时刻s,期望时刻s,硬截止s,逾期s
完工时间优先,S003-WAT-03,S003,Q2-024,1,6075.551,7200.0,,0
完工时间优先,S003-WAT-04,S003,Q2-025,4,6493.251,7200.0,,0
完工时间优先,S004-FOD-01,S004,Q2-021,1,4991.943,10800.0,,0
完工时间优先,S004-HYG-01,S004,Q2-028,2,6775.018,14400.0,,0
完工时间优先,S004-MED-01,S004,Q2-028,1,6739.018,7200.0,7200.0,0
完工时间优先,S004-WAT-01,S004,Q2-026,1,6448.781,7200.0,7200.0,0
完工时间优先,S004-WAT-02,S004,Q2-028,3,6811.018,7200.0,,0
完工时间优先,S004-WAT-03,S004,Q2-014,1,3855.449,7200.0,,0
完工时间优先,S005-FOD-01,S005,Q2-018,1,4777.56,14400.0,,0
完工时间优先,S005-HYG-01,S005,Q2-018,5,4921.56,18000.0,,0
完工时间优先,S005-MED-01,S005,Q2-018,4,4885.56,10800.0,10800.0,0
完工时间优先,S005-WAT-01,S005,Q2-018,3,4849.56,10800.0,10800.0,0
完工时间优先,S005-WAT-02,S005,Q2-018,2,4813.56,10800.0,,0
完工时间优先,S005-WAT-03,S005,Q2-014,1,4385.742,10800.0,,0
完工时间优先,S006-FOD-01,S006,Q2-009,3,2149.67,7200.0,,0
完工时间优先,S006-HYG-01,S006,Q2-005,2,882.399,10800.0,,0
完工时间优先,S006-MED-01,S006,Q2-009,2,2119.67,3600.0,3600.0,0
完工时间优先,S006-WAT-01,S006,Q2-005,1,852.399,3600.0,3600.0,0
完工时间优先,S006-WAT-02,S006,Q2-009,1,2089.67,3600.0,,0
完工时间优先,S006-WAT-03,S006,Q2-017,1,3525.742,3600.0,,0
完工时间优先,S007-FOD-01,S007,Q2-022,1,5341.976,7200.0,,0
完工时间优先,S007-HYG-01,S007,Q2-003,2,1141.374,10800.0,,0
完工时间优先,S007-MED-01,S007,Q2-003,1,1111.374,3600.0,3600.0,0
完工时间优先,S007-WAT-01,S007,Q2-011,1,2633.538,3600.0,3600.0,0
完工时间优先,S007-WAT-02,S007,Q2-016,1,3665.298,3600.0,,65.29799999999977
完工时间优先,S008-FOD-01,S008,Q2-015,3,3765.69,10800.0,,0
完工时间优先,S008-HYG-01,S008,Q2-023,1,6051.824,14400.0,,0
完工时间优先,S008-MED-01,S008,Q2-015,2,3735.69,7200.0,7200.0,0
完工时间优先,S008-WAT-01,S008,Q2-015,1,3705.69,7200.0,7200.0,0
完工时间优先,S008-WAT-02,S008,Q2-019,1,4525.432,7200.0,,0
完工时间优先,S009-FOD-01,S009,Q2-023,1,5437.207,14400.0,,0
完工时间优先,S009-MED-01,S009,Q2-027,1,6426.689,10800.0,10800.0,0
完工时间优先,S009-WAT-01,S009,Q2-027,2,6456.689,10800.0,10800.0,0
完工时间优先,S010-FOD-01,S010,Q2-006,2,1416.481,7200.0,,0
完工时间优先,S010-MED-01,S010,Q2-006,1,1386.481,3600.0,3600.0,0
完工时间优先,S010-WAT-01,S010,Q2-008,1,1045.261,3600.0,3600.0,0
完工时间优先,S011-FOD-01,S011,Q2-018,3,4244.255,14400.0,,0
完工时间优先,S011-MED-01,S011,Q2-018,2,4208.255,10800.0,10800.0,0
完工时间优先,S011-WAT-01,S011,Q2-018,1,4172.255,10800.0,10800.0,0
完工时间优先,S012-FOD-01,S012,Q2-013,2,3127.991,7200.0,,0
完工时间优先,S012-MED-01,S012,Q2-013,3,3157.991,7200.0,3600.0,0
完工时间优先,S012-WAT-01,S012,Q2-013,1,3097.991,3600.0,3600.0,0
完工时间优先,S013-FOD-01,S013,Q2-020,1,4609.186,7200.0,,0
完工时间优先,S013-MED-01,S013,Q2-004,1,1023.615,3600.0,3600.0,0
完工时间优先,S013-WAT-01,S013,Q2-006,1,1002.79,3600.0,3600.0,0
完工时间优先,S014-FOD-01,S014,Q2-012,2,2867.928,7200.0,,0
完工时间优先,S014-MED-01,S014,Q2-012,1,2837.928,7200.0,3600.0,0
完工时间优先,S014-WAT-01,S014,Q2-007,1,1212.983,3600.0,3600.0,0
完工时间优先,S015-FOD-01,S015,Q2-029,1,6828.722,14400.0,,0
完工时间优先,S015-MED-01,S015,Q2-029,2,6858.722,7200.0,7200.0,0
完工时间优先,S015-WAT-01,S015,Q2-029,3,6888.722,10800.0,10800.0,0
能耗优先,S001-FOD-01,S001,Q2-016,1,7674.459,7200.0,,474.45899999999983
能耗优先,S001-FOD-02,S001,Q2-016,2,7710.459,7200.0,,510.45899999999983
能耗优先,S001-FOD-03,S001,Q2-012,1,5485.011,7200.0,,0
能耗优先,S001-HYG-01,S001,Q2-016,3,7746.459,10800.0,,0
能耗优先,S001-HYG-02,S001,Q2-016,4,7782.459,10800.0,,0
能耗优先,S001-MED-01,S001,Q2-008,1,3350.133,3600.0,3600.0,0
能耗优先,S001-MED-02,S001,Q2-008,2,3380.133,3600.0,3600.0,0
能耗优先,S001-WAT-01,S001,Q2-008,3,3410.133,3600.0,3600.0,0
能耗优先,S001-WAT-02,S001,Q2-012,2,5521.011,3600.0,,1921.0110000000004
能耗优先,S001-WAT-03,S001,Q2-012,3,5557.011,3600.0,,1957.0110000000004
能耗优先,S001-WAT-04,S001,Q2-016,5,7818.459,3600.0,,4218.459
能耗优先,S001-WAT-05,S001,Q2-016,6,7854.459,3600.0,,4254.459
能耗优先,S001-WAT-06,S001,Q2-016,7,7890.459,3600.0,,4290.459
能耗优先,S001-WAT-07,S001,Q2-012,4,5593.011,3600.0,,1993.0110000000004
能耗优先,S001-WAT-08,S001,Q2-012,5,5629.011,3600.0,,2029.0110000000004
能耗优先,S002-FOD-01,S002,Q2-004,6,1523.348,7200.0,,0
能耗优先,S002-FOD-02,S002,Q2-004,2,1379.348,7200.0,,0
能耗优先,S002-HYG-01,S002,Q2-004,3,1415.348,10800.0,,0
能耗优先,S002-MED-01,S002,Q2-004,4,1451.348,3600.0,3600.0,0
能耗优先,S002-WAT-01,S002,Q2-004,5,1487.348,3600.0,3600.0,0
能耗优先,S002-WAT-02,S002,Q2-004,1,1343.348,3600.0,,0
能耗优先,S002-WAT-03,S002,Q2-014,1,7081.893,3600.0,,3481.893
能耗优先,S002-WAT-04,S002,Q2-014,2,7111.893,3600.0,,3511.893
能耗优先,S003-FOD-01,S003,Q2-011,5,5779.557,10800.0,,0
能耗优先,S003-FOD-02,S003,Q2-011,2,5671.557,10800.0,,0
能耗优先,S003-HYG-01,S003,Q2-011,3,5707.557,14400.0,,0
能耗优先,S003-MED-01,S003,Q2-011,7,5851.557,7200.0,7200.0,0
能耗优先,S003-WAT-01,S003,Q2-011,1,5635.557,7200.0,7200.0,0
能耗优先,S003-WAT-02,S003,Q2-011,4,5743.557,7200.0,,0
能耗优先,S003-WAT-03,S003,Q2-017,1,8819.684,7200.0,,1619.6839999999993
能耗优先,S003-WAT-04,S003,Q2-011,6,5815.557,7200.0,,0
能耗优先,S004-FOD-01,S004,Q2-009,2,5035.804,10800.0,,0
能耗优先,S004-HYG-01,S004,Q2-010,1,5212.416,14400.0,,0
能耗优先,S004-MED-01,S004,Q2-009,1,5005.804,7200.0,7200.0,0
能耗优先,S004-WAT-01,S004,Q2-010,2,5242.416,7200.0,7200.0,0
能耗优先,S004-WAT-02,S004,Q2-018,1,8956.998,7200.0,,1756.9979999999996
能耗优先,S004-WAT-03,S004,Q2-018,2,8986.998,7200.0,,1786.9979999999996
能耗优先,S005-FOD-01,S005,Q2-015,1,7584.773,14400.0,,0
能耗优先,S005-HYG-01,S005,Q2-015,2,7620.773,18000.0,,0
能耗优先,S005-MED-01,S005,Q2-015,3,7656.773,10800.0,10800.0,0
能耗优先,S005-WAT-01,S005,Q2-015,4,7692.773,10800.0,10800.0,0
能耗优先,S005-WAT-02,S005,Q2-015,5,7728.773,10800.0,,0
能耗优先,S005-WAT-03,S005,Q2-009,1,4539.979,10800.0,,0
能耗优先,S006-FOD-01,S006,Q2-001,1,1029.422,7200.0,,0
能耗优先,S006-HYG-01,S006,Q2-001,2,1065.422,10800.0,,0
能耗优先,S006-MED-01,S006,Q2-001,3,1101.422,3600.0,3600.0,0
能耗优先,S006-WAT-01,S006,Q2-001,4,1137.422,3600.0,3600.0,0
能耗优先,S006-WAT-02,S006,Q2-001,5,1173.422,3600.0,,0
能耗优先,S006-WAT-03,S006,Q2-001,6,1209.422,3600.0,,0
能耗优先,S007-FOD-01,S007,Q2-007,1,3437.621,7200.0,,0
能耗优先,S007-HYG-01,S007,Q2-007,2,3473.621,10800.0,,0
能耗优先,S007-MED-01,S007,Q2-007,3,3509.621,3600.0,3600.0,0
能耗优先,S007-WAT-01,S007,Q2-007,4,3545.621,3600.0,3600.0,0
能耗优先,S007-WAT-02,S007,Q2-007,5,3581.621,3600.0,,0
能耗优先,S008-FOD-01,S008,Q2-003,3,1291.154,10800.0,,0
能耗优先,S008-HYG-01,S008,Q2-019,1,10753.164,14400.0,,0
能耗优先,S008-MED-01,S008,Q2-003,2,1261.154,7200.0,7200.0,0
能耗优先,S008-WAT-01,S008,Q2-003,1,1231.154,7200.0,7200.0,0
能耗优先,S008-WAT-02,S008,Q2-019,2,10783.164,7200.0,,3583.1640000000007
能耗优先,S009-FOD-01,S009,Q2-015,1,8255.703,14400.0,,0
能耗优先,S009-MED-01,S009,Q2-015,2,8291.703,10800.0,10800.0,0
能耗优先,S009-WAT-01,S009,Q2-015,3,8327.703,10800.0,10800.0,0
能耗优先,S010-FOD-01,S010,Q2-002,3,1085.24,7200.0,,0
能耗优先,S010-MED-01,S010,Q2-002,2,1055.24,3600.0,3600.0,0
能耗优先,S010-WAT-01,S010,Q2-002,1,1025.24,3600.0,3600.0,0
能耗优先,S011-FOD-01,S011,Q2-007,1,4136.395,14400.0,,0
能耗优先,S011-MED-01,S011,Q2-007,2,4172.395,10800.0,10800.0,0
能耗优先,S011-WAT-01,S011,Q2-007,3,4208.395,10800.0,10800.0,0
能耗优先,S012-FOD-01,S012,Q2-006,2,2817.654,7200.0,,0
能耗优先,S012-MED-01,S012,Q2-006,3,2847.654,7200.0,3600.0,0
能耗优先,S012-WAT-01,S012,Q2-006,1,2787.654,3600.0,3600.0,0
能耗优先,S013-FOD-01,S013,Q2-005,1,2717.952,7200.0,,0
能耗优先,S013-MED-01,S013,Q2-005,2,2753.952,3600.0,3600.0,0
能耗优先,S013-WAT-01,S013,Q2-005,3,2789.952,3600.0,3600.0,0
能耗优先,S014-FOD-01,S014,Q2-005,1,3378.202,7200.0,,0
能耗优先,S014-MED-01,S014,Q2-005,2,3414.202,7200.0,3600.0,0
能耗优先,S014-WAT-01,S014,Q2-005,3,3450.202,3600.0,3600.0,0
能耗优先,S015-FOD-01,S015,Q2-013,1,6872.583,14400.0,,0
能耗优先,S015-MED-01,S015,Q2-013,2,6902.583,7200.0,7200.0,0
能耗优先,S015-WAT-01,S015,Q2-013,3,6932.583,10800.0,10800.0,0
架次优先,S001-FOD-01,S001,Q2-010,8,3422.117,7200.0,,0
架次优先,S001-FOD-02,S001,Q2-010,7,3386.117,7200.0,,0
架次优先,S001-FOD-03,S001,Q2-008,1,4137.106,7200.0,,0
架次优先,S001-HYG-01,S001,Q2-010,6,3350.117,10800.0,,0
架次优先,S001-HYG-02,S001,Q2-010,5,3314.117,10800.0,,0
架次优先,S001-MED-01,S001,Q2-010,4,3278.117,3600.0,3600.0,0
架次优先,S001-MED-02,S001,Q2-006,6,1182.413,3600.0,3600.0,0
架次优先,S001-WAT-01,S001,Q2-006,5,1146.413,3600.0,3600.0,0
架次优先,S001-WAT-02,S001,Q2-006,4,1110.413,3600.0,,0
架次优先,S001-WAT-03,S001,Q2-006,3,1074.413,3600.0,,0
架次优先,S001-WAT-04,S001,Q2-010,3,3242.117,3600.0,,0
架次优先,S001-WAT-05,S001,Q2-010,2,3206.117,3600.0,,0
架次优先,S001-WAT-06,S001,Q2-010,1,3170.117,3600.0,,0
架次优先,S001-WAT-07,S001,Q2-006,2,1038.413,3600.0,,0
架次优先,S001-WAT-08,S001,Q2-006,1,1002.413,3600.0,,0
架次优先,S002-FOD-01,S002,Q2-004,6,1487.332,7200.0,,0
架次优先,S002-FOD-02,S002,Q2-004,5,1451.332,7200.0,,0
架次优先,S002-HYG-01,S002,Q2-004,4,1415.332,10800.0,,0
架次优先,S002-MED-01,S002,Q2-004,3,1379.332,3600.0,3600.0,0
架次优先,S002-WAT-01,S002,Q2-004,2,1343.332,3600.0,3600.0,0
架次优先,S002-WAT-02,S002,Q2-004,1,1307.332,3600.0,,0
架次优先,S002-WAT-03,S002,Q2-001,1,1130.303,3600.0,,0
架次优先,S002-WAT-04,S002,Q2-001,2,1160.303,3600.0,,0
架次优先,S003-FOD-01,S003,Q2-015,7,6169.925,10800.0,,0
架次优先,S003-FOD-02,S003,Q2-015,6,6133.925,10800.0,,0
架次优先,S003-HYG-01,S003,Q2-015,5,6097.925,14400.0,,0
架次优先,S003-MED-01,S003,Q2-015,3,6025.925,7200.0,7200.0,0
架次优先,S003-WAT-01,S003,Q2-015,2,5989.925,7200.0,7200.0,0
架次优先,S003-WAT-02,S003,Q2-015,4,6061.925,7200.0,,0
架次优先,S003-WAT-03,S003,Q2-016,1,7738.541,7200.0,,538.5410000000002
架次优先,S003-WAT-04,S003,Q2-015,1,5953.925,7200.0,,0
架次优先,S004-FOD-01,S004,Q2-012,2,5216.22,10800.0,,0
架次优先,S004-HYG-01,S004,Q2-013,4,5185.518,14400.0,,0
架次优先,S004-MED-01,S004,Q2-012,1,5186.22,7200.0,7200.0,0
架次优先,S004-WAT-01,S004,Q2-013,3,5149.518,7200.0,7200.0,0
架次优先,S004-WAT-02,S004,Q2-013,2,5113.518,7200.0,,0
架次优先,S004-WAT-03,S004,Q2-013,1,5077.518,7200.0,,0
架次优先,S005-FOD-01,S005,Q2-019,5,8791.762,14400.0,,0
架次优先,S005-HYG-01,S005,Q2-019,2,8683.762,18000.0,,0
架次优先,S005-MED-01,S005,Q2-019,3,8719.762,10800.0,10800.0,0
架次优先,S005-WAT-01,S005,Q2-019,4,8755.762,10800.0,10800.0,0
架次优先,S005-WAT-02,S005,Q2-019,1,8647.762,10800.0,,0
架次优先,S005-WAT-03,S005,Q2-012,1,4720.395,10800.0,,0
架次优先,S006-FOD-01,S006,Q2-005,3,942.4,7200.0,,0
架次优先,S006-HYG-01,S006,Q2-019,1,9554.578,10800.0,,0
架次优先,S006-MED-01,S006,Q2-005,2,912.4,3600.0,3600.0,0
架次优先,S006-WAT-01,S006,Q2-007,1,2119.671,3600.0,3600.0,0
架次优先,S006-WAT-02,S006,Q2-005,1,882.4,3600.0,,0
架次优先,S006-WAT-03,S006,Q2-007,2,2149.671,3600.0,,0
架次优先,S007-FOD-01,S007,Q2-002,1,1111.374,7200.0,,0
架次优先,S007-HYG-01,S007,Q2-003,1,1111.374,10800.0,,0
架次优先,S007-MED-01,S007,Q2-003,2,1141.374,3600.0,3600.0,0
架次优先,S007-WAT-01,S007,Q2-002,2,1141.374,3600.0,3600.0,0
架次优先,S007-WAT-02,S007,Q2-016,1,8196.833,3600.0,,4596.8330000000005
架次优先,S008-FOD-01,S008,Q2-014,3,5321.1,10800.0,,0
架次优先,S008-HYG-01,S008,Q2-017,2,7222.939,14400.0,,0
架次优先,S008-MED-01,S008,Q2-014,2,5291.1,7200.0,7200.0,0
架次优先,S008-WAT-01,S008,Q2-014,1,5261.1,7200.0,7200.0,0
架次优先,S008-WAT-02,S008,Q2-017,1,7192.939,7200.0,,0
架次优先,S009-FOD-01,S009,Q2-018,1,7022.617,14400.0,,0
架次优先,S009-MED-01,S009,Q2-018,2,7052.617,10800.0,10800.0,0
架次优先,S009-WAT-01,S009,Q2-018,3,7082.617,10800.0,10800.0,0
架次优先,S010-FOD-01,S010,Q2-011,2,3529.786,7200.0,,0
架次优先,S010-MED-01,S010,Q2-011,1,3499.786,3600.0,3600.0,0
架次优先,S010-WAT-01,S010,Q2-011,3,3559.786,3600.0,3600.0,0
架次优先,S011-FOD-01,S011,Q2-019,3,8114.457,14400.0,,0
架次优先,S011-MED-01,S011,Q2-019,2,8078.457,10800.0,10800.0,0
架次优先,S011-WAT-01,S011,Q2-019,1,8042.457,10800.0,10800.0,0
架次优先,S012-FOD-01,S012,Q2-009,3,3028.07,7200.0,,0
架次优先,S012-MED-01,S012,Q2-009,2,2998.07,7200.0,3600.0,0
架次优先,S012-WAT-01,S012,Q2-009,1,2968.07,3600.0,3600.0,0
架次优先,S013-FOD-01,S013,Q2-008,3,3619.972,7200.0,,0
架次优先,S013-MED-01,S013,Q2-008,2,3583.972,3600.0,3600.0,0
架次优先,S013-WAT-01,S013,Q2-008,1,3547.972,3600.0,3600.0,0
架次优先,S014-FOD-01,S014,Q2-008,3,2959.792,7200.0,,0
架次优先,S014-MED-01,S014,Q2-008,2,2923.792,7200.0,3600.0,0
架次优先,S014-WAT-01,S014,Q2-008,1,2887.792,3600.0,3600.0,0
架次优先,S015-FOD-01,S015,Q2-016,2,7232.017,14400.0,,0
架次优先,S015-MED-01,S015,Q2-016,1,7196.017,7200.0,7200.0,0
架次优先,S015-WAT-01,S015,Q2-016,3,7268.017,10800.0,10800.0,0
