架次,航段,顶点次序,起点,终点,东向km,北向km,海拔m
Q2-013,2,3,S013,S010,4.6301502754126265,1.2061585956945475,504.07037353515625
Q2-013,2,4,S013,S010,4.6301502754126265,1.2061585956945475,351.6
Q2-013,3,1,S010,O01,4.6301502754126265,1.2061585956945475,351.6
Q2-013,3,2,S010,O01,4.6301502754126265,1.2061585956945475,435.63653564453125
Q2-013,3,3,S010,O01,0.0,0.0,435.63653564453125
Q2-013,3,4,S010,O01,0.0,0.0,127.7
Q2-014,1,1,O01,S014,0.0,0.0,127.7
Q2-014,1,2,O01,S014,0.0,0.0,591.9473876953125
Q2-014,1,3,O01,S014,5.407201871835279,-0.3654334735725998,591.9473876953125
Q2-014,1,4,O01,S014,5.407201871835279,-0.3654334735725998,351
Q2-014,2,1,S014,O01,5.407201871835279,-0.3654334735725998,351
Q2-014,2,2,S014,O01,5.407201871835279,-0.3654334735725998,591.9473876953125
Q2-014,2,3,S014,O01,0.0,0.0,591.9473876953125
Q2-014,2,4,S014,O01,0.0,0.0,127.7
Q2-015,1,1,O01,S001,0.0,0.0,127.7
Q2-015,1,2,O01,S001,0.0,0.0,273.0566101074219
Q2-015,1,3,O01,S001,1.269169921901062,2.777817111438484,273.0566101074219
Q2-015,1,4,O01,S001,1.269169921901062,2.777817111438484,184
Q2-015,2,1,S001,O01,1.269169921901062,2.777817111438484,184
Q2-015,2,2,S001,O01,1.269169921901062,2.777817111438484,273.0566101074219
Q2-015,2,3,S001,O01,0.0,0.0,273.0566101074219
Q2-015,2,4,S001,O01,0.0,0.0,127.7
Q2-016,1,1,O01,S013,0.0,0.0,127.7
Q2-016,1,2,O01,S013,0.0,0.0,399.18182373046875
Q2-016,1,3,O01,S013,4.155203398046757,2.500458442863541,399.18182373046875
Q2-016,1,4,O01,S013,4.155203398046757,2.500458442863541,351.7
Q2-016,2,1,S013,O01,4.155203398046757,2.500458442863541,351.7
Q2-016,2,2,S013,O01,4.155203398046757,2.500458442863541,399.18182373046875
Q2-016,2,3,S013,O01,0.0,0.0,399.18182373046875
Q2-016,2,4,S013,O01,0.0,0.0,127.7
Q2-017,1,1,O01,S007,0.0,0.0,127.7
Q2-017,1,2,O01,S007,0.0,0.0,511.9731750488281
Q2-017,1,3,O01,S007,-3.8989541341595637,2.315560046755532,511.9731750488281
Q2-017,1,4,O01,S007,-3.8989541341595637,2.315560046755532,348.5
Q2-017,2,1,S007,S003,-3.8989541341595637,2.315560046755532,348.5
Q2-017,2,2,S007,S003,-3.8989541341595637,2.315560046755532,410.6993408203125
Q2-017,2,3,S007,S003,-6.355373355953578,3.5174439191093088,410.6993408203125
Q2-017,2,4,S007,S003,-6.355373355953578,3.5174439191093088,338.5
Q2-017,3,1,S003,O01,-6.355373355953578,3.5174439191093088,338.5
Q2-017,3,2,S003,O01,-6.355373355953578,3.5174439191093088,561.8041381835938
Q2-017,3,3,S003,O01,0.0,0.0,561.8041381835938
Q2-017,3,4,S003,O01,0.0,0.0,127.7
Q2-018,1,1,O01,S015,0.0,0.0,127.7
Q2-018,1,2,O01,S015,0.0,0.0,571.7992553710938
Q2-018,1,3,O01,S015,-3.9441124797915337,4.534451544180149,571.7992553710938
Q2-018,1,4,O01,S015,-3.9441124797915337,4.534451544180149,474.5
Q2-018,2,1,S015,O01,-3.9441124797915337,4.534451544180149,474.5
Q2-018,2,2,S015,O01,-3.9441124797915337,4.534451544180149,571.7992553710938
Q2-018,2,3,S015,O01,0.0,0.0,571.7992553710938
Q2-018,2,4,S015,O01,0.0,0.0,127.7
Q2-019,1,1,O01,S004,0.0,0.0,127.7
Q2-019,1,2,O01,S004,0.0,0.0,398.2391662597656
Q2-019,1,3,O01,S004,0.7503871566968315,7.6781008080523625,398.2391662597656
Q2-019,1,4,O01,S004,0.7503871566968315,7.6781008080523625,228.3
Q2-019,2,1,S004,O01,0.7503871566968315,7.6781008080523625,228.3
Q2-019,2,2,S004,O01,0.7503871566968315,7.6781008080523625,398.2391662597656
Q2-019,2,3,S004,O01,0.0,0.0,398.2391662597656
Q2-019,2,4,S004,O01,0.0,0.0,127.7
Q2-020,1,1,O01,S004,0.0,0.0,127.7
Q2-020,1,2,O01,S004,0.0,0.0,398.2391662597656
Q2-020,1,3,O01,S004,0.7503871566968315,7.6781008080523625,398.2391662597656
Q2-020,1,4,O01,S004,0.7503871566968315,7.6781008080523625,228.3
Q2-020,2,1,S004,O01,0.7503871566968315,7.6781008080523625,228.3
Q2-020,2,2,S004,O01,0.7503871566968315,7.6781008080523625,398.2391662597656
Q2-020,2,3,S004,O01,0.0,0.0,398.2391662597656
Q2-020,2,4,S004,O01,0.0,0.0,127.7
Q2-021,1,1,O01,S003,0.0,0.0,127.7
Q2-021,1,2,O01,S003,0.0,0.0,561.8041381835938
Q2-021,1,3,O01,S003,-6.355373355953578,3.5174439191093088,561.8041381835938
Q2-021,1,4,O01,S003,-6.355373355953578,3.5174439191093088,338.5
Q2-021,2,1,S003,O01,-6.355373355953578,3.5174439191093088,338.5
Q2-021,2,2,S003,O01,-6.355373355953578,3.5174439191093088,561.8041381835938
Q2-021,2,3,S003,O01,0.0,0.0,561.8041381835938
Q2-021,2,4,S003,O01,0.0,0.0,127.7
Q2-022,1,1,O01,S008,0.0,0.0,127.7
Q2-022,1,2,O01,S008,0.0,0.0,372.9093322753906
Q2-022,1,3,O01,S008,-1.8560028796848844,7.8630324273987675,372.9093322753906
Q2-022,1,4,O01,S008,-1.8560028796848844,7.8630324273987675,270.9
Q2-022,2,1,S008,O01,-1.8560028796848844,7.8630324273987675,270.9
Q2-022,2,2,S008,O01,-1.8560028796848844,7.8630324273987675,372.9093322753906
Q2-022,2,3,S008,O01,0.0,0.0,372.9093322753906
Q2-022,2,4,S008,O01,0.0,0.0,127.7
Q2-023,1,1,O01,S003,0.0,0.0,127.7
Q2-023,1,2,O01,S003,0.0,0.0,561.8041381835938
Q2-023,1,3,O01,S003,-6.355373355953578,3.5174439191093088,561.8041381835938
Q2-023,1,4,O01,S003,-6.355373355953578,3.5174439191093088,338.5
Q2-023,2,1,S003,O01,-6.355373355953578,3.5174439191093088,338.5
Q2-023,2,2,S003,O01,-6.355373355953578,3.5174439191093088,561.8041381835938
Q2-023,2,3,S003,O01,0.0,0.0,561.8041381835938
Q2-023,2,4,S003,O01,0.0,0.0,127.7
Q2-024,1,1,O01,S011,0.0,0.0,127.7
Q2-024,1,2,O01,S011,0.0,0.0,295.36175537109375
Q2-024,1,3,O01,S011,-1.0780696447321874,2.5929187153304754,295.36175537109375
Q2-024,1,4,O01,S011,-1.0780696447321874,2.5929187153304754,212.1
Q2-024,2,1,S011,S003,-1.0780696447321874,2.5929187153304754,212.1
Q2-024,2,2,S011,S003,-1.0780696447321874,2.5929187153304754,535.4223022460938
Q2-024,2,3,S011,S003,-6.355373355953578,3.5174439191093088,535.4223022460938
Q2-024,2,4,S011,S003,-6.355373355953578,3.5174439191093088,338.5
Q2-024,3,1,S003,S015,-6.355373355953578,3.5174439191093088,338.5
Q2-024,3,2,S003,S015,-6.355373355953578,3.5174439191093088,487.89886474609375
Q2-024,3,3,S003,S015,-3.9441124797915337,4.534451544180149,487.89886474609375
Q2-024,3,4,S003,S015,-3.9441124797915337,4.534451544180149,474.5
Q2-024,4,1,S015,O01,-3.9441124797915337,4.534451544180149,474.5
Q2-024,4,2,S015,O01,-3.9441124797915337,4.534451544180149,571.7992553710938
Q2-024,4,3,S015,O01,0.0,0.0,571.7992553710938
Q2-024,4,4,S015,O01,0.0,0.0,127.7
Q2-025,1,1,O01,S008,0.0,0.0,127.7
Q2-025,1,2,O01,S008,0.0,0.0,372.9093322753906
Q2-025,1,3,O01,S008,-1.8560028796848844,7.8630324273987675,372.9093322753906
Q2-025,1,4,O01,S008,-1.8560028796848844,7.8630324273987675,270.9
Q2-025,2,1,S008,O01,-1.8560028796848844,7.8630324273987675,270.9
Q2-025,2,2,S008,O01,-1.8560028796848844,7.8630324273987675,372.9093322753906
Q2-025,2,3,S008,O01,0.0,0.0,372.9093322753906
Q2-025,2,4,S008,O01,0.0,0.0,127.7
Q2-026,1,1,O01,S003,0.0,0.0,127.7
Q2-026,1,2,O01,S003,0.0,0.0,561.8041381835938
Q2-026,1,3,O01,S003,-6.355373355953578,3.5174439191093088,561.8041381835938
Q2-026,1,4,O01,S003,-6.355373355953578,3.5174439191093088,338.5
Q2-026,2,1,S003,O01,-6.355373355953578,3.5174439191093088,338.5
Q2-026,2,2,S003,O01,-6.355373355953578,3.5174439191093088,561.8041381835938
Q2-026,2,3,S003,O01,0.0,0.0,561.8041381835938
Q2-026,2,4,S003,O01,0.0,0.0,127.7
Q2-027,1,1,O01,S008,0.0,0.0,127.7
Q2-027,1,2,O01,S008,0.0,0.0,372.9093322753906
Q2-027,1,3,O01,S008,-1.8560028796848844,7.8630324273987675,372.9093322753906
Q2-027,1,4,O01,S008,-1.8560028796848844,7.8630324273987675,270.9
Q2-027,2,1,S008,O01,-1.8560028796848844,7.8630324273987675,270.9
Q2-027,2,2,S008,O01,-1.8560028796848844,7.8630324273987675,372.9093322753906
Q2-027,2,3,S008,O01,0.0,0.0,372.9093322753906
Q2-027,2,4,S008,O01,0.0,0.0,127.7
Q2-028,1,1,O01,S005,0.0,0.0,127.7
Q2-028,1,2,O01,S005,0.0,0.0,326.410888671875
Q2-028,1,3,O01,S005,-0.26155959828932435,5.274111575089368,326.410888671875
Q2-028,1,4,O01,S005,-0.26155959828932435,5.274111575089368,195
Q2-028,2,1,S005,O01,-0.26155959828932435,5.274111575089368,195
Q2-028,2,2,S005,O01,-0.26155959828932435,5.274111575089368,326.410888671875
Q2-028,2,3,S005,O01,0.0,0.0,326.410888671875
Q2-028,2,4,S005,O01,0.0,0.0,127.7
Q2-029,1,1,O01,S009,0.0,0.0,127.7
Q2-029,1,2,O01,S009,0.0,0.0,293.2289123535156
Q2-029,1,3,O01,S009,2.3876719196811726,5.181651302622434,293.2289123535156
Q2-029,1,4,O01,S009,2.3876719196811726,5.181651302622434,230
Q2-029,2,1,S009,O01,2.3876719196811726,5.181651302622434,230
Q2-029,2,2,S009,O01,2.3876719196811726,5.181651302622434,293.2289123535156
Q2-029,2,3,S009,O01,0.0,0.0,293.2289123535156
Q2-029,2,4,S009,O01,0.0,0.0,127.7
Q2-030,1,1,O01,S007,0.0,0.0,127.7
Q2-030,1,2,O01,S007,0.0,0.0,511.9731750488281
Q2-030,1,3,O01,S007,-3.8989541341595637,2.315560046755532,511.9731750488281
Q2-030,1,4,O01,S007,-3.8989541341595637,2.315560046755532,348.5
Q2-030,2,1,S007,O01,-3.8989541341595637,2.315560046755532,348.5
Q2-030,2,2,S007,O01,-3.8989541341595637,2.315560046755532,511.9731750488281
Q2-030,2,3,S007,O01,0.0,0.0,511.9731750488281
Q2-030,2,4,S007,O01,0.0,0.0,127.7
Q2-031,1,1,O01,S011,0.0,0.0,127.7
Q2-031,1,2,O01,S011,0.0,0.0,295.36175537109375
Q2-031,1,3,O01,S011,-1.0780696447321874,2.5929187153304754,295.36175537109375
Q2-031,1,4,O01,S011,-1.0780696447321874,2.5929187153304754,212.1
Q2-031,2,1,S011,O01,-1.0780696447321874,2.5929187153304754,212.1
Q2-031,2,2,S011,O01,-1.0780696447321874,2.5929187153304754,295.36175537109375
Q2-031,2,3,S011,O01,0.0,0.0,295.36175537109375
Q2-031,2,4,S011,O01,0.0,0.0,127.7
