架次,航段,起点,终点,剩余载荷kg,体积m³,距离m,巡航海拔m,爬升m,下降m,开始s,结束s,飞行时间s,能耗kWh
Q2-019,1,O01,S008,11.0,0.04,8079.110448788476,372.9093322753906,245.20933227539064,102.00933227539065,3813.665,4609.465,795.7993810676594,1.6195362463292435
Q2-019,2,S008,O01,0.0,0.0,8079.110448788476,372.9093322753906,102.00933227539065,245.20933227539064,4819.465,5624.812,805.3460477343261,1.4812560409999396
Q2-020,1,O01,S004,22.0,0.055,7714.681646286507,398.2391662597656,270.53916625976564,169.9391662597656,3830.02,4537.518,707.4973593862229,2.667659079160729
Q2-020,2,S004,O01,0.0,0.0,7714.681646286507,398.2391662597656,169.9391662597656,270.53916625976564,4789.518,5507.076,717.5573593862229,2.4186906067831635
Q2-021,1,O01,S013,8.0,0.028,4849.536854548781,399.18182373046875,271.48182373046876,47.48182373046876,4209.063,4722.678,513.6147419480756,0.9858230481957653
Q2-021,2,S013,O01,0.0,0.0,4849.536854548781,399.18182373046875,47.48182373046876,271.48182373046876,4902.678,5431.227,528.5480752814088,0.8854917240456509
Q2-022,1,O01,S010,8.0,0.028,4784.6745062617865,435.63653564453125,307.93653564453126,84.03653564453123,4321.278,4776.517,455.2384265567753,0.811443578435887
Q2-022,2,S010,O01,0.0,0.0,4784.6745062617865,435.63653564453125,84.03653564453123,307.93653564453126,4956.517,5426.683,470.165093223442,0.7041914410393101
Q2-023,1,O01,S002,8.0,0.028,7411.533814153884,308.9542541503906,181.25425415039064,89.45425415039062,4470.864,5061.167,590.3020406538787,1.1752567997445433
Q2-023,2,S002,O01,0.0,0.0,7411.533814153884,308.9542541503906,89.45425415039062,181.25425415039064,5241.167,5837.59,596.4220406538788,1.0807893976936154
Q2-024,1,O01,S004,37.0,0.101,7714.681646286507,398.2391662597656,270.53916625976564,169.9391662597656,4698.893,5406.391,707.4973593862229,2.967168593723042
Q2-024,2,S004,O01,0.0,0.0,7714.681646286507,398.2391662597656,169.9391662597656,270.53916625976564,5730.391,6447.949,717.5573593862229,2.4186906067831635
Q2-025,1,O01,S008,14.0,0.027,8079.110448788476,372.9093322753906,245.20933227539064,102.00933227539065,5119.112,5914.912,795.7993810676594,1.6652038133562126
Q2-025,2,S008,O01,0.0,0.0,8079.110448788476,372.9093322753906,102.00933227539065,245.20933227539064,6094.912,6900.259,805.3460477343261,1.4812560409999396
Q2-026,1,O01,S003,22.0,0.055,7263.826967765937,561.8041381835938,434.10413818359376,223.30413818359375,5163.629,6002.971,839.3419486484636,1.717148439644012
Q2-026,2,S003,O01,0.0,0.0,7263.826967765937,561.8041381835938,223.30413818359375,434.10413818359376,6212.971,7066.367,853.3952819817969,1.3666287411076952
Q2-027,1,O01,S003,17.0,0.039,7263.826967765937,561.8041381835938,434.10413818359376,223.30413818359375,5791.227,6630.569,839.3419486484636,1.615532603110287
Q2-027,2,S003,O01,0.0,0.0,7263.826967765937,561.8041381835938,223.30413818359375,434.10413818359376,6840.569,7693.965,853.3952819817969,1.3666287411076952
Q2-028,1,O01,S003,20.0,0.062,7263.826967765937,561.8041381835938,434.10413818359376,223.30413818359375,5832.203,6550.482,718.2781658523645,1.4930265573128925
Q2-028,2,S003,O01,0.0,0.0,7263.826967765937,561.8041381835938,223.30413818359375,434.10413818359376,6760.482,7492.814,732.3314991856978,1.0926051760971156
Q2-029,1,O01,S011,67.0,0.184,2808.106412371872,295.36175537109375,167.66175537109376,83.26175537109376,6017.076,6312.979,295.90267399210916,1.5580294374178107
Q2-029,2,S011,S015,53.0,0.157,3461.755516771228,588.7306518554688,376.6306518554687,114.23065185546875,6528.979,6967.531,438.5512877880037,1.6761025494681625
Q2-029,3,S015,S005,31.0,0.10200000000000001,3756.1007289987383,618.6133422851562,144.11334228515625,423.61334228515625,7219.531,7739.39,519.8587233232231,1.3832584884051744
Q2-029,4,S005,O01,0.0,0.0,5280.5933691157215,326.410888671875,131.410888671875,198.710888671875,8063.39,8567.35,503.9593577457356,1.659551112250462
Q2-030,1,O01,S007,8.0,0.028,4534.717374921003,511.9731750488281,384.27317504882814,163.47317504882812,6220.613,6716.408,495.79482003054085,0.794579305563202
Q2-030,2,S007,O01,0.0,0.0,4534.717374921003,511.9731750488281,163.47317504882812,384.27317504882814,6896.408,7406.923,510.5148200305408,0.6880185710040437
Q2-031,1,O01,S014,8.0,0.028,5419.5362999417475,591.9473876953125,464.2473876953125,240.9473876953125,6257.539,6960.296,702.7561093050415,1.1491635609709268
Q2-031,2,S014,O01,0.0,0.0,5419.5362999417475,591.9473876953125,240.9473876953125,464.2473876953125,7140.296,7857.939,717.642775971708,1.0393290605975225
Q2-032,1,O01,S008,6.0,0.035,8079.110448788476,372.9093322753906,245.20933227539064,102.00933227539065,6940.76,7628.456,687.6957623004166,2.584095782804467
Q2-032,2,S008,O01,0.0,0.0,8079.110448788476,372.9093322753906,102.00933227539065,245.20933227539064,7844.456,8546.472,702.0157623004166,2.512857703792178
Q2-033,1,O01,S005,14.0,0.027,5280.5933691157215,326.410888671875,198.710888671875,131.410888671875,7273.625,7832.476,558.8507657856851,1.1006114627389216
Q2-033,2,S005,O01,0.0,0.0,5280.5933691157215,326.410888671875,131.410888671875,198.710888671875,8012.476,8575.814,563.3374324523518,0.9853096773503912
Q2-034,1,O01,S011,8.0,0.028,2808.106412371872,295.36175537109375,167.66175537109376,83.26175537109376,7396.367,7719.568,323.2008216364581,0.5739243777087851
Q2-034,2,S011,O01,0.0,0.0,2808.106412371872,295.36175537109375,83.26175537109376,167.66175537109376,7899.568,8228.396,328.82748830312477,0.5275102045863874
Q2-035,1,O01,S006,6.0,0.035,3186.19885235084,366.09783935546875,238.39783935546876,51.29783935546874,7736.923,8049.322,312.39833901739973,0.5373539080985199
Q2-035,2,S006,O01,0.0,0.0,3186.19885235084,366.09783935546875,51.29783935546874,238.39783935546876,8229.322,8554.194,324.8716723507331,0.4677865798840852
Q2-036,1,O01,S011,3.0,0.012,2808.106412371872,295.36175537109375,167.66175537109376,83.26175537109376,7822.814,8099.214,276.3990480969269,0.44980437602071505
Q2-036,2,S011,O01,0.0,0.0,2808.106412371872,295.36175537109375,83.26175537109376,167.66175537109376,8279.214,8561.24,282.02571476359356,0.4216340342440429
