安全余量,服务区编号,机型编号,最大安全载荷kg,限制原因
0.1,S002,C,78.59221816062927,往返安全能量限制
0.1,S003,A,25,额定载质量限制
0.1,S003,B,30,额定载质量限制
0.1,S003,C,78.22619259357452,往返安全能量限制
0.1,S004,A,25,额定载质量限制
0.1,S004,B,30,额定载质量限制
0.1,S004,C,74.88516449928284,往返安全能量限制
0.1,S005,A,25,额定载质量限制
0.1,S005,B,30,额定载质量限制
0.1,S005,C,80,额定载质量限制
0.1,S006,A,25,额定载质量限制
0.1,S006,B,30,额定载质量限制
0.1,S006,C,80,额定载质量限制
0.1,S007,A,25,额定载质量限制
0.1,S007,B,30,额定载质量限制
0.1,S007,C,80,额定载质量限制
0.1,S008,A,25,额定载质量限制
0.1,S008,B,30,额定载质量限制
0.1,S008,C,71.4380270242691,往返安全能量限制
0.1,S009,A,25,额定载质量限制
0.1,S009,B,30,额定载质量限制
0.1,S009,C,80,额定载质量限制
0.1,S010,A,25,额定载质量限制
0.1,S010,B,30,额定载质量限制
0.1,S010,C,80,额定载质量限制
0.1,S011,A,25,额定载质量限制
0.1,S011,B,30,额定载质量限制
0.1,S011,C,80,额定载质量限制
0.1,S012,A,25,额定载质量限制
0.1,S012,B,30,额定载质量限制
0.1,S012,C,78.08637082576752,往返安全能量限制
0.1,S013,A,25,额定载质量限制
0.1,S013,B,30,额定载质量限制
0.1,S013,C,80,额定载质量限制
0.1,S014,A,25,额定载质量限制
0.1,S014,B,30,额定载质量限制
0.1,S014,C,80,额定载质量限制
0.1,S015,A,25,额定载质量限制
0.1,S015,B,30,额定载质量限制
0.1,S015,C,80,额定载质量限制
0.15,S001,A,25,额定载质量限制
0.15,S001,B,30,额定载质量限制
0.15,S001,C,80,额定载质量限制
0.15,S002,A,25,额定载质量限制
0.15,S002,B,30,额定载质量限制
0.15,S002,C,74.23927307128906,往返安全能量限制
0.15,S003,A,25,额定载质量限制
0.15,S003,B,30,额定载质量限制
0.15,S003,C,73.74640643596649,往返安全能量限制
0.15,S004,A,25,额定载质量限制
0.15,S004,B,30,额定载质量限制
0.15,S004,C,69.91440713405609,往返安全能量限制
0.15,S005,A,25,额定载质量限制
0.15,S005,B,30,额定载质量限制
0.15,S005,C,80,额定载质量限制
0.15,S006,A,25,额定载质量限制
0.15,S006,B,30,额定载质量限制
0.15,S006,C,80,额定载质量限制
0.15,S007,A,25,额定载质量限制
0.15,S007,B,30,额定载质量限制
0.15,S007,C,80,额定载质量限制
0.15,S008,A,25,额定载质量限制
0.15,S008,B,30,额定载质量限制
0.15,S008,C,65.90244710445404,往返安全能量限制
0.15,S009,A,25,额定载质量限制
0.15,S009,B,30,额定载质量限制
0.15,S009,C,80,额定载质量限制
0.15,S010,A,25,额定载质量限制
0.15,S010,B,30,额定载质量限制
0.15,S010,C,80,额定载质量限制
0.15,S011,A,25,额定载质量限制
0.15,S011,B,30,额定载质量限制
0.15,S011,C,80,额定载质量限制
0.15,S012,A,25,额定载质量限制
0.15,S012,B,30,额定载质量限制
0.15,S012,C,73.62891912460327,往返安全能量限制
0.15,S013,A,25,额定载质量限制
0.15,S013,B,30,额定载质量限制
0.15,S013,C,80,额定载质量限制
0.15,S014,A,25,额定载质量限制
0.15,S014,B,30,额定载质量限制
0.15,S014,C,80,额定载质量限制
0.15,S015,A,25,额定载质量限制
0.15,S015,B,30,额定载质量限制
0.15,S015,C,80,额定载质量限制
0.2,S001,A,25,额定载质量限制
0.2,S001,B,30,额定载质量限制
0.2,S001,C,80,额定载质量限制
0.2,S002,A,25,额定载质量限制
0.2,S002,B,30,额定载质量限制
0.2,S002,C,68.85810375213623,往返安全能量限制
0.2,S003,A,25,额定载质量限制
0.2,S003,B,30,额定载质量限制
0.2,S003,C,68.1995415687561,往返安全能量限制
0.2,S004,A,25,额定载质量限制
0.2,S004,B,30,额定载质量限制
0.2,S004,C,63.69825065135956,往返安全能量限制
0.2,S005,A,25,额定载质量限制
0.2,S005,B,30,额定载质量限制
0.2,S005,C,80,额定载质量限制
0.2,S006,A,25,额定载质量限制
0.2,S006,B,30,额定载质量限制
0.2,S006,C,80,额定载质量限制
0.2,S007,A,25,额定载质量限制
0.2,S007,B,30,额定载质量限制
0.2,S007,C,80,额定载质量限制
0.2,S008,A,25,额定载质量限制
0.2,S008,B,28.80136013031006,往返安全能量限制
0.2,S008,C,58.904165625572205,往返安全能量限制
0.2,S009,A,25,额定载质量限制
0.2,S009,B,30,额定载质量限制
0.2,S009,C,80,额定载质量限制
0.2,S010,A,25,额定载质量限制
0.2,S010,B,30,额定载质量限制
0.2,S010,C,80,额定载质量限制
0.2,S011,A,25,额定载质量限制
0.2,S011,B,30,额定载质量限制
0.2,S011,C,80,额定载质量限制
0.2,S012,A,25,额定载质量限制
0.2,S012,B,30,额定载质量限制
0.2,S012,C,68.1097400188446,往返安全能量限制
0.2,S013,A,25,额定载质量限制
0.2,S013,B,30,额定载质量限制
0.2,S013,C,80,额定载质量限制
0.2,S014,A,25,额定载质量限制
0.2,S014,B,30,额定载质量限制
0.2,S014,C,80,额定载质量限制
0.2,S015,A,25,额定载质量限制
0.2,S015,B,30,额定载质量限制
0.2,S015,C,80,额定载质量限制
0.25,S001,A,25,额定载质量限制
0.25,S001,B,30,额定载质量限制
0.25,S001,C,80,额定载质量限制
0.25,S002,A,25,额定载质量限制
0.25,S002,B,30,额定载质量限制
0.25,S002,C,62.012723088264465,往返安全能量限制
0.25,S003,A,25,额定载质量限制
0.25,S003,B,29.03374582529068,往返安全能量限制
0.25,S003,C,61.136136054992676,往返安全能量限制
0.25,S004,A,25,额定载质量限制
0.25,S004,B,27.413001358509064,往返安全能量限制
0.25,S004,C,55.66281259059906,往返安全能量限制
0.25,S005,A,25,额定载质量限制
0.25,S005,B,30,额定载质量限制
0.25,S005,C,80,额定载质量限制
0.25,S006,A,25,额定载质量限制
0.25,S006,B,30,额定载质量限制
0.25,S006,C,80,额定载质量限制
0.25,S007,A,25,额定载质量限制
0.25,S007,B,30,额定载质量限制
0.25,S007,C,80,额定载质量限制
0.25,S008,A,24.563053995370865,往返安全能量限制
0.25,S008,B,25.480684340000153,往返安全能量限制
0.25,S008,C,49.70434486865997,往返安全能量限制
0.25,S009,A,25,额定载质量限制
0.25,S009,B,30,额定载质量限制
0.25,S009,C,80,额定载质量限制
0.25,S010,A,25,额定载质量限制
0.25,S010,B,30,额定载质量限制
0.25,S010,C,80,额定载质量限制
0.25,S011,A,25,额定载质量限制
0.25,S011,B,30,额定载质量限制
0.25,S011,C,80,额定载质量限制
0.25,S012,A,25,额定载质量限制
0.25,S012,B,29.429398477077484,往返安全能量限制
0.25,S012,C,61.076470613479614,往返安全能量限制
0.25,S013,A,25,额定载质量限制
0.25,S013,B,30,额定载质量限制
0.25,S013,C,80,额定载质量限制
0.25,S014,A,25,额定载质量限制
0.25,S014,B,30,额定载质量限制
0.25,S014,C,80,额定载质量限制
0.25,S015,A,25,额定载质量限制
0.25,S015,B,30,额定载质量限制
0.25,S015,C,78.45135569572449,往返安全能量限制
0.3,S001,A,25,额定载质量限制
0.3,S001,B,30,额定载质量限制
0.3,S001,C,80,额定载质量限制
0.3,S002,A,25,额定载质量限制
0.3,S002,B,26.74493283033371,往返安全能量限制
0.3,S002,C,52.94820785522461,往返安全能量限制
0.3,S003,A,24.730003625154495,往返安全能量限制
0.3,S003,B,25.42316436767578,往返安全能量限制
0.3,S003,C,51.78519666194916,往返安全能量限制
0.3,S004,A,20.1714925467968,往返安全能量限制
0.3,S004,B,23.44297617673874,往返安全能量限制
0.3,S004,C,44.749258160591125,往返安全能量限制
0.3,S005,A,25,额定载质量限制
0.3,S005,B,30,额定载质量限制
0.3,S005,C,80,额定载质量限制
0.3,S006,A,25,额定载质量限制
0.3,S006,B,30,额定载质量限制
0.3,S006,C,80,额定载质量限制
0.3,S007,A,25,额定载质量限制
0.3,S007,B,30,额定载质量限制
0.3,S007,C,80,额定载质量限制
0.3,S008,A,14.213552325963974,往返安全能量限制
0.3,S008,B,21.001091301441193,往返安全能量限制
0.3,S008,C,36.813374161720276,往返安全能量限制
0.3,S009,A,25,额定载质量限制
0.3,S009,B,30,额定载质量限制
0.3,S009,C,79.15210485458374,往返安全能量限制
0.3,S010,A,25,额定载质量限制
0.3,S010,B,30,额定载质量限制
0.3,S010,C,80,额定载质量限制
0.3,S011,A,25,额定载质量限制
0.3,S011,B,30,额定载质量限制
0.3,S011,C,80,额定载质量限制
0.3,S012,A,25,额定载质量限制
0.3,S012,B,25.980312824249268,往返安全能量限制
0.3,S012,C,51.74450397491455,往返安全能量限制
0.3,S013,A,25,额定载质量限制
0.3,S013,B,30,额定载质量限制
0.3,S013,C,80,额定载质量限制
0.3,S014,A,25,额定载质量限制
0.3,S014,B,30,额定载质量限制
0.3,S014,C,79.90587890148163,往返安全能量限制
0.3,S015,A,25,额定载质量限制
0.3,S015,B,30,额定载质量限制
0.3,S015,C,73.00386071205139,往返安全能量限制
0.35,S001,A,25,额定载质量限制
0.35,S001,B,30,额定载质量限制
0.35,S001,C,80,额定载质量限制
0.35,S002,A,17.283795028924942,往返安全能量限制
0.35,S002,B,22.290045619010925,往返安全能量限制
0.35,S002,C,40.14873266220093,往返安全能量限制
0.35,S003,A,13.567428290843964,往返安全能量限制
0.35,S003,B,20.435295403003693,往返安全能量限制
0.35,S003,C,38.62098932266235,往返安全能量限制
0.35,S004,A,5.073702335357666,往返安全能量限制
0.35,S004,B,17.82777339220047,往返安全能量限制
0.35,S004,C,28.49576473236084,往返安全能量限制
0.35,S005,A,25,额定载质量限制
0.35,S005,B,30,额定载质量限制
0.35,S005,C,78.7723833322525,往返安全能量限制
0.35,S006,A,25,额定载质量限制
0.35,S006,B,30,额定载质量限制
0.35,S006,C,80,额定载质量限制
0.35,S007,A,25,额定载质量限制
0.35,S007,B,30,额定载质量限制
0.35,S007,C,80,额定载质量限制
0.35,S008,A,,空载往返能量不足
0.35,S008,B,14.44529414176941,往返安全能量限制
0.35,S008,C,15.681818127632141,往返安全能量限制
0.35,S009,A,25,额定载质量限制
0.35,S009,B,30,额定载质量限制
0.35,S009,C,73.490149974823,往返安全能量限制
0.35,S010,A,25,额定载质量限制
0.35,S010,B,30,额定载质量限制
0.35,S010,C,80,额定载质量限制
0.35,S011,A,25,额定载质量限制
0.35,S011,B,30,额定载质量限制
0.35,S011,C,80,额定载质量限制
0.35,S012,A,15.040323138237,往返安全能量限制
0.35,S012,B,21.24633640050888,往返安全能量限制
0.35,S012,C,38.52992236614227,往返安全能量限制
0.35,S013,A,25,额定载质量限制
0.35,S013,B,30,额定载质量限制
0.35,S013,C,80,额定载质量限制
0.35,S014,A,25,额定载质量限制
0.35,S014,B,30,额定载质量限制
0.35,S014,C,74.2444097995758,往返安全能量限制
0.35,S015,A,25,额定载质量限制
0.35,S015,B,30,额定载质量限制
0.35,S015,C,65.93490183353424,往返安全能量限制
0.4,S001,A,25,额定载质量限制
0.4,S001,B,30,额定载质量限制
0.4,S001,C,80,额定载质量限制
0.4,S002,A,,空载往返能量不足
0.4,S002,B,15.70065826177597,往返安全能量限制
0.4,S002,C,19.212015867233276,往返安全能量限制
0.4,S003,A,,空载往返能量不足
0.4,S003,B,12.85735309123993,往返安全能量限制
0.4,S003,C,17.27960705757141,往返安全能量限制
0.4,S004,A,,空载往返能量不足
0.4,S004,B,8.66939127445221,往返安全能量限制
0.4,S004,C,,空载往返能量不足
0.4,S005,A,25,额定载质量限制
0.4,S005,B,30,额定载质量限制
0.4,S005,C,72.48139321804047,往返安全能量限制
0.4,S006,A,25,额定载质量限制
0.4,S006,B,30,额定载质量限制
0.4,S006,C,80,额定载质量限制
0.4,S007,A,25,额定载质量限制
0.4,S007,B,30,额定载质量限制
0.4,S007,C,80,额定载质量限制
0.4,S008,A,,空载往返能量不足
0.4,S008,B,1.3978931307792664,往返安全能量限制
0.4,S008,C,,空载往返能量不足
0.4,S009,A,25,额定载质量限制
0.4,S009,B,30,额定载质量限制
0.4,S009,C,65.99483489990234,往返安全能量限制
0.4,S010,A,25,额定载质量限制
0.4,S010,B,30,额定载质量限制
0.4,S010,C,79.15306448936462,往返安全能量限制
0.4,S011,A,25,额定载质量限制
0.4,S011,B,30,额定载质量限制
0.4,S011,C,80,额定载质量限制
0.4,S012,A,,空载往返能量不足
0.4,S012,B,14.135173559188843,往返安全能量限制
0.4,S012,C,16.669130325317383,往返安全能量限制
0.4,S013,A,25,额定载质量限制
0.4,S013,B,30,额定载质量限制
0.4,S013,C,78.68015766143799,往返安全能量限制
0.4,S014,A,25,额定载质量限制
0.4,S014,B,30,额定载质量限制
0.4,S014,C,66.7605721950531,往返安全能量限制
0.4,S015,A,25,额定载质量限制
0.4,S015,B,27.19721406698227,往返安全能量限制
0.4,S015,C,56.35968863964081,往返安全能量限制
0.45,S001,A,25,额定载质量限制
0.45,S001,B,30,额定载质量限制
0.45,S001,C,80,额定载质量限制
0.45,S002,A,,空载往返能量不足
0.45,S002,B,2.9051560163497925,往返安全能量限制
0.45,S002,C,,空载往返能量不足
0.45,S003,A,,空载往返能量不足
0.45,S003,B,,空载往返能量不足
0.45,S003,C,,空载往返能量不足
0.45,S004,A,,空载往返能量不足
0.45,S004,B,,空载往返能量不足
0.45,S004,C,,空载往返能量不足
0.45,S005,A,25,额定载质量限制
0.45,S005,B,30,额定载质量限制
0.45,S005,C,63.91346037387848,往返安全能量限制
0.45,S006,A,25,额定载质量限制
0.45,S006,B,30,额定载质量限制
0.45,S006,C,80,额定载质量限制
0.45,S007,A,25,额定载质量限制
0.45,S007,B,30,额定载质量限制
0.45,S007,C,75.39669394493103,往返安全能量限制
0.45,S008,A,,空载往返能量不足
0.45,S008,B,,空载往返能量不足
0.45,S008,C,,空载往返能量不足
0.45,S009,A,25,额定载质量限制
0.45,S009,B,27.615114748477936,往返安全能量限制
0.45,S009,C,55.527599453926086,往返安全能量限制
0.45,S010,A,25,额定载质量限制
0.45,S010,B,30,额定载质量限制
0.45,S010,C,72.30558156967163,往返安全能量限制
0.45,S011,A,25,额定载质量限制
0.45,S011,B,30,额定载质量限制
0.45,S011,C,80,额定载质量限制
0.45,S012,A,,空载往返能量不足
0.45,S012,B,,空载往返能量不足
0.45,S012,C,,空载往返能量不足
0.45,S013,A,25,额定载质量限制
0.45,S013,B,30,额定载质量限制
0.45,S013,C,71.74977898597717,往返安全能量限制
0.45,S014,A,25,额定载质量限制
0.45,S014,B,26.60064071416855,往返安全能量限制
0.45,S014,C,56.373342871665955,往返安全能量限制
0.45,S015,A,17.188909649848938,往返安全能量限制
0.45,S015,B,21.89254492521286,往返安全能量限制
0.45,S015,C,42.499417662620544,往返安全能量限制
